date,code,score,trend,accel,ratio,day1,day2,actual_surge_%,stop_high
2025-11-26,6613,0.37,5.45,-40.99,0.72,False,False,8.9,False
2025-11-26,6046,7.75,80.21,4058.8,5.26,True,True,9.22,False
2025-11-26,7138,6.98,36.18,516.15,2.95,True,True,15.95,False
2025-11-26,6085,1.13,-4.98,50.27,3.37,True,False,13.06,False
2025-11-26,4570,3.49,20.94,38.87,3.01,True,False,12.71,True
2025-11-26,338A,-0.26,-8.69,30.5,0.91,False,False,11.28,False
2025-11-26,5724,-0.11,-13.43,27.72,2.88,False,False,10.11,False
2025-11-26,4234,6.73,19.27,530.64,5.39,True,True,9.85,False
2025-11-26,7711,-1.94,-16.12,-43.23,0.3,False,False,9.83,True
2025-11-26,4720,1.35,19.2,-88.15,0.94,False,False,20.93,False
2025-11-26,4449,0.68,-4.16,61.93,1.42,False,False,10.11,False
2025-11-26,7256,-0.3,-7.43,29.87,0.44,False,False,8.41,False
2025-11-26,155A,8.09,56.62,276.9,6.97,True,True,8.91,False
2025-11-26,6229,-1.02,-11.02,-13.19,0.64,False,False,8.02,False
2025-11-26,9449,1.15,8.59,4.14,0.76,False,False,8.14,False
2025-11-26,3422,-3.01,-23.53,-76.6,0.33,False,False,8.18,False
2025-11-26,5258,0.57,5.17,-45.5,1.52,False,False,8.47,False
2025-11-26,4552,3.12,20.46,73.27,1.04,False,False,8.28,False
2025-11-26,4579,3.47,21.48,-4.8,4.12,True,False,8.38,False
2025-11-26,4935,-2.44,-20.1,-59.49,0.49,False,False,8.19,False
2025-11-27,6347,3.64,10.71,123.45,4.01,True,False,14.87,False
2025-11-27,4570,4.08,28.75,-12.55,3.98,True,False,12.94,True
2025-11-27,2342,-2.9,-35.38,3.14,1.82,False,False,24.33,True
2025-11-27,7746,2.05,9.74,89.85,0.54,False,False,23.38,True
2025-11-27,2315,2.41,23.44,-63.66,2.09,True,False,20.95,False
2025-11-27,8798,2.66,12.91,89.92,1.41,False,False,17.92,False
2025-11-27,264A,-3.67,-31.04,-76.48,0.58,False,False,15.73,True
2025-11-27,3905,-2.2,-21.14,-18.16,0.28,False,False,15.29,False
2025-11-27,4241,3.28,9.74,188.24,1.28,False,False,13.65,False
2025-11-27,5572,-0.67,-9.8,0.62,0.93,False,False,9.01,False
