type,label,n,wr,avg,sharpe,sector
価格帯,①~500円,2900,62.5,0.555,4.22,
価格帯,②500~1000円,5589,67.5,0.657,5.989,
価格帯,③1000~2000円,11809,69.6,0.683,7.135,
価格帯,④2000~5000円,16065,69.5,0.663,7.216,
価格帯,⑤5000円~,3938,67.2,0.626,6.015,
業種,金融・不動産,4977,73.8,0.795,9.322,金融・不動産
業種,農林・鉱業,1489,73.5,0.827,9.194,農林・鉱業
業種,機械・電機,6992,70.4,0.742,7.099,機械・電機
業種,非鉄・窯業,3404,72.4,0.755,7.081,非鉄・窯業
業種,輸送・精密,5339,68.8,0.674,6.72,輸送・精密
業種,サービス・IT,4921,67.2,0.594,6.453,サービス・IT
業種,薬品・IT,5199,66.6,0.617,5.781,薬品・IT
業種,化学・ゴム,3753,65.7,0.563,5.295,化学・ゴム
業種,食品・繊維,3230,60.9,0.378,4.302,食品・繊維
業種,不明,997,60.4,0.46,3.57,不明
