label,n,wins,wr,pval,sig,score,rise,gap,cond
,207,168,81.2,0.0,★,3〜5,+3〜+99%,-99〜-2%,STRONG
,514,410,79.8,0.0,★,0〜3,+3〜+99%,-99〜-2%,STRONG
,3087,2344,75.9,0.0,★,0〜3,+0〜+3%,-2〜+0%,STRONG
,903,674,74.6,0.0,★,0〜3,+3〜+99%,-2〜+0%,STRONG
,1982,1476,74.5,0.0,★,0〜3,-3〜+0%,-2〜+0%,STRONG
,334,241,72.2,0.0,★,3〜5,-3〜+0%,-2〜+0%,STRONG
,426,304,71.4,0.0,★,3〜5,+0〜+3%,-2〜+0%,STRONG
,374,267,71.4,0.0,★,3〜5,+3〜+99%,-2〜+0%,STRONG
,58,41,70.7,0.0008,★,5〜7,+0〜+3%,-99〜-2%,STRONG
,105,72,68.6,0.0001,★,5〜7,-99〜-3%,-2〜+0%,STRONG
,9339,6380,68.3,0.0,★,0〜3,-3〜+0%,+0〜+2%,STRONG
,2083,1418,68.1,0.0,★,0〜3,+3〜+99%,-99〜-2%,ALL
,53,36,67.9,0.0045,★,3〜5,-3〜+0%,-99〜-2%,STRONG
,159,108,67.9,0.0,★,0〜3,-3〜+0%,-99〜-2%,STRONG
,11819,8019,67.8,0.0,★,0〜3,+0〜+3%,+0〜+2%,STRONG
,1086,735,67.7,0.0,★,0〜3,+3〜+99%,-99〜-2%,NORMAL
,1496,992,66.3,0.0,★,3〜5,+0〜+3%,+0〜+2%,STRONG
,147,97,66.0,0.0001,★,5〜7,-3〜+0%,-2〜+0%,STRONG
,356,234,65.7,0.0,★,0〜3,-99〜-3%,-2〜+0%,STRONG
,1185,773,65.2,0.0,★,3〜5,-3〜+0%,+0〜+2%,STRONG
,522,340,65.1,0.0,★,5〜7,-3〜+0%,+0〜+2%,STRONG
,149,95,63.8,0.0004,★,3〜5,-99〜-3%,-2〜+0%,STRONG
,542,345,63.7,0.0,★,0〜3,-99〜-3%,+2〜+99%,STRONG
,33,21,63.6,0.0586,,3〜5,-99〜-3%,-99〜-2%,STRONG
,63,40,63.5,0.0161,★,5〜7,+0〜+3%,+2〜+99%,STRONG
,216,137,63.4,0.0,★,5〜7,+3〜+99%,-2〜+0%,STRONG
,81,51,63.0,0.0098,★,7〜9999,-3〜+0%,-2〜+0%,STRONG
,519,326,62.8,0.0,★,5〜7,+0〜+3%,+0〜+2%,STRONG
,118,74,62.7,0.0029,★,7〜9999,-99〜-3%,-2〜+0%,STRONG
,270,169,62.6,0.0,★,0〜3,+0〜+3%,-99〜-2%,STRONG
,222,139,62.6,0.0001,★,5〜7,+0〜+3%,-2〜+0%,STRONG
,1695,1033,60.9,0.0,★,0〜3,-3〜+0%,+2〜+99%,STRONG
,84,51,60.7,0.0248,★,0〜3,-99〜-3%,-99〜-2%,STRONG
,140,85,60.7,0.0056,★,7〜9999,+0〜+3%,-2〜+0%,STRONG
,1551,932,60.1,0.0,★,0〜3,+3〜+99%,+0〜+2%,STRONG
,253,152,60.1,0.0007,★,7〜9999,-3〜+0%,+0〜+2%,STRONG
,90,54,60.0,0.0289,★,5〜7,-3〜+0%,+2〜+99%,STRONG
,2287,1367,59.8,0.0,★,0〜3,-3〜+0%,-99〜-2%,ALL
,312,185,59.3,0.0005,★,5〜7,-99〜-3%,+0〜+2%,STRONG
,3028,1794,59.2,0.0,★,0〜3,+0〜+3%,-99〜-2%,ALL
,387,228,58.9,0.0002,★,3〜5,-99〜-3%,+0〜+2%,STRONG
,68,40,58.8,0.0728,,5〜7,+3〜+99%,-99〜-2%,STRONG
,590,342,58.0,0.0001,★,3〜5,+3〜+99%,+0〜+2%,STRONG
,1185,687,58.0,0.0,★,0〜3,-99〜-3%,+0〜+2%,STRONG
,1442,835,57.9,0.0,★,0〜3,+0〜+3%,-99〜-2%,NORMAL
,558,322,57.7,0.0001,★,3〜5,-3〜+0%,-99〜-2%,ALL
,775,444,57.3,0.0,★,3〜5,+3〜+99%,-99〜-2%,ALL
,284,162,57.0,0.0088,★,5〜7,+0〜+3%,-99〜-2%,NORMAL
,454,257,56.6,0.0024,★,5〜7,+0〜+3%,-99〜-2%,ALL
,330,185,56.1,0.0138,★,3〜5,-3〜+0%,-99〜-2%,NORMAL
,22320,12472,55.9,0.0,★,0〜3,-3〜+0%,-2〜+0%,NORMAL
,28366,15763,55.6,0.0,★,0〜3,+0〜+3%,-2〜+0%,NORMAL
,137,76,55.5,0.1,,7〜9999,-3〜+0%,-99〜-2%,NORMAL
,334,185,55.4,0.0244,★,7〜9999,-99〜-3%,+0〜+2%,STRONG
,418,230,55.0,0.02,★,3〜5,+0〜+3%,-99〜-2%,NORMAL
,218,120,55.0,0.0681,,3〜5,+0〜+3%,+2〜+99%,STRONG
,209,115,55.0,0.0732,,7〜9999,-3〜+0%,-99〜-2%,ALL
,2962,1623,54.8,0.0,★,3〜5,-3〜+0%,-2〜+0%,NORMAL
,1277,698,54.7,0.0004,★,5〜7,-3〜+0%,-2〜+0%,NORMAL
,1149,618,53.8,0.0051,★,0〜3,-3〜+0%,-99〜-2%,NORMAL
,319,171,53.6,0.0989,,5〜7,-3〜+0%,-99〜-2%,ALL
,1661,887,53.4,0.0028,★,5〜7,+0〜+3%,-2〜+0%,NORMAL
,92,49,53.3,0.2658,,3〜5,+0〜+3%,-99〜-2%,STRONG
,195,104,53.3,0.1759,,3〜5,-3〜+0%,+2〜+99%,STRONG
,834,443,53.1,0.0359,★,0〜3,-99〜-3%,-99〜-2%,ALL
,794,421,53.0,0.0442,★,3〜5,+0〜+3%,-99〜-2%,ALL
,161,85,52.8,0.2391,,3〜5,-99〜-3%,+2〜+99%,STRONG
,1776,934,52.6,0.0145,★,5〜7,-3〜+0%,-2〜+0%,ALL
,114,60,52.6,0.2871,,5〜7,-99〜-3%,+2〜+99%,STRONG
,61,32,52.5,0.3504,,7〜9999,+0〜+3%,+2〜+99%,STRONG
,217,114,52.5,0.2276,,5〜7,-3〜+0%,-99〜-2%,NORMAL
,508,266,52.4,0.1435,,7〜9999,-3〜+0%,-2〜+0%,NORMAL
,3965,2073,52.3,0.002,★,3〜5,+0〜+3%,-2〜+0%,NORMAL
,41631,21754,52.3,0.0,★,0〜3,+0〜+3%,-2〜+0%,ALL
,4497,2346,52.2,0.0018,★,0〜3,+3〜+99%,-2〜+0%,NORMAL
,710,369,52.0,0.1467,,0〜3,+3〜+99%,+2〜+99%,STRONG
,733,380,51.8,0.1593,,7〜9999,-3〜+0%,-2〜+0%,ALL
,32685,16910,51.7,0.0,,0〜3,-3〜+0%,-2〜+0%,ALL
,397,205,51.6,0.2571,,5〜7,+3〜+99%,+0〜+2%,STRONG
,2326,1189,51.1,0.1405,,5〜7,+0〜+3%,-2〜+0%,ALL
,2552,1302,51.0,0.1517,,0〜3,-99〜-3%,-2〜+0%,NORMAL
,171,87,50.9,0.4093,,5〜7,-3〜+0%,+2〜+99%,NORMAL
,4321,2194,50.8,0.154,,3〜5,-3〜+0%,-2〜+0%,ALL
,290,147,50.7,0.4071,,5〜7,-3〜+0%,+2〜+99%,ALL
,749,378,50.5,0.3991,,7〜9999,+0〜+3%,-2〜+0%,NORMAL
,4098,2066,50.4,0.2977,,0〜3,-3〜+0%,+2〜+99%,ALL
,7336,3688,50.3,0.3202,,0〜3,+3〜+99%,-2〜+0%,ALL
,5757,2897,50.3,0.3129,,3〜5,+0〜+3%,-2〜+0%,ALL
,352,176,50.0,0.5,,3〜5,-99〜-3%,-99〜-2%,ALL
,1077,539,50.0,0.4878,,7〜9999,+0〜+3%,-2〜+0%,ALL
,596,291,48.8,0.7168,,5〜7,+3〜+99%,-99〜-2%,ALL
,3855,1873,48.6,0.9604,,0〜3,-99〜-3%,-2〜+0%,ALL
,2847,1381,48.5,0.9444,,3〜5,+3〜+99%,-2〜+0%,ALL
,485,235,48.5,0.7521,,0〜3,-99〜-3%,-99〜-2%,NORMAL
,378,183,48.4,0.7315,,7〜9999,+3〜+99%,+0〜+2%,STRONG
,1820,881,48.4,0.913,,3〜5,+3〜+99%,-2〜+0%,NORMAL
,383,185,48.3,0.7467,,3〜5,+3〜+99%,-99〜-2%,NORMAL
,118,57,48.3,0.6436,,7〜9999,+3〜+99%,-99〜-2%,STRONG
,242,117,48.3,0.6965,,7〜9999,+3〜+99%,-2〜+0%,STRONG
,643,308,47.9,0.8565,,7〜9999,+3〜+99%,-99〜-2%,NORMAL
,1031,493,47.8,0.9195,,3〜5,-99〜-3%,-2〜+0%,NORMAL
,362,173,47.8,0.7998,,5〜7,+3〜+99%,-99〜-2%,NORMAL
,5778,2749,47.6,0.9999,,3〜5,-3〜+0%,+0〜+2%,NORMAL
,1786,849,47.5,0.9813,,0〜3,+0〜+3%,+2〜+99%,STRONG
,1481,701,47.3,0.98,,0〜3,-99〜-3%,+2〜+99%,ALL
,59079,27880,47.2,1.0,,0〜3,-3〜+0%,+0〜+2%,ALL
,7956,3750,47.1,1.0,,3〜5,-3〜+0%,+0〜+2%,ALL
,678,319,47.1,0.9378,,3〜5,-3〜+0%,+2〜+99%,ALL
,417,196,47.0,0.8896,,5〜7,+0〜+3%,+2〜+99%,ALL
,256,120,46.9,0.8413,,7〜9999,+0〜+3%,-99〜-2%,ALL
,6560,3070,46.8,1.0,,0〜3,-99〜-3%,+0〜+2%,ALL
,2120,989,46.7,0.999,,5〜7,+3〜+99%,-2〜+0%,ALL
,3157,1472,46.6,0.9999,,5〜7,-3〜+0%,+0〜+2%,ALL
,279,130,46.6,0.8723,,7〜9999,-99〜-3%,-99〜-2%,ALL
,4445,2067,46.5,1.0,,0〜3,-99〜-3%,+0〜+2%,NORMAL
,157,73,46.5,0.81,,5〜7,+3〜+99%,+2〜+99%,STRONG
,9877,4595,46.5,1.0,,3〜5,+0〜+3%,+0〜+2%,ALL
,72783,33857,46.5,1.0,,0〜3,+0〜+3%,+0〜+2%,ALL
,1511,702,46.5,0.997,,3〜5,-99〜-3%,-2〜+0%,ALL
,1467,680,46.4,0.9974,,5〜7,-99〜-3%,+0〜+2%,NORMAL
,42676,19802,46.4,1.0,,0〜3,-3〜+0%,+0〜+2%,NORMAL
,1496,693,46.3,0.9978,,5〜7,+3〜+99%,-2〜+0%,NORMAL
,264,122,46.2,0.8908,,7〜9999,+0〜+3%,+0〜+2%,STRONG
,3891,1798,46.2,1.0,,5〜7,+0〜+3%,+0〜+2%,ALL
,980,450,45.9,0.9947,,7〜9999,+3〜+99%,-99〜-2%,ALL
,7278,3331,45.8,1.0,,3〜5,+0〜+3%,+0〜+2%,NORMAL
,2927,1341,45.8,1.0,,5〜7,+0〜+3%,+0〜+2%,NORMAL
,1835,839,45.7,0.9999,,3〜5,-99〜-3%,+0〜+2%,NORMAL
,1017,465,45.7,0.9968,,7〜9999,-99〜-3%,-2〜+0%,ALL
,1627,744,45.7,0.9997,,7〜9999,-3〜+0%,+0〜+2%,ALL
,173,79,45.7,0.8729,,7〜9999,+0〜+3%,-99〜-2%,NORMAL
,2057,938,45.6,1.0,,5〜7,-99〜-3%,+0〜+2%,ALL
,1143,520,45.5,0.9988,,5〜7,-99〜-3%,-2〜+0%,ALL
,302,137,45.4,0.9464,,5〜7,-99〜-3%,-99〜-2%,ALL
,52778,23978,45.4,1.0,,0〜3,+0〜+3%,+0〜+2%,NORMAL
,869,394,45.3,0.997,,3〜5,+0〜+3%,+2〜+99%,ALL
,2265,1027,45.3,1.0,,5〜7,-3〜+0%,+0〜+2%,NORMAL
,1217,551,45.3,0.9995,,7〜9999,-3〜+0%,+0〜+2%,NORMAL
,814,368,45.2,0.9969,,5〜7,-99〜-3%,-2〜+0%,NORMAL
,2590,1167,45.1,1.0,,3〜5,-99〜-3%,+0〜+2%,ALL
,693,312,45.0,0.9956,,7〜9999,-99〜-3%,-2〜+0%,NORMAL
,414,186,44.9,0.9805,,3〜5,-3〜+0%,+2〜+99%,NORMAL
,213,95,44.6,0.9425,,3〜5,+3〜+99%,+2〜+99%,STRONG
,307,137,44.6,0.9702,,5〜7,+0〜+3%,+2〜+99%,NORMAL
,2119,933,44.0,1.0,,0〜3,-3〜+0%,+2〜+99%,NORMAL
,184,81,44.0,0.9476,,7〜9999,-99〜-3%,-99〜-2%,NORMAL
,91,40,44.0,0.8756,,7〜9999,-99〜-3%,+2〜+99%,STRONG
,195,85,43.6,0.9633,,5〜7,-99〜-3%,-99〜-2%,NORMAL
,4828,2102,43.5,1.0,,0〜3,+0〜+3%,+2〜+99%,ALL
,582,253,43.5,0.9992,,3〜5,-99〜-3%,+2〜+99%,ALL
,563,245,43.5,0.999,,3〜5,+0〜+3%,+2〜+99%,NORMAL
,6897,2983,43.3,1.0,,0〜3,+3〜+99%,+0〜+2%,NORMAL
,447,193,43.2,0.998,,5〜7,-99〜-3%,+2〜+99%,ALL
,224,96,42.9,0.9837,,3〜5,-99〜-3%,-99〜-2%,NORMAL
,4026,1726,42.9,1.0,,3〜5,+3〜+99%,+0〜+2%,ALL
