type,label,n,wr,avg,sharpe
月別,1月,4102,67.8,0.555,5.6
月別,2月,5119,67.1,0.641,5.846
月別,3月,3021,70.4,0.703,8.171
月別,4月,4624,64.1,0.534,5.278
月別,5月,2418,62.8,0.426,4.003
月別,6月,609,78.0,0.867,10.89
月別,7月,3311,70.3,0.633,6.454
月別,8月,6740,72.9,0.959,8.887
月別,9月,914,70.6,0.587,7.387
月別,10月,3538,63.8,0.425,4.781
月別,11月,4470,68.7,0.708,7.112
月別,12月,1435,77.6,0.695,8.921
曜日別,月曜,8327,56.4,0.209,2.107
曜日別,火曜,6242,74.4,0.853,9.138
曜日別,水曜,11294,71.1,0.815,8.015
曜日別,木曜,6471,65.0,0.457,4.518
曜日別,金曜,7967,75.9,0.91,9.5
