tp,sl,n,wr,avg,sharpe,tp_reach,sl_reach
3.0,-5.0,40301,68.5,0.657,6.558,15.2,1.7
2.5,-5.0,40301,68.9,0.622,6.551,20.8,1.7
3.0,-4.0,40301,68.3,0.648,6.548,15.2,2.9
2.5,-4.0,40301,68.7,0.612,6.53,20.8,2.9
3.0,-3.0,40301,67.8,0.631,6.493,15.2,5.5
4.0,-4.0,40301,68.0,0.692,6.482,8.7,2.9
4.0,-5.0,40301,68.2,0.699,6.476,8.7,1.7
2.5,-3.0,40301,68.1,0.594,6.451,20.8,5.5
4.0,-3.0,40301,67.5,0.676,6.446,8.7,5.5
2.0,-5.0,40301,69.6,0.57,6.445,29.4,1.7
1.5,-0.5,40301,58.4,0.326,6.412,42.2,56.2
2.0,-4.0,40301,69.3,0.56,6.407,29.4,2.9
5.0,-4.0,40301,67.9,0.718,6.394,5.6,2.9
5.0,-5.0,40301,68.1,0.725,6.388,5.6,1.7
3.0,-2.0,40301,66.1,0.596,6.371,15.2,11.7
5.0,-3.0,40301,67.4,0.702,6.361,5.6,5.5
4.0,-2.0,40301,66.0,0.642,6.345,8.7,11.7
2.5,-2.0,40301,66.4,0.559,6.324,20.8,11.7
2.0,-3.0,40301,68.6,0.54,6.301,29.4,5.5
5.0,-2.0,40301,65.9,0.669,6.265,5.6,11.7
2.0,-0.5,40301,53.1,0.373,6.245,29.4,56.2
7.0,-4.0,40301,67.8,0.736,6.215,2.5,2.9
7.0,-5.0,40301,68.0,0.743,6.197,2.5,1.7
7.0,-3.0,40301,67.4,0.72,6.186,2.5,5.5
2.0,-2.0,40301,66.8,0.505,6.151,29.4,11.7
3.0,-1.5,40301,63.6,0.554,6.12,15.2,18.6
1.5,-5.0,40301,70.9,0.491,6.118,42.2,1.7
1.0,-0.5,40301,67.3,0.237,6.109,59.8,56.2
4.0,-1.5,40301,63.5,0.599,6.109,8.7,18.6
7.0,-2.0,40301,65.9,0.687,6.089,2.5,11.7
2.5,-1.5,40301,63.7,0.517,6.056,20.8,18.6
1.5,-4.0,40301,70.5,0.48,6.049,42.2,2.9
5.0,-1.5,40301,63.4,0.625,6.033,5.6,18.6
2.5,-0.5,40301,49.7,0.398,5.988,20.8,56.2
1.5,-3.0,40301,69.7,0.458,5.896,42.2,5.5
2.0,-1.5,40301,64.1,0.464,5.871,29.4,18.6
7.0,-1.5,40301,63.4,0.642,5.866,2.5,18.6
3.0,-0.5,40301,47.6,0.412,5.77,15.2,56.2
1.5,-2.0,40301,67.7,0.423,5.703,42.2,11.7
3.0,-1.0,40301,57.4,0.475,5.598,15.2,31.7
4.0,-1.0,40301,57.4,0.515,5.597,8.7,31.7
5.0,-1.0,40301,57.3,0.538,5.532,5.6,31.7
2.5,-1.0,40301,57.5,0.442,5.531,20.8,31.7
4.0,-0.5,40301,44.9,0.424,5.396,8.7,56.2
1.5,-1.5,40301,64.8,0.383,5.386,42.2,18.6
7.0,-1.0,40301,57.3,0.554,5.382,2.5,31.7
1.0,-5.0,40301,74.4,0.371,5.33,59.8,1.7
2.0,-1.0,40301,57.7,0.392,5.326,29.4,31.7
1.0,-4.0,40301,73.9,0.358,5.203,59.8,2.9
5.0,-0.5,40301,43.4,0.428,5.115,5.6,56.2
1.0,-3.0,40301,72.8,0.332,4.927,59.8,5.5
1.5,-1.0,40301,58.1,0.316,4.815,42.2,31.7
7.0,-0.5,40301,42.0,0.42,4.73,2.5,56.2
1.0,-2.0,40301,70.2,0.292,4.564,59.8,11.7
1.0,-1.5,40301,66.8,0.252,4.148,59.8,18.6
1.0,-1.0,40301,59.5,0.192,3.483,59.8,31.7
