scan_date,next_date,code,score,ratio,accel,trend,today_rise,next_rise
2025-11-27,2025-11-28,155A,3.31,3.74,-19.52,22.58,-12.68,-1.14
2025-12-01,2025-12-02,5992,5.83,2.88,186.96,37.39,-11.65,2.52
2025-12-01,2025-12-02,5721,5.23,1.88,227.21,23.28,-10.71,5.43
2025-12-02,2025-12-03,9973,5.61,4.98,94.75,48.56,-19.51,-5.56
2025-12-02,2025-12-03,3803,5.57,0.79,230.27,51.57,-11.18,0.56
2025-12-02,2025-12-03,3719,4.59,3.14,377.61,5.4,-20.22,0.68
2025-12-02,2025-12-03,4446,3.41,2.61,-46.34,39.63,-22.82,10.12
2025-12-02,2025-12-03,7318,3.11,2.79,59.99,15.83,-16.08,-5.09
2025-12-03,2025-12-04,4592,5.75,2.96,176.21,43.08,-11.0,2.69
2025-12-04,2025-12-05,9610,4.47,4.74,-10.57,43.78,-33.03,8.21
2025-12-05,2025-12-08,3691,4.76,1.53,125.2,44.19,-11.84,8.08
2025-12-08,2025-12-09,4664,5.08,5.84,13.67,45.46,-33.84,5.03
2025-12-08,2025-12-09,4255,3.42,1.23,45.92,25.49,-12.09,2.09
2025-12-10,2025-12-11,198A,5.79,6.83,50.89,49.76,-15.79,25.43
2025-12-10,2025-12-11,3777,3.66,2.5,64.85,21.79,-10.64,0.0
2025-12-10,2025-12-11,5216,3.4,1.95,-25.37,47.17,-11.17,15.12
2025-12-11,2025-12-12,5817,4.95,5.53,118.34,19.2,-23.89,5.09
2025-12-11,2025-12-12,3350,4.88,1.88,125.48,40.12,-12.32,2.79
2025-12-11,2025-12-12,4592,3.36,1.74,58.69,21.92,-11.17,-2.49
2025-12-15,2025-12-16,4572,4.28,1.76,69.44,43.16,-15.45,22.5
2025-12-16,2025-12-17,9166,5.16,3.28,107.11,42.46,-15.74,7.5
2025-12-16,2025-12-17,7640,4.33,5.65,-29.73,27.44,-13.82,-0.94
2025-12-16,2025-12-17,4395,3.17,2.25,-44.94,28.73,-11.46,14.72
2025-12-17,2025-12-18,2743,5.66,1.52,336.8,21.56,-14.29,14.29
2025-12-17,2025-12-18,9235,5.55,5.14,84.13,44.56,-12.13,-3.8
2025-12-17,2025-12-18,3672,5.38,2.41,228.85,22.89,-12.28,2.0
2025-12-17,2025-12-18,4166,3.99,4.89,-61.38,29.7,-16.96,-7.4
2025-12-18,2025-12-19,5131,3.42,2.49,-41.17,41.71,-10.88,7.34
2025-12-19,2025-12-22,4395,3.34,3.81,46.63,16.03,-10.76,-5.8
2025-12-23,2025-12-24,5250,4.06,1.29,107.27,25.54,-17.11,0.58
2025-12-23,2025-12-24,4579,3.18,0.45,118.77,18.46,-11.24,4.8
2025-12-25,2025-12-26,363A,5.87,2.72,660.12,19.7,-14.83,-1.65
2025-12-25,2025-12-26,5707,5.36,4.84,74.49,47.1,-10.63,5.44
2025-12-25,2025-12-26,8995,3.0,2.01,-0.54,23.37,-17.26,-13.47
2025-12-29,2025-12-30,1673,5.14,3.2,162.64,24.45,-11.12,5.25
2026-01-13,2026-01-14,5597,4.71,2.0,104.13,44.95,-10.63,2.22
2026-01-13,2026-01-14,438A,3.24,2.23,22.56,22.71,-11.26,-5.71
2026-01-16,2026-01-19,4422,5.5,6.35,70.16,26.8,-22.35,1.99
2026-01-16,2026-01-19,5698,4.97,4.1,60.88,44.55,-16.98,14.84
2026-01-16,2026-01-19,4082,3.97,5.52,301.93,-8.7,-18.02,22.29
2026-01-20,2026-01-21,4596,5.96,4.24,154.54,52.65,-18.06,0.0
2026-01-20,2026-01-21,198A,4.54,4.36,8.51,47.45,-16.53,-0.35
2026-01-20,2026-01-21,8742,4.28,3.4,79.9,23.5,-10.86,1.33
2026-01-20,2026-01-21,7746,3.91,3.19,-3.73,28.81,-10.69,15.49
2026-01-20,2026-01-21,4082,3.73,3.17,-17.99,28.55,-18.68,1.97
2026-01-20,2026-01-21,319A,3.68,1.78,155.85,15.26,-11.22,-0.62
2026-01-21,2026-01-22,6085,3.37,1.67,-18.22,33.02,-10.96,-4.18
2026-01-21,2026-01-22,5721,3.28,1.4,233.71,4.76,-12.71,-1.33
2026-01-22,2026-01-23,6166,3.64,3.68,-58.78,34.66,-13.15,3.56
2026-01-26,2026-01-27,5216,5.44,6.06,42.02,43.23,-15.69,9.91
2026-01-26,2026-01-27,2338,4.72,2.35,170.48,22.35,-12.59,-1.63
2026-01-29,2026-01-30,4422,5.41,0.26,513.65,23.24,-10.99,16.47
2026-02-02,2026-02-03,2033,5.08,3.43,105.12,28.89,-15.3,2.95
2026-02-02,2026-02-03,6656,4.42,4.64,-12.37,46.59,-13.97,-4.71
2026-02-02,2026-02-03,2323,4.25,2.52,41.19,43.45,-11.04,5.69
2026-02-04,2026-02-05,7689,3.75,2.26,-0.84,33.86,-13.27,0.44
2026-02-05,2026-02-06,6495,3.21,2.37,103.85,13.86,-11.97,-0.48
2026-02-09,2026-02-10,7711,5.44,2.31,166.87,47.34,-13.64,-5.35
2026-02-09,2026-02-10,5243,4.41,0.78,140.41,27.42,-10.25,-0.56
2026-02-09,2026-02-10,2338,4.02,2.46,129.52,19.09,-12.5,-2.29
2026-02-09,2026-02-10,8416,3.35,4.33,50.59,14.06,-11.02,-1.02
2026-02-12,2026-02-13,3777,5.55,3.07,152.98,34.67,-18.75,1.59
2026-02-12,2026-02-13,8746,5.23,1.59,170.44,47.22,-10.68,7.13
2026-02-12,2026-02-13,9348,3.74,2.17,95.63,20.55,-12.8,-3.01
2026-02-13,2026-02-16,4819,5.92,3.02,191.05,35.36,-10.95,0.41
2026-02-13,2026-02-16,9830,5.81,3.01,180.52,40.02,-11.9,-4.54
2026-02-13,2026-02-16,4098,5.77,0.35,411.52,26.49,-10.48,4.43
2026-02-13,2026-02-16,5444,5.36,1.78,242.55,23.35,-10.46,2.09
2026-02-13,2026-02-16,1815,5.14,2.65,180.04,24.59,-15.99,1.39
2026-02-13,2026-02-16,4013,4.75,3.22,67.4,34.57,-10.05,-0.27
2026-02-13,2026-02-16,4259,4.49,2.7,126.08,23.31,-18.22,4.38
2026-02-13,2026-02-16,2980,4.33,3.35,150.6,17.13,-10.55,-0.85
2026-02-13,2026-02-16,9399,4.32,4.39,52.46,23.36,-20.69,-30.77
2026-02-13,2026-02-16,5741,3.93,1.98,148.21,17.89,-13.5,-7.17
2026-02-16,2026-02-17,9399,5.06,4.75,47.99,31.38,-30.77,15.79
2026-02-17,2026-02-18,9562,3.27,1.25,-14.58,37.16,-10.73,0.08
2026-02-18,2026-02-19,8746,5.65,3.85,175.35,26.11,-17.28,1.14
2026-02-18,2026-02-19,6167,5.26,1.82,177.2,28.77,-13.84,-3.05
2026-02-18,2026-02-19,3446,4.87,2.01,136.98,28.36,-11.87,9.2
2026-02-18,2026-02-19,5381,4.54,1.59,127.87,27.35,-21.32,0.67
2026-02-18,2026-02-19,7022,4.12,1.58,59.48,35.94,-17.89,-3.9
2026-02-19,2026-02-20,4888,4.27,0.98,250.78,14.3,-10.78,3.66
2026-02-19,2026-02-20,2962,4.07,0.63,1499.76,8.55,-16.45,3.98
2026-02-19,2026-02-20,485A,3.22,1.6,-30.83,32.91,-10.51,-4.46
2026-02-24,2026-02-25,4417,5.63,3.51,145.49,39.82,-12.23,8.49
2026-02-24,2026-02-25,8746,4.97,2.79,462.84,10.44,-14.73,-3.62
2026-02-24,2026-02-25,7063,4.81,3.01,80.67,41.81,-11.61,29.0
2026-02-24,2026-02-25,382A,4.51,3.02,11713.86,5.06,-13.56,0.1
2026-02-24,2026-02-25,6208,4.12,2.24,37.14,35.44,-10.64,-5.86
2026-02-25,2026-02-26,5537,4.75,1.97,146.4,26.31,-10.72,-1.2
