code,name,today_rise,close,trend,accel,ratio,score
8541,愛媛銀行,-3.216374269005848,2317.0,29.86,180.33,1.75,5.37
8387,四国銀行,-4.327666151468315,3095.0,27.05,153.24,1.56,4.76
8563,大東銀行,-3.51219512195122,989.0,29.09,76.29,1.96,4.32
8562,福島銀行,-3.768115942028986,332.0,18.11,132.4,1.97,3.79
8303,ＳＢＩ新生銀行,-2.929014472777395,1408.5,23.12,101.84,1.29,3.76
8383,鳥取銀行,-3.683574879227053,1595.0,11.95,197.85,1.53,3.68
8345,岩手銀行,-4.722222222222222,2058.0,24.87,54.64,1.79,3.63
5844,京都フィナンシャルグループ,-4.488017429193899,4384.0,24.58,64.54,1.18,3.5
8346,東邦銀行,-4.352941176470588,813.0,22.18,58.47,1.69,3.37
7180,九州フィナンシャルグループ,-4.507405022537025,1483.0,17.23,92.29,1.78,3.24
8386,百十四銀行,-4.052573932092004,2628.0,19.96,67.3,1.54,3.18
8370,紀陽銀行,-3.08839190628328,4550.0,17.81,83.37,1.49,3.11
8537,大光銀行,-3.9401678219627874,2633.0,14.58,114.57,1.44,3.09
7322,三十三フィナンシャルグループ,-4.31266846361186,1775.0,19.21,73.8,1.3,3.09
