Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-11-04,441A0,750.0,780.0,704.0,706.0,0,0,1300000.0,950440600.0,1.0,750.0,780.0,704.0,706.0,1300000.0,,False
2025-11-05,441A0,706.0,841.0,706.0,827.0,0,0,3322300.0,2628842000.0,1.0,706.0,841.0,706.0,827.0,3322300.0,706.0,False
2025-11-06,441A0,790.0,795.0,707.0,730.0,0,0,985900.0,738970900.0,1.0,790.0,795.0,707.0,730.0,985900.0,827.0,False
2025-11-07,441A0,710.0,736.0,689.0,710.0,0,0,352500.0,248194900.0,1.0,710.0,736.0,689.0,710.0,352500.0,730.0,False
2025-11-10,441A0,708.0,746.0,702.0,724.0,0,0,246600.0,178642800.0,1.0,708.0,746.0,702.0,724.0,246600.0,710.0,False
2025-11-11,441A0,715.0,718.0,700.0,700.0,0,0,125100.0,88383900.0,1.0,715.0,718.0,700.0,700.0,125100.0,724.0,False
2025-11-12,441A0,696.0,724.0,695.0,723.0,0,0,101100.0,71877200.0,1.0,696.0,724.0,695.0,723.0,101100.0,700.0,False
2025-11-13,441A0,713.0,717.0,704.0,711.0,0,0,54400.0,38542400.0,1.0,713.0,717.0,704.0,711.0,54400.0,723.0,False
2025-11-14,441A0,699.0,702.0,671.0,679.0,0,0,215700.0,148138100.0,1.0,699.0,702.0,671.0,679.0,215700.0,711.0,False
2025-11-17,441A0,670.0,670.0,631.0,638.0,0,0,287500.0,184729600.0,1.0,670.0,670.0,631.0,638.0,287500.0,679.0,False
2025-11-18,441A0,633.0,635.0,598.0,607.0,0,0,182400.0,111795700.0,1.0,633.0,635.0,598.0,607.0,182400.0,638.0,False
2025-11-19,441A0,600.0,615.0,598.0,609.0,0,0,75800.0,45863900.0,1.0,600.0,615.0,598.0,609.0,75800.0,607.0,False
2025-11-20,441A0,627.0,627.0,615.0,623.0,0,0,60700.0,37892200.0,1.0,627.0,627.0,615.0,623.0,60700.0,609.0,False
2025-11-21,441A0,615.0,633.0,615.0,633.0,0,0,31100.0,19462400.0,1.0,615.0,633.0,615.0,633.0,31100.0,623.0,False
2025-11-25,441A0,640.0,647.0,635.0,643.0,0,0,39900.0,25599000.0,1.0,640.0,647.0,635.0,643.0,39900.0,633.0,False
2025-11-26,441A0,643.0,657.0,642.0,657.0,0,0,58600.0,38057800.0,1.0,643.0,657.0,642.0,657.0,58600.0,643.0,False
2025-11-27,441A0,655.0,668.0,649.0,665.0,0,0,62200.0,41062400.0,1.0,655.0,668.0,649.0,665.0,62200.0,657.0,False
2025-11-28,441A0,661.0,704.0,658.0,699.0,0,0,143800.0,98779700.0,1.0,661.0,704.0,658.0,699.0,143800.0,665.0,False
2025-12-01,441A0,700.0,700.0,676.0,682.0,0,0,98800.0,67702100.0,1.0,700.0,700.0,676.0,682.0,98800.0,699.0,False
2025-12-02,441A0,681.0,681.0,659.0,668.0,0,0,57000.0,37974400.0,1.0,681.0,681.0,659.0,668.0,57000.0,682.0,False
2025-12-03,441A0,668.0,673.0,656.0,665.0,0,0,76200.0,50668600.0,1.0,668.0,673.0,656.0,665.0,76200.0,668.0,False
2025-12-04,441A0,661.0,677.0,661.0,669.0,0,0,31000.0,20727400.0,1.0,661.0,677.0,661.0,669.0,31000.0,665.0,False
2025-12-05,441A0,660.0,687.0,660.0,669.0,0,0,45100.0,30501400.0,1.0,660.0,687.0,660.0,669.0,45100.0,669.0,False
2025-12-08,441A0,669.0,690.0,669.0,687.0,0,0,44700.0,30471800.0,1.0,669.0,690.0,669.0,687.0,44700.0,669.0,False
2025-12-09,441A0,682.0,690.0,667.0,676.0,0,0,63100.0,42694700.0,1.0,682.0,690.0,667.0,676.0,63100.0,687.0,False
2025-12-10,441A0,672.0,686.0,667.0,677.0,0,0,38900.0,26402600.0,1.0,672.0,686.0,667.0,677.0,38900.0,676.0,False
2025-12-11,441A0,677.0,677.0,662.0,666.0,0,0,45500.0,30415700.0,1.0,677.0,677.0,662.0,666.0,45500.0,677.0,False
2025-12-12,441A0,672.0,680.0,670.0,678.0,0,0,23800.0,16068300.0,1.0,672.0,680.0,670.0,678.0,23800.0,666.0,False
2025-12-15,441A0,680.0,712.0,660.0,682.0,0,0,118400.0,81393400.0,1.0,680.0,712.0,660.0,682.0,118400.0,678.0,False
2025-12-16,441A0,692.0,705.0,682.0,701.0,0,0,66600.0,46184000.0,1.0,692.0,705.0,682.0,701.0,66600.0,682.0,False
