Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close
2025-11-19,447A0,255.1,261.2,252.0,253.6,0.0,0.0,272780.0,69376822.0,1.0,255.1,261.2,252.0,253.6,272780.0,
2025-11-20,447A0,259.0,259.0,254.9,257.3,0.0,0.0,264330.0,67822405.0,1.0,259.0,259.0,254.9,257.3,264330.0,253.6
2025-11-21,447A0,264.9,264.9,253.6,255.3,0.0,0.0,123970.0,31735214.0,1.0,264.9,264.9,253.6,255.3,123970.0,257.3
2025-11-25,447A0,261.3,261.3,256.3,260.6,0.0,0.0,187710.0,48636219.0,1.0,261.3,261.3,256.3,260.6,187710.0,255.3
2025-11-26,447A0,259.0,260.7,257.5,258.9,0.0,0.0,132560.0,34230942.0,1.0,259.0,260.7,257.5,258.9,132560.0,260.6
2025-11-27,447A0,261.0,261.0,257.6,258.6,0.0,0.0,88460.0,22858647.0,1.0,261.0,261.0,257.6,258.6,88460.0,258.9
2025-11-28,447A0,259.7,261.8,259.5,261.2,0.0,0.0,76910.0,20063667.0,1.0,259.7,261.8,259.5,261.2,76910.0,258.6
2025-12-01,447A0,262.7,264.9,261.6,262.7,0.0,0.0,117230.0,30786161.0,1.0,262.7,264.9,261.6,262.7,117230.0,261.2
2025-12-02,447A0,262.3,262.5,261.1,261.5,0.0,0.0,74440.0,19506812.0,1.0,262.3,262.5,261.1,261.5,74440.0,262.7
2025-12-03,447A0,261.9,262.2,260.9,261.2,0.0,0.0,45000.0,11768889.0,1.0,261.9,262.2,260.9,261.2,45000.0,261.5
2025-12-04,447A0,260.4,261.0,258.4,259.3,0.0,0.0,112220.0,29197410.0,1.0,260.4,261.0,258.4,259.3,112220.0,261.2
2025-12-05,447A0,260.3,260.8,259.3,260.8,0.0,0.0,41590.0,10815101.0,1.0,260.3,260.8,259.3,260.8,41590.0,259.3
2025-12-08,447A0,262.2,262.2,259.4,261.2,0.0,0.0,57710.0,15021498.0,1.0,262.2,262.2,259.4,261.2,57710.0,260.8
