Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,prev_close,stop_high
2025-08-26,92130.0,1082.0,1143.0,1025.0,1067.0,0.0,0.0,50500.0,55680100.0,1.0,1082.0,1143.0,1025.0,1067.0,50500.0,,False
2025-08-27,92130.0,1067.0,1067.0,919.0,919.0,0.0,0.0,30100.0,28916700.0,1.0,1067.0,1067.0,919.0,919.0,30100.0,1067.0,False
2025-08-28,92130.0,919.0,937.0,908.0,911.0,0.0,0.0,6600.0,6043600.0,1.0,919.0,937.0,908.0,911.0,6600.0,919.0,False
2025-08-29,92130.0,911.0,944.0,905.0,940.0,0.0,0.0,3800.0,3489700.0,1.0,911.0,944.0,905.0,940.0,3800.0,911.0,False
2025-09-01,92130.0,939.0,1090.0,909.0,1090.0,1.0,0.0,34100.0,34999800.0,1.0,939.0,1090.0,909.0,1090.0,34100.0,940.0,True
2025-09-02,92130.0,1197.0,1365.0,1151.0,1255.0,0.0,0.0,648300.0,815553600.0,1.0,1197.0,1365.0,1151.0,1255.0,648300.0,1090.0,False
2025-09-03,92130.0,1105.0,1355.0,1105.0,1304.0,0.0,0.0,412200.0,513627800.0,1.0,1105.0,1355.0,1105.0,1304.0,412200.0,1255.0,False
2025-09-04,92130.0,1244.0,1374.0,1111.0,1219.0,0.0,0.0,283200.0,356482500.0,1.0,1244.0,1374.0,1111.0,1219.0,283200.0,1304.0,False
2025-09-05,92130.0,1219.0,1415.0,1074.0,1201.0,0.0,0.0,403400.0,511263300.0,1.0,1219.0,1415.0,1074.0,1201.0,403400.0,1219.0,False
2025-09-08,92130.0,1220.0,1501.0,1154.0,1501.0,1.0,0.0,156300.0,213891400.0,1.0,1220.0,1501.0,1154.0,1501.0,156300.0,1201.0,True
2025-09-09,92130.0,1464.0,1901.0,1401.0,1901.0,1.0,0.0,489000.0,808643900.0,1.0,1464.0,1901.0,1401.0,1901.0,489000.0,1501.0,True
2025-09-10,92130.0,2171.0,2298.0,1853.0,1868.0,0.0,0.0,386200.0,816215400.0,1.0,2171.0,2298.0,1853.0,1868.0,386200.0,1901.0,False
2025-09-11,92130.0,1832.0,1930.0,1560.0,1560.0,0.0,0.0,217700.0,386757700.0,1.0,1832.0,1930.0,1560.0,1560.0,217700.0,1868.0,False
2025-09-12,92130.0,1544.0,1544.0,1160.0,1160.0,0.0,1.0,239400.0,311433700.0,1.0,1544.0,1544.0,1160.0,1160.0,239400.0,1560.0,False
2025-09-16,92130.0,1104.0,1155.0,1061.0,1093.0,0.0,0.0,67600.0,74449100.0,1.0,1104.0,1155.0,1061.0,1093.0,67600.0,1160.0,False
