date,ad_ratio,nikkei_est,top20,strong_up_ratio,vw_change,up,down,total
2025-03-04,0.325,-0.6,0.78,0.0167,0.54,39,78,120
2025-03-05,0.6,0.21,1.13,0.0167,0.69,72,42,120
2025-03-06,0.6116,0.38,1.24,0.0,-0.87,74,43,121
2025-03-07,0.2645,-0.98,0.5,0.0,1.0,32,85,121
2025-03-10,0.5167,0.06,0.82,0.0167,0.58,62,52,120
2025-03-11,0.2917,-0.62,0.71,0.0167,1.56,35,81,120
2025-03-12,0.6833,0.57,1.49,0.025,0.9,82,34,120
2025-03-13,0.525,0.07,0.88,0.025,0.58,63,52,120
2025-03-14,0.5917,0.3,1.37,0.0333,0.94,71,39,120
2025-03-17,0.6694,0.5,1.23,0.0083,-0.53,81,30,121
2025-03-18,0.6311,0.35,1.2,0.0164,-0.86,77,39,122
2025-03-19,0.6557,0.36,1.09,0.0246,0.62,80,36,122
2025-03-21,0.4959,0.0,0.65,0.0083,0.57,60,54,121
2025-03-24,0.405,-0.19,0.91,0.0165,-0.21,49,68,121
2025-03-25,0.6694,0.32,0.94,0.0165,-0.32,81,36,121
2025-03-26,0.6281,0.33,1.27,0.0331,1.84,76,34,121
2025-03-27,0.5124,0.05,0.89,0.0083,-0.07,62,54,121
2025-03-28,0.2562,-0.92,0.49,0.0,0.48,31,83,121
2025-03-31,0.0661,-2.28,-0.93,0.0413,1.7,8,111,121
2025-04-01,0.4333,-0.07,0.8,0.0167,3.41,52,63,120
2025-04-02,0.1818,-0.99,0.0,0.0165,-3.93,22,93,121
2025-04-03,0.1475,-1.62,-0.18,0.041,1.32,18,102,122
2025-04-04,0.2049,-2.63,0.04,0.0328,1.62,25,96,122
2025-04-07,0.0656,-7.03,-3.19,0.041,3.6,8,114,122
2025-04-08,0.9098,5.07,9.82,0.5082,-4.18,111,10,122
2025-04-09,0.1475,-2.73,-0.47,0.041,1.11,18,103,122
2025-04-10,0.9504,4.87,7.47,0.4628,-7.75,115,6,121
2025-04-11,0.4583,-0.44,3.66,0.125,0.92,55,64,120
2025-04-14,0.7583,0.89,2.3,0.0333,0.63,91,23,120
2025-04-15,0.5966,0.51,1.59,0.042,5.15,71,45,119
2025-04-16,0.375,-0.53,1.27,0.025,0.08,45,69,120
2025-04-17,0.6167,0.58,1.71,0.025,-0.68,74,41,120
2025-04-18,0.8151,1.75,3.2,0.1008,3.71,97,20,119
2025-04-21,0.438,-0.18,0.96,0.0248,-2.26,53,64,121
2025-04-22,0.5167,0.08,0.92,0.0,-0.2,62,49,120
