drop_lo,drop_hi,rb_min,gap_max,exit,condition,top_n,lower_shadow_min,vol_decay_req,consec_drop_min,pattern,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
-3.8,-3.0,5,4.4,TP+1.4%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.565,130,60.0,0.059,7.7,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.565,130,60.0,0.059,7.7,★
-3.8,-3.0,5,4.2,TP+1.4%/SL-5.9%,STRONG,全件,0.0,0,1,-,15.0,0.541,130,60.0,0.057,7.4,★
-3.8,-3.0,5,4.6,TP+1.3%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.532,130,61.5,0.054,7.1,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.532,130,61.5,0.054,7.1,★
-3.8,-3.0,5,4.5,TP+1.3%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.532,130,61.5,0.054,7.1,★
-3.8,-3.0,5,4.9,TP+1.4%/SL-5.6%,STRONG,全件,0.0,0,1,-,15.0,0.529,130,60.0,0.056,7.2,★
-3.8,-3.0,5,4.6,TP+1.5%/SL-5.8%,STRONG,全件,0.0,0,1,-,15.0,0.527,130,59.2,0.057,7.4,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.0%,STRONG,全件,0.0,0,1,-,15.0,0.516,130,60.0,0.054,7.1,★
-3.8,-3.0,5,4.0,TP+1.4%/SL-5.6%,STRONG,全件,0.0,0,1,-,15.0,0.51,128,59.4,0.054,6.9,★
-3.8,-3.0,5,4.2,TP+1.3%/SL-5.9%,STRONG,全件,0.0,0,1,-,15.0,0.507,130,61.5,0.052,6.8,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-5.9%,STRONG,全件,0.0,0,1,-,15.0,0.503,130,59.2,0.054,7.1,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-5.9%,STRONG,全件,0.0,0,1,-,15.0,0.503,130,59.2,0.054,7.1,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-5.9%,STRONG,全件,0.0,0,1,-,15.0,0.503,130,59.2,0.054,7.1,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-5.6%,STRONG,全件,0.0,0,1,-,15.0,0.495,130,61.5,0.051,6.6,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.492,130,60.0,0.052,6.8,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.492,130,60.0,0.052,6.8,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.492,130,60.0,0.052,6.8,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.492,130,60.0,0.052,6.8,★
-3.8,-3.0,5,4.6,TP+1.4%/SL-6.2%,STRONG,全件,0.0,0,1,-,15.0,0.468,130,60.0,0.05,6.5,★
-3.8,-3.0,5,3.7,TP+1.5%/SL-6.0%,STRONG,全件,0.0,0,1,-,15.0,0.461,128,58.6,0.05,6.5,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-5.4%,STRONG,全件,0.0,0,1,-,15.0,0.459,130,60.0,0.049,6.3,★
-3.8,-3.0,5,4.4,TP+1.3%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.457,130,61.5,0.047,6.2,★
-3.8,-3.0,5,4.5,TP+1.3%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.457,130,61.5,0.047,6.2,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.456,130,59.2,0.05,6.5,★
-3.8,-3.0,5,4.3,TP+1.5%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.456,130,59.2,0.05,6.5,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.3%,STRONG,全件,0.0,0,1,-,15.0,0.444,130,60.0,0.048,6.2,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.3%,STRONG,全件,0.0,0,1,-,15.0,0.444,130,60.0,0.048,6.2,★
-3.8,-3.0,5,3.9,TP+1.3%/SL-6.1%,STRONG,全件,0.0,0,1,-,15.0,0.437,128,60.9,0.046,5.8,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-6.2%,STRONG,全件,0.0,0,1,-,15.0,0.433,130,59.2,0.048,6.2,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-6.2%,STRONG,全件,0.0,0,1,-,15.0,0.433,130,61.5,0.045,5.9,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-6.2%,STRONG,全件,0.0,0,1,-,15.0,0.433,130,61.5,0.045,5.9,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-5.4%,STRONG,全件,0.0,0,1,-,15.0,0.423,130,61.5,0.044,5.7,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.42,130,60.0,0.045,5.9,★
-3.8,-3.0,5,4.1,TP+1.4%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.42,130,60.0,0.045,5.9,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.42,130,60.0,0.045,5.9,★
-3.8,-3.0,5,4.9,TP+1.4%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.42,130,60.0,0.045,5.9,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.42,130,60.0,0.045,5.9,★
-3.8,-3.0,5,3.9,TP+1.3%/SL-5.4%,STRONG,全件,0.0,0,1,-,15.0,0.403,128,60.9,0.042,5.4,★
-3.8,-3.0,5,4.6,TP+1.5%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.387,130,59.2,0.043,5.6,★
-3.8,-3.0,5,4.1,TP+1.5%/SL-6.4%,STRONG,全件,0.0,0,1,-,15.0,0.387,130,59.2,0.043,5.6,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-5.5%,STRONG,全件,0.0,0,1,-,15.0,0.386,130,59.2,0.042,5.5,★
-3.8,-3.0,5,4.4,TP+1.3%/SL-5.5%,STRONG,全件,0.0,0,1,-,15.0,0.383,130,61.5,0.04,5.2,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-5.5%,STRONG,全件,0.0,0,1,-,15.0,0.383,130,61.5,0.04,5.2,★
-3.8,-3.0,5,3.9,TP+1.4%/SL-6.5%,STRONG,全件,0.0,0,1,-,15.0,0.377,128,59.4,0.041,5.3,★
-3.8,-3.0,5,3.8,TP+1.4%/SL-6.5%,STRONG,全件,0.0,0,1,-,15.0,0.377,128,59.4,0.041,5.3,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.6%,STRONG,全件,0.0,0,1,-,15.0,0.373,130,60.0,0.041,5.3,★
-3.8,-3.0,5,4.4,TP+1.4%/SL-6.6%,STRONG,全件,0.0,0,1,-,15.0,0.373,130,60.0,0.041,5.3,★
-3.8,-3.0,5,4.4,TP+1.4%/SL-6.6%,STRONG,全件,0.0,0,1,-,15.0,0.373,130,60.0,0.041,5.3,★
-3.8,-3.0,5,4.8,TP+1.4%/SL-6.7%,STRONG,全件,0.0,0,1,-,15.0,0.35,130,60.0,0.038,5.0,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-6.7%,STRONG,全件,0.0,0,1,-,15.0,0.35,130,60.0,0.038,5.0,★
-3.8,-3.0,5,3.8,TP+1.3%/SL-6.5%,STRONG,全件,0.0,0,1,-,15.0,0.34,128,60.9,0.036,4.6,★
-3.8,-3.0,5,3.9,TP+1.3%/SL-6.5%,STRONG,全件,0.0,0,1,-,15.0,0.34,128,60.9,0.036,4.6,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-6.6%,STRONG,全件,0.0,0,1,-,15.0,0.337,130,61.5,0.036,4.7,★
-3.8,-3.0,5,4.3,TP+1.4%/SL-6.9%,STRONG,全件,0.0,0,1,-,15.0,0.305,130,60.0,0.034,4.4,★
-3.8,-3.0,5,4.9,TP+1.5%/SL-6.8%,STRONG,全件,0.0,0,1,-,15.0,0.298,130,59.2,0.034,4.4,★
-3.8,-3.0,5,4.1,TP+1.5%/SL-6.8%,STRONG,全件,0.0,0,1,-,15.0,0.298,130,59.2,0.034,4.4,★
-3.8,-3.0,5,4.5,TP+1.3%/SL-6.8%,STRONG,全件,0.0,0,1,-,15.0,0.291,130,61.5,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,4.9,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,4.2,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,4.6,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.283,130,60.0,0.031,4.1,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-6.9%,STRONG,全件,0.0,0,1,-,15.0,0.276,130,59.2,0.031,4.1,★
-3.8,-3.0,5,4.0,TP+1.4%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.276,129,59.7,0.031,4.0,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-5.2%,STRONG,全件,0.0,0,1,-,15.0,0.27,130,59.2,0.03,3.9,★
-3.8,-3.0,5,4.5,TP+1.3%/SL-6.9%,STRONG,全件,0.0,0,1,-,15.0,0.268,130,61.5,0.029,3.8,★
-3.8,-3.0,5,5.0,TP+1.3%/SL-5.2%,STRONG,全件,0.0,0,1,-,15.0,0.262,130,61.5,0.028,3.6,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.255,130,59.2,0.029,3.8,★
-3.8,-3.0,5,4.2,TP+1.5%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.255,130,59.2,0.029,3.8,★
-3.8,-3.0,5,4.5,TP+1.5%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.255,130,59.2,0.029,3.8,★
-3.8,-3.0,5,4.9,TP+1.5%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.255,130,59.2,0.029,3.8,★
-3.8,-3.0,5,5.0,TP+1.5%/SL-7.0%,STRONG,全件,0.0,0,1,-,15.0,0.255,130,59.2,0.029,3.8,★
