gen,best,mean,top5,valid_n
0,12.606,-0.216,12.453,19501
1,15.0,1.148,13.887,26338
2,15.0,2.994,15.0,27175
3,15.0,5.402,15.0,27881
4,15.0,7.233,15.0,28131
5,15.0,8.35,15.0,28213
6,15.0,9.298,15.0,28238
7,15.0,10.082,15.0,28083
8,15.0,10.653,15.0,28085
9,15.0,11.114,15.0,28108
10,15.0,11.504,15.0,28131
11,15.0,11.75,15.0,28161
12,15.0,11.912,15.0,28136
13,15.0,12.035,15.0,28091
14,15.0,12.154,15.0,28142
15,15.0,12.211,15.0,28287
16,15.0,12.181,15.0,28189
17,15.0,12.292,15.0,28199
18,15.0,12.288,15.0,28112
19,15.0,12.329,15.0,28220
20,15.0,12.324,15.0,28197
21,15.0,12.283,15.0,28112
22,15.0,12.29,15.0,28247
23,15.0,12.278,15.0,28244
24,15.0,12.291,15.0,28164
25,15.0,12.3,15.0,28264
26,15.0,12.309,15.0,28183
27,15.0,12.351,15.0,28238
28,15.0,12.305,15.0,28246
29,15.0,12.314,15.0,28283
30,15.0,12.31,15.0,28223
31,15.0,12.291,15.0,28248
32,15.0,12.274,15.0,28323
33,15.0,12.314,15.0,28301
34,15.0,12.226,15.0,28292
35,15.0,12.32,15.0,28276
36,15.0,12.308,15.0,28297
37,15.0,12.336,15.0,28233
38,15.0,12.31,15.0,28282
39,15.0,12.281,15.0,28290
40,15.0,12.288,15.0,28210
41,15.0,12.363,15.0,28245
42,15.0,12.327,15.0,28256
43,15.0,12.333,15.0,28211
44,15.0,12.31,15.0,28227
45,15.0,12.345,15.0,28271
46,15.0,12.334,15.0,28224
47,15.0,12.329,15.0,28176
48,15.0,12.303,15.0,28311
49,15.0,12.346,15.0,28280
50,15.0,12.338,15.0,28238
51,15.0,12.332,15.0,28334
52,15.0,12.344,15.0,28363
53,15.0,12.318,15.0,28214
54,15.0,12.323,15.0,28205
55,15.0,12.306,15.0,28282
56,15.0,12.359,15.0,28204
57,15.0,12.325,15.0,28281
58,15.0,12.321,15.0,28277
59,15.0,12.293,15.0,28319
60,15.0,12.384,15.0,28237
61,15.0,12.329,15.0,28277
62,15.0,12.351,15.0,28285
63,15.0,12.292,15.0,28278
64,15.0,12.366,15.0,28254
65,15.0,12.361,15.0,28243
66,15.0,12.331,15.0,28269
67,15.0,12.338,15.0,28275
68,15.0,12.276,15.0,28256
69,15.0,12.315,15.0,28318
70,15.0,12.314,15.0,28273
71,15.0,12.34,15.0,28266
72,15.0,12.314,15.0,28203
73,15.0,12.303,15.0,28232
74,15.0,12.271,15.0,28309
75,15.0,12.323,15.0,28268
76,15.0,12.327,15.0,28307
77,15.0,12.329,15.0,28329
78,15.0,12.265,15.0,28262
79,15.0,12.289,15.0,28205
80,15.0,12.306,15.0,28230
81,15.0,12.333,15.0,28242
82,15.0,12.321,15.0,28315
83,15.0,12.328,15.0,28231
84,15.0,12.301,15.0,28208
85,15.0,12.284,15.0,28334
86,15.0,12.312,15.0,28242
87,15.0,12.236,15.0,28281
88,15.0,12.31,15.0,28250
89,15.0,12.312,15.0,28344
90,15.0,12.333,15.0,28265
91,15.0,12.34,15.0,28340
92,15.0,12.343,15.0,28274
93,15.0,12.371,15.0,28235
94,15.0,12.329,15.0,28297
95,15.0,12.388,15.0,28266
96,15.0,12.3,15.0,28279
97,15.0,12.362,15.0,28270
98,15.0,12.33,15.0,28305
99,15.0,12.351,15.0,28208
