type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),0.2,10.0,0.0,50.0,-10.4,9.6,5.3,3.5,6.8,-7.0,STRONG,全件,0.27,0,0,5.0,5.0,469,64.4,0.796,373.5,★
A(順張り),0.0,6.1,0.8,46.1,-1.2,4.7,0.5,3.6,6.2,-3.6,STRONG,全件,0.38,0,1,5.0,5.0,773,63.3,0.551,425.6,★
AB(複合),0.8,8.6,1.3,34.9,-9.5,7.9,0.0,0.7,5.4,-3.9,STRONG,全件,0.14,0,2,5.0,5.0,647,65.2,0.681,440.6,★
A(順張り),1.8,4.6,0.6,25.7,-1.7,10.0,2.1,3.8,6.8,-6.6,STRONG,全件,0.13,0,0,5.0,5.0,818,62.0,0.639,523.1,★
AB(複合),0.0,7.8,0.0,32.9,-6.6,9.9,0.0,4.8,9.3,-5.5,STRONG,全件,0.16,0,0,5.0,5.0,13843,64.0,0.636,8797.4,★
AB(複合),0.0,9.6,0.0,5.2,-2.9,10.0,5.5,3.0,8.5,-5.4,STRONG,全件,0.06,0,0,5.0,5.0,575,66.1,0.751,431.8,★
AB(複合),0.0,8.8,0.0,47.5,-6.5,2.6,0.0,8.0,5.5,-5.1,STRONG,全件,0.0,0,1,5.0,5.0,10353,64.6,0.605,6263.1,★
AB(複合),0.3,10.0,0.7,20.1,-8.0,5.4,4.7,0.9,6.0,-3.9,STRONG,全件,0.01,0,0,5.0,5.0,917,67.0,0.779,714.0,★
AB(複合),0.5,6.0,0.0,25.8,-5.7,9.9,1.2,1.9,9.6,-6.4,STRONG,全件,0.13,0,0,5.0,5.0,3698,64.8,0.706,2612.4,★
AB(複合),0.0,8.0,0.0,29.5,-12.0,7.0,0.8,0.3,10.0,-4.7,STRONG,全件,0.34,0,1,5.0,5.0,785,66.9,0.787,617.9,★
AB(複合),0.7,7.3,0.4,19.5,-5.2,5.7,0.0,2.4,10.0,-4.0,STRONG,全件,0.01,0,0,5.0,5.0,12966,65.8,0.69,8951.1,★
AB(複合),0.0,9.5,0.0,50.0,-7.6,10.0,2.1,5.8,5.0,-4.3,STRONG,全件,0.0,0,2,5.0,5.0,2189,64.0,0.604,1321.2,★
AB(複合),0.0,10.0,0.1,5.5,-2.9,6.4,2.3,6.0,4.6,-7.0,STRONG,全件,0.0,0,2,5.0,5.0,1619,65.7,0.606,981.8,★
