type,score_min,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
混合,2.1,1.6,33.1,-1.0,1.0,7.7,0.0,1.7,-5.2,STRONG,999,0.05,0,0,226380562.487,27.064,14,92.9,1.177,16.5,★
混合,3.5,2.6,41.9,-5.0,5.2,8.0,0.1,1.9,-3.7,STRONG,999,0.09,0,3,253013525.95,19.108,12,91.7,1.317,15.8,★
混合,3.5,2.6,41.9,-5.0,3.8,8.0,0.1,1.9,-3.7,STRONG,999,0.09,0,3,253013525.95,19.108,12,91.7,1.317,15.8,★
混合,0.0,1.7,37.7,-2.6,4.4,8.0,-0.6,1.9,-3.9,STRONG,999,0.1,0,1,253013525.95,12.253,12,83.3,0.912,10.9,★
B(逆張り),4.1,3.1,45.8,-5.1,-0.4,6.8,0.2,2.4,-2.0,STRONG,999,0.05,0,1,10.726,12.223,14,78.6,1.149,16.1,★
混合,1.5,1.9,44.0,-2.9,2.2,6.7,-0.6,1.4,-7.0,STRONG,999,0.09,0,1,186431014.108,12.12,14,85.7,0.729,10.2,★
混合,2.4,2.6,41.9,-3.6,1.2,7.5,-0.3,2.8,-7.0,STRONG,999,0.09,0,1,186431014.108,11.828,11,81.8,1.196,13.2,★
混合,2.4,2.6,41.9,-3.6,0.3,7.5,-0.3,2.8,-7.0,STRONG,999,0.09,0,1,186431014.108,11.828,11,81.8,1.196,13.2,★
混合,2.4,2.6,37.9,-3.6,0.3,7.5,-0.3,2.8,-7.0,STRONG,999,0.09,0,1,186431014.108,11.828,11,81.8,1.196,13.2,★
混合,2.4,2.6,42.2,-3.6,1.5,8.0,-0.3,2.8,-7.0,STRONG,999,0.09,0,1,186431014.108,11.828,11,81.8,1.196,13.2,★
B(逆張り),0.0,3.1,45.8,-5.1,-1.3,8.0,0.6,2.3,-0.5,STRONG,999,0.0,0,1,15.556,11.587,23,65.2,0.865,19.9,★
混合,2.0,2.6,41.9,-3.6,0.3,7.5,-0.3,2.8,-7.0,STRONG,999,0.09,0,1,186431014.108,11.299,13,76.9,1.098,14.3,★
B(逆張り),3.6,0.0,38.4,-3.6,-1.3,6.5,0.0,1.1,-0.5,STRONG,999,0.05,0,0,146481545.102,11.183,23,78.3,0.461,10.6,★
混合,2.0,2.6,41.9,-3.6,0.3,7.6,-0.3,2.2,-4.3,STRONG,999,0.09,0,1,146481545.102,11.174,13,76.9,0.987,12.8,★
混合,2.7,5.7,29.2,-14.7,4.8,6.3,4.2,8.8,-5.2,全地合い,5,0.13,0,0,-1.055,11.069,14,71.4,1.469,20.6,★
B(逆張り),4.7,3.1,45.8,-5.1,-1.3,6.8,0.6,2.4,-2.0,STRONG,999,0.0,0,1,8.996,10.924,22,77.3,0.893,19.6,★
混合,3.1,3.3,21.6,-3.4,1.0,7.7,0.0,1.7,-3.9,STRONG,999,0.1,0,0,226380562.487,10.77,10,70.0,0.873,8.7,★
B(逆張り),1.9,2.6,31.3,-3.6,-1.0,6.8,0.2,3.2,-2.0,STRONG,999,0.12,0,1,34.876,10.712,23,78.3,1.029,23.7,★
B(逆張り),1.9,2.6,38.2,-3.6,-1.0,6.8,0.2,3.2,-2.0,STRONG,999,0.12,0,0,34.876,10.712,23,78.3,1.029,23.7,★
混合,0.0,2.6,40.4,-3.6,0.9,5.4,-0.5,1.0,-0.5,STRONG,999,0.0,0,2,123.398,10.653,15,80.0,0.403,6.0,★
混合,0.0,2.6,40.4,-3.6,2.2,5.4,-0.5,1.0,-0.5,STRONG,999,0.0,0,2,123.398,10.653,15,80.0,0.403,6.0,★
混合,1.6,2.6,41.9,-3.6,0.3,7.5,-0.3,2.8,-7.0,STRONG,999,0.09,0,2,186431014.108,10.503,10,80.0,1.089,10.9,★
混合,1.7,3.3,33.1,-3.4,1.0,7.7,0.0,1.7,-5.2,STRONG,999,0.1,0,0,226380562.487,10.467,11,72.7,0.817,9.0,★
混合,0.7,1.6,35.1,-3.3,0.5,8.0,-0.0,1.9,-4.9,STRONG,999,0.04,0,2,253013557.699,10.095,20,80.0,0.817,16.3,★
混合,0.5,1.6,45.8,-3.6,0.2,8.0,-0.5,1.9,-6.1,STRONG,999,0.1,0,0,253013557.699,9.853,21,76.2,0.813,17.1,★
混合,0.0,1.5,47.8,-3.6,2.2,7.6,-0.0,1.9,-5.6,STRONG,999,0.04,0,2,253013557.699,9.769,26,76.9,0.789,20.5,★
B(逆張り),0.0,1.6,41.9,-3.6,-0.1,8.0,-0.0,1.9,-4.9,STRONG,999,0.04,0,2,253013557.699,9.769,26,76.9,0.789,20.5,★
混合,0.3,1.6,28.8,-3.6,2.2,7.6,-0.0,1.9,-5.6,STRONG,999,0.04,0,2,253013557.699,9.769,26,76.9,0.789,20.5,★
混合,0.0,1.7,50.0,-3.7,0.2,7.6,-0.5,1.9,-4.2,STRONG,999,0.05,0,0,253013557.699,9.543,22,72.7,0.776,17.1,★
混合,0.4,1.6,50.0,-5.0,5.2,8.0,0.1,1.9,-3.7,STRONG,999,0.1,0,2,253013557.699,9.5,43,79.1,0.829,35.7,★
