score_min,gap_min,gap_max,rise_lo,tp,sl,cond,in_sharpe,out_sharpe,out_n,out_wr,out_avg,stable
0.0,-4.49,2.2,-5.8,10.0,-5.8,STRONG,5.0,5.0,25561,66.4,0.69,★
0.0,-9.64,0.38,-3.81,4.8,-8.4,STRONG,5.0,5.0,12216,70.5,0.793,★
0.0,-9.93,1.39,-8.91,3.2,-3.1,STRONG,5.0,5.0,22169,67.7,0.647,★
0.0,-5.65,0.72,-10.0,8.8,-10.0,STRONG,5.0,5.0,16398,69.6,0.804,★
0.93,-9.94,1.62,-10.0,4.8,-9.6,STRONG,5.0,5.0,14735,66.6,0.678,★
0.73,-5.3,0.0,-7.1,3.8,-1.1,STRONG,5.0,5.0,6010,61.8,0.824,★
0.0,-6.79,0.0,-2.92,3.9,-9.9,STRONG,5.0,5.0,7772,71.4,0.824,★
0.28,-10.0,2.22,-8.64,3.8,-7.6,STRONG,5.0,5.0,23034,66.5,0.632,★
0.0,-8.0,0.0,-3.28,8.5,-9.6,STRONG,5.0,5.0,7960,70.8,0.895,★
0.4,-9.53,0.0,-5.19,8.2,-9.9,STRONG,5.0,5.0,7051,69.9,0.901,★
0.21,-6.81,0.0,-8.0,6.0,-8.3,STRONG,5.0,5.0,7780,70.6,0.885,★
0.67,-9.5,1.82,-7.42,1.9,-10.0,STRONG,5.0,5.0,17602,68.5,0.517,★
1.17,-9.74,0.0,-3.38,4.7,-8.4,STRONG,5.0,5.0,4589,68.9,0.809,★
0.0,-5.02,0.0,-6.83,7.0,-5.1,STRONG,5.0,5.0,8328,70.9,0.897,★
0.49,-2.86,0.0,-7.93,2.9,-7.9,STRONG,5.0,5.0,6429,71.5,0.769,★
1.37,-8.11,1.09,-9.4,6.4,-7.3,STRONG,5.0,5.0,9810,66.8,0.726,★
0.0,-4.48,1.21,-6.27,7.0,-3.9,STRONG,5.0,5.0,20420,68.3,0.727,★
0.17,-2.96,0.0,-6.03,7.1,-10.0,STRONG,5.0,5.0,7354,71.3,0.899,★
0.0,-8.3,2.69,-2.99,6.8,-9.5,STRONG,5.0,5.0,25180,66.1,0.653,★
0.0,-3.53,0.51,-8.23,10.0,-8.8,STRONG,5.0,5.0,13812,70.4,0.83,★
0.0,-8.53,2.52,-1.44,3.7,-8.3,STRONG,5.0,5.0,21613,66.6,0.616,★
0.12,-4.04,0.19,-1.91,2.5,-7.5,STRONG,5.0,5.0,8299,72.2,0.718,★
0.06,-4.11,0.24,-0.17,5.6,-6.6,STRONG,5.0,5.0,6443,70.2,0.824,★
0.0,-4.99,0.33,-2.78,5.5,-9.4,STRONG,5.0,5.0,10979,70.9,0.815,★
0.88,-4.61,0.0,-8.9,3.8,-5.9,STRONG,5.0,5.0,5615,69.5,0.799,★
0.0,-9.65,0.57,-4.71,7.9,-3.7,STRONG,5.0,5.0,14522,69.4,0.786,★
0.0,-7.06,0.0,-10.0,5.0,-6.6,STRONG,5.0,5.0,8621,70.7,0.874,★
1.03,-9.79,0.0,-3.19,4.5,-10.0,STRONG,5.0,5.0,4884,69.3,0.822,★
1.77,-4.73,0.0,-8.49,2.0,-0.8,STRONG,5.0,5.0,3580,59.9,0.74,★
1.34,-7.22,0.45,-2.74,6.5,-4.9,STRONG,5.0,5.0,6168,67.6,0.743,★
0.01,-7.18,0.0,-5.0,10.0,-10.0,STRONG,5.0,5.0,8279,70.7,0.911,★
0.0,-10.0,3.11,-1.17,4.8,-5.8,STRONG,5.0,5.0,21377,66.0,0.62,★
1.41,-2.34,2.62,-4.0,5.5,-2.9,STRONG,5.0,5.0,11599,64.0,0.615,★
0.56,-10.0,0.0,-10.0,9.1,-5.9,STRONG,5.0,5.0,6793,69.3,0.936,★
0.71,-10.0,0.0,-7.97,7.0,-10.0,STRONG,5.0,5.0,6264,69.4,0.908,★
0.0,-6.47,0.77,-3.72,4.5,-10.0,STRONG,5.0,5.0,16130,69.8,0.749,★
0.0,-9.16,0.0,-4.98,9.9,-2.6,STRONG,5.0,5.0,8360,68.6,0.862,★
0.0,-7.04,0.0,-4.15,8.6,-10.0,STRONG,5.0,5.0,8153,70.8,0.905,★
0.0,-8.96,3.25,-7.61,8.8,-4.3,STRONG,5.0,5.0,27993,65.3,0.658,★
0.0,-4.54,0.71,-3.45,3.8,-1.3,STRONG,5.0,5.0,15267,65.9,0.714,★
1.07,-5.77,0.0,-8.01,3.0,-10.0,STRONG,5.0,5.0,5153,70.0,0.739,★
0.12,-6.48,0.38,-2.99,8.6,-10.0,STRONG,5.0,5.0,11119,70.5,0.819,★
0.04,-5.35,4.38,-8.74,5.1,-8.8,STRONG,5.0,5.0,28461,65.4,0.629,★
0.0,-7.63,0.0,-2.2,4.2,-2.2,STRONG,5.0,5.0,7487,68.9,0.804,★
1.2,-3.65,0.0,-7.23,5.0,-5.7,STRONG,5.0,5.0,4604,69.2,0.842,★
