rate_min,score_min,exit,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
1.78,0.0,TP+2.5%/SL-0.3%,5.0,1.129,30,26.7,0.211,6.3,★
1.78,0.0,TP+2.6%/SL-0.3%,5.0,1.058,30,26.7,0.186,5.6,★
1.78,0.0,TP+2.4%/SL-0.3%,5.0,1.038,30,26.7,0.193,5.8,★
1.86,0.0,TP+2.3%/SL-0.3%,5.0,1.021,30,26.7,0.186,5.6,★
1.76,0.0,TP+2.3%/SL-0.3%,5.0,1.021,30,26.7,0.186,5.6,★
1.87,0.0,TP+2.3%/SL-0.3%,5.0,1.021,30,26.7,0.186,5.6,★
1.78,0.0,TP+2.3%/SL-0.3%,5.0,1.021,30,26.7,0.186,5.6,★
1.87,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.75,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.82,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.77,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.84,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.78,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.86,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.8,0.0,TP+2.2%/SL-0.3%,5.0,1.003,30,26.7,0.179,5.4,★
1.78,0.0,TP+1.4%/SL-0.3%,5.0,0.999,30,36.7,0.18,5.4,★
1.86,0.0,TP+2.1%/SL-0.3%,5.0,0.984,30,26.7,0.173,5.2,★
1.87,0.0,TP+2.1%/SL-0.3%,5.0,0.984,30,26.7,0.173,5.2,★
1.78,0.0,TP+2.1%/SL-0.3%,5.0,0.984,30,26.7,0.173,5.2,★
1.77,0.0,TP+2.1%/SL-0.3%,5.0,0.984,30,26.7,0.173,5.2,★
1.76,0.0,TP+2.0%/SL-0.3%,5.0,0.964,30,26.7,0.166,5.0,★
1.86,0.0,TP+2.0%/SL-0.3%,5.0,0.964,30,26.7,0.166,5.0,★
1.78,0.0,TP+2.0%/SL-0.3%,5.0,0.964,30,26.7,0.166,5.0,★
1.87,0.0,TP+2.0%/SL-0.3%,5.0,0.964,30,26.7,0.166,5.0,★
1.78,0.0,TP+1.6%/SL-0.3%,5.0,0.817,30,30.0,0.158,4.7,★
1.72,0.0,TP+2.2%/SL-0.3%,5.0,0.764,35,22.9,0.111,3.9,★
1.74,0.0,TP+2.2%/SL-0.3%,5.0,0.764,35,22.9,0.111,3.9,★
1.76,0.0,TP+1.5%/SL-0.3%,5.0,0.74,30,30.0,0.138,4.2,★
1.86,0.0,TP+1.5%/SL-0.3%,5.0,0.74,30,30.0,0.138,4.2,★
1.78,0.0,TP+1.5%/SL-0.3%,5.0,0.74,30,30.0,0.138,4.2,★
1.74,0.0,TP+2.1%/SL-0.3%,5.0,0.738,35,22.9,0.105,3.7,★
1.75,0.0,TP+1.8%/SL-0.3%,5.0,0.671,30,26.7,0.133,4.0,★
1.78,0.0,TP+1.8%/SL-0.3%,5.0,0.671,30,26.7,0.133,4.0,★
1.86,0.0,TP+1.8%/SL-0.3%,5.0,0.671,30,26.7,0.133,4.0,★
1.78,0.0,TP+2.1%/SL-0.4%,5.0,0.666,30,30.0,0.122,3.6,★
1.78,0.0,TP+1.9%/SL-0.3%,5.0,0.531,30,26.7,0.1,3.0,★
1.76,0.0,TP+1.9%/SL-0.3%,5.0,0.531,30,26.7,0.1,3.0,★
1.86,0.0,TP+2.4%/SL-0.5%,5.0,0.373,30,30.0,0.075,2.2,★
1.86,0.0,TP+2.3%/SL-0.5%,5.0,0.345,30,30.0,0.068,2.0,★
1.78,0.0,TP+2.6%/SL-0.5%,5.0,0.322,30,30.0,0.062,1.9,★
1.78,0.0,TP+2.2%/SL-0.5%,5.0,0.317,30,30.0,0.062,1.8,★
1.87,0.0,TP+2.2%/SL-0.5%,5.0,0.317,30,30.0,0.062,1.8,★
1.86,0.0,TP+2.2%/SL-0.5%,5.0,0.317,30,30.0,0.062,1.8,★
1.78,0.0,TP+2.1%/SL-0.5%,5.0,0.287,30,30.0,0.055,1.6,★
1.87,0.0,TP+2.0%/SL-0.5%,5.0,0.257,30,30.0,0.048,1.4,★
1.78,0.0,TP+2.0%/SL-0.5%,5.0,0.257,30,30.0,0.048,1.4,★
1.7,0.0,TP+2.0%/SL-0.3%,5.0,0.108,45,17.8,0.011,0.5,★
1.86,0.0,TP+2.2%/SL-0.6%,5.0,-0.025,30,30.0,-0.005,-0.2,
1.87,0.0,TP+2.2%/SL-0.6%,5.0,-0.025,30,30.0,-0.005,-0.2,
1.78,0.0,TP+2.2%/SL-0.6%,5.0,-0.025,30,30.0,-0.005,-0.2,
1.78,0.0,TP+2.1%/SL-0.6%,5.0,-0.059,30,30.0,-0.012,-0.4,
1.7,0.0,TP+1.5%/SL-0.3%,5.0,-0.072,45,20.0,-0.008,-0.3,
1.87,0.0,TP+2.0%/SL-0.6%,5.0,-0.093,30,30.0,-0.018,-0.6,
1.86,0.0,TP+2.0%/SL-0.6%,5.0,-0.093,30,30.0,-0.018,-0.6,
1.78,0.0,TP+2.0%/SL-0.6%,5.0,-0.093,30,30.0,-0.018,-0.6,
