gen,best,mean,top5,valid_n
0,4.1,-1.08,4.017,2278
1,4.1,0.546,4.1,2868
2,4.75,2.08,4.677,2956
3,4.75,2.938,4.75,2993
4,5.0,3.316,4.917,2990
5,5.0,3.62,5.0,2996
6,5.0,3.997,5.0,2998
7,5.0,4.178,5.0,2997
8,5.0,4.229,5.0,2999
9,5.0,4.257,5.0,2999
10,5.0,4.326,5.0,3000
11,5.0,4.388,5.0,3000
12,5.0,4.386,5.0,2998
13,5.0,4.365,5.0,3000
14,5.0,4.362,5.0,2999
15,5.0,4.386,5.0,3000
16,5.0,4.376,5.0,2998
17,5.0,4.384,5.0,3000
18,5.0,4.405,5.0,3000
19,5.0,4.371,5.0,3000
20,5.0,4.375,5.0,3000
21,5.0,4.368,5.0,3000
22,5.0,4.363,5.0,2998
23,5.0,4.38,5.0,2999
24,5.0,4.373,5.0,2999
25,5.0,4.413,5.0,3000
26,5.0,4.422,5.0,3000
27,5.0,4.377,5.0,2999
28,5.0,4.429,5.0,2999
29,5.0,4.411,5.0,2999
30,5.0,4.365,5.0,3000
31,5.0,4.424,5.0,2999
32,5.0,4.38,5.0,3000
33,5.0,4.391,5.0,3000
34,5.0,4.405,5.0,3000
35,5.0,4.403,5.0,3000
36,5.0,4.381,5.0,2999
37,5.0,4.408,5.0,2999
38,5.0,4.395,5.0,3000
39,5.0,4.387,5.0,3000
40,5.0,4.377,5.0,2999
41,5.0,4.397,5.0,3000
42,5.0,4.388,5.0,2999
43,5.0,4.418,5.0,3000
44,5.0,4.397,5.0,3000
45,5.0,4.37,5.0,3000
46,5.0,4.411,5.0,3000
47,5.0,4.418,5.0,3000
48,5.0,4.401,5.0,3000
49,5.0,4.365,5.0,2999
50,5.0,4.418,5.0,3000
51,5.0,4.395,5.0,3000
52,5.0,4.387,5.0,3000
53,5.0,4.373,5.0,2999
54,5.0,4.396,5.0,3000
55,5.0,4.419,5.0,3000
56,5.0,4.407,5.0,3000
57,5.0,4.41,5.0,3000
58,5.0,4.4,5.0,3000
59,5.0,4.389,5.0,3000
