gen,best_sharpe,avg_sharpe
1,13.921903249900996,-1.178251106934587
2,13.921903249900996,-1.3084388342531639
3,20.016869371979393,-0.44877279898279515
4,46.58710766814861,0.4275756527402435
5,46.58710766814861,2.285013090513002
6,46.58710766814861,4.2833583866922895
7,46.58710766814861,6.211164532955298
8,46.58710766814861,8.40636787704095
9,53.20387918685179,11.551673979642372
10,53.20387918685179,15.36534105536302
11,53.20387918685179,18.327520585367015
12,53.20387918685179,19.626618105537144
13,53.20387918685179,21.362910608448704
14,64.43032816452849,22.29564647926685
15,64.43032816452849,22.75679709618665
16,64.43032816452849,23.377300532578353
17,64.43032816452849,23.23044658700197
18,64.43032816452849,22.23946521563068
19,67.76042530063663,21.68454096742962
20,67.76042530063663,21.706934890828506
21,190.08623162234676,21.032745057981785
22,190.08623162234676,21.233983290983304
23,190.08623162234676,22.12429901602442
24,146481545.10185507,43182.70952386466
25,146481545.10185507,42459.99575059276
26,173114540.31395864,305860.5103878031
27,173114540.31395864,528438.0497945563
28,173114540.31395864,1325532.260810892
29,173114540.31395864,2974265.39361228
30,186431014.10824865,7108553.598445892
31,226380562.48718154,12832789.381061759
32,253013525.95026937,18234656.543966528
33,253013525.95026937,24849200.619093087
34,253013525.95026937,28735327.555559363
35,253013525.95026937,30788582.306807317
36,253013525.95026937,33216799.60988216
37,253013525.95026937,36487086.71617643
38,253013525.95026937,40964539.845919624
39,253013557.69928512,44433291.2177208
40,253013557.69928512,45977131.630172834
41,253013557.69928512,43259663.856568776
42,253013557.69928512,44961819.085289985
43,253013557.69928512,45456466.92754166
44,253013557.69928512,47075584.19372941
45,253013557.69928512,55084914.78207935
46,253013557.69928512,54371508.92526147
47,253013557.69928512,59707794.93339407
48,253013557.69928512,68494866.35284902
49,253013557.69928512,82465579.84000313
50,253013557.69928512,90282690.2567752
