TP,SL,IS_Sharpe,IS_N,IS_WR,IS_avg,OOS_Sharpe,OOS_N,OOS_WR,OOS_avg
1.0000,2.0000,-1.9852,131232,51.3190,-0.1412,-2.4885,87921,50.6705,-0.1850
1.0000,3.0000,-0.9720,131232,55.1458,-0.0741,-1.5481,87921,54.6889,-0.1256
1.0000,4.0000,-0.4170,131232,56.6737,-0.0324,-0.9995,87921,56.3824,-0.0835
1.0000,5.0000,-0.0485,131232,57.4044,-0.0038,-0.7164,87921,57.0876,-0.0605
1.0000,6.0000,0.1431,131232,57.7268,0.0110,-0.5405,87921,57.4448,-0.0458
1.0000,7.0000,0.2569,131232,57.8860,0.0197,-0.4452,87921,57.6051,-0.0378
1.0000,8.0000,0.3446,131232,57.9851,0.0263,-0.3769,87921,57.7075,-0.0319
1.5000,2.0000,-1.3387,131232,48.0302,-0.1040,-1.6504,87921,47.4096,-0.1347
1.5000,3.0000,-0.5364,131232,51.1293,-0.0446,-0.9510,87921,50.6523,-0.0842
1.5000,4.0000,-0.0911,131232,52.3462,-0.0078,-0.5477,87921,51.9444,-0.0501
1.5000,5.0000,0.2093,131232,52.9330,0.0179,-0.3459,87921,52.4755,-0.0321
1.5000,6.0000,0.3665,131232,53.1974,0.0312,-0.2240,87921,52.7371,-0.0209
1.5000,7.0000,0.4565,131232,53.3246,0.0389,-0.1575,87921,52.8554,-0.0148
1.5000,8.0000,0.5242,131232,53.4024,0.0445,-0.1083,87921,52.9316,-0.0101
2.0000,2.0000,-0.9697,131232,46.8925,-0.0800,-1.1772,87921,46.1835,-0.1024
2.0000,3.0000,-0.2730,131232,49.6380,-0.0241,-0.5951,87921,49.0577,-0.0560
2.0000,4.0000,0.1184,131232,50.6965,0.0107,-0.2709,87921,50.1382,-0.0263
2.0000,5.0000,0.3834,131232,51.2002,0.0348,-0.1147,87921,50.5681,-0.0113
2.0000,6.0000,0.5187,131232,51.4219,0.0472,-0.0261,87921,50.7706,-0.0026
2.0000,7.0000,0.5946,131232,51.5278,0.0541,0.0316,87921,50.8718,0.0031
2.0000,8.0000,0.6502,131232,51.5918,0.0590,0.0684,87921,50.9321,0.0068
2.5000,2.0000,-0.7166,131232,46.4262,-0.0618,-0.8919,87921,45.6808,-0.0812
2.5000,3.0000,-0.0811,131232,48.9789,-0.0075,-0.3675,87921,48.3809,-0.0361
2.5000,4.0000,0.2783,131232,49.9368,0.0263,-0.0934,87921,49.3329,-0.0095
2.5000,5.0000,0.5244,131232,50.3932,0.0499,0.0316,87921,49.6935,0.0033
2.5000,6.0000,0.6437,131232,50.5867,0.0614,0.1026,87921,49.8641,0.0107
2.5000,7.0000,0.7062,131232,50.6729,0.0674,0.1477,87921,49.9460,0.0154
2.5000,8.0000,0.7555,131232,50.7285,0.0720,0.1761,87921,49.9949,0.0184
3.0000,2.0000,-0.5590,131232,46.1877,-0.0498,-0.6907,87921,45.4397,-0.0652
3.0000,3.0000,0.0458,131232,48.6512,0.0044,-0.2031,87921,48.0374,-0.0206
3.0000,4.0000,0.3832,131232,49.5474,0.0375,0.0520,87921,48.9337,0.0055
3.0000,5.0000,0.6158,131232,49.9726,0.0606,0.1619,87921,49.2601,0.0172
3.0000,6.0000,0.7214,131232,50.1417,0.0713,0.2210,87921,49.4091,0.0238
3.0000,7.0000,0.7776,131232,50.2172,0.0770,0.2589,87921,49.4796,0.0280
3.0000,8.0000,0.8197,131232,50.2637,0.0811,0.2810,87921,49.5183,0.0304
3.5000,2.0000,-0.4432,131232,46.0734,-0.0406,-0.5521,87921,45.3066,-0.0536
3.5000,3.0000,0.1450,131232,48.4866,0.0142,-0.0880,87921,47.8498,-0.0092
