Date,us_prev_chg
2024-05-02,0.913
2024-05-03,1.256
2024-05-06,1.033
2024-05-07,0.134
2024-05-08,-0.001
2024-05-09,0.509
2024-05-10,0.165
2024-05-13,-0.024
2024-05-14,0.484
2024-05-15,1.172
2024-05-16,-0.208
2024-05-17,0.116
2024-05-20,0.092
2024-05-21,0.25
2024-05-22,-0.271
2024-05-23,-0.738
2024-05-24,0.7
2024-05-28,0.025
2024-05-29,-0.737
2024-05-30,-0.598
2024-05-31,0.803
2024-06-03,0.112
2024-06-04,0.15
2024-06-05,1.185
2024-06-06,-0.02
2024-06-07,-0.112
2024-06-10,0.258
2024-06-11,0.271
2024-06-12,0.85
2024-06-13,0.234
2024-06-14,-0.039
2024-06-17,0.766
2024-06-18,0.252
2024-06-20,-0.253
2024-06-21,-0.156
2024-06-24,-0.307
2024-06-25,0.393
2024-06-26,0.157
2024-06-27,0.091
2024-06-28,-0.408
2024-07-01,0.268
2024-07-02,0.62
2024-07-03,0.508
2024-07-05,0.545
2024-07-08,0.102
2024-07-09,0.074
2024-07-10,1.021
2024-07-11,-0.876
2024-07-12,0.552
2024-07-15,0.283
2024-07-16,0.639
2024-07-17,-1.393
2024-07-18,-0.782
2024-07-19,-0.714
2024-07-22,1.079
2024-07-23,-0.156
2024-07-24,-2.315
2024-07-25,-0.514
2024-07-26,1.109
2024-07-29,0.081
2024-07-30,-0.496
2024-07-31,1.579
2024-08-01,-1.369
2024-08-02,-1.838
2024-08-05,-2.997
2024-08-06,1.035
2024-08-07,-0.773
2024-08-08,2.304
2024-08-09,0.467
2024-08-12,0.004
2024-08-13,1.685
2024-08-14,0.382
2024-08-15,1.613
2024-08-16,0.199
2024-08-19,0.972
2024-08-20,-0.198
2024-08-21,0.424
2024-08-22,-0.893
2024-08-23,1.148
2024-08-26,-0.315
2024-08-27,0.16
2024-08-28,-0.598
2024-08-29,-0.004
2024-08-30,1.009
2024-09-03,-2.115
2024-09-04,-0.16
2024-09-05,-0.302
2024-09-06,-1.726
2024-09-09,1.158
2024-09-10,0.447
2024-09-11,1.067
2024-09-12,0.75
2024-09-13,0.541
2024-09-16,0.126
2024-09-17,0.026
2024-09-18,-0.29
2024-09-19,1.698
2024-09-20,-0.194
2024-09-23,0.281
2024-09-24,0.251
2024-09-25,-0.186
2024-09-26,0.404
2024-09-27,-0.125
2024-09-30,0.424
2024-10-01,-0.932
2024-10-02,0.014
2024-10-03,-0.168
2024-10-04,0.897
2024-10-07,-0.959
2024-10-08,0.969
2024-10-09,0.711
2024-10-10,-0.207
2024-10-11,0.605
2024-10-14,0.771
2024-10-15,-0.761
2024-10-16,0.468
2024-10-17,-0.017
2024-10-18,0.397
2024-10-21,-0.182
2024-10-22,-0.047
2024-10-23,-0.919
2024-10-24,0.215
2024-10-25,-0.03
2024-10-28,0.265
2024-10-29,0.161
2024-10-30,-0.33
2024-10-31,-1.861
2024-11-01,0.409
2024-11-04,-0.281
2024-11-05,1.227
2024-11-06,2.53
2024-11-07,0.743
2024-11-08,0.376
2024-11-11,0.097
2024-11-12,-0.289
2024-11-13,0.023
2024-11-14,-0.605
2024-11-15,-1.32
2024-11-18,0.392
2024-11-19,0.396
2024-11-20,0.002
2024-11-21,0.534
2024-11-22,0.347
2024-11-25,0.302
2024-11-26,0.572
2024-11-27,-0.38
2024-11-29,0.561
2024-12-02,0.245
2024-12-03,0.045
2024-12-04,0.605
2024-12-05,-0.187
2024-12-06,0.25
2024-12-09,-0.614
2024-12-10,-0.296
2024-12-11,0.817
2024-12-12,-0.541
2024-12-13,-0.003
2024-12-16,0.38
2024-12-17,-0.386
2024-12-18,-2.949
2024-12-19,-0.087
2024-12-20,1.087
2024-12-23,0.729
2024-12-24,1.104
2024-12-26,-0.041
2024-12-27,-1.106
2024-12-30,-1.07
2024-12-31,-0.428
2025-01-02,-0.222
2025-01-03,1.26
2025-01-06,0.554
2025-01-07,-1.11
2025-01-08,0.156
2025-01-10,-1.541
2025-01-13,0.158
2025-01-14,0.115
2025-01-15,1.831
2025-01-16,-0.211
2025-01-17,0.999
2025-01-21,0.877
2025-01-22,0.614
2025-01-23,0.531
2025-01-24,-0.286
2025-01-27,-1.458
2025-01-28,0.922
2025-01-29,-0.468
2025-01-30,0.528
2025-01-31,-0.505
2025-02-03,-0.761
2025-02-04,0.722
2025-02-05,0.391
2025-02-06,0.364
2025-02-07,-0.946
2025-02-10,0.671
2025-02-11,0.034
2025-02-12,-0.272
2025-02-13,1.043
2025-02-14,-0.007
2025-02-18,0.244
2025-02-19,0.238
2025-02-20,-0.433
