datetime,time,open,high,low,close,volume
2026-03-25 09:05:00+09:00,09:05,685.0,687.0,670.0,682.0,0
2026-03-25 09:06:00+09:00,09:06,680.0,695.0,678.0,688.0,102500
2026-03-25 09:07:00+09:00,09:07,688.0,690.0,680.0,680.0,71500
2026-03-25 09:08:00+09:00,09:08,680.0,680.0,657.0,657.0,151500
2026-03-25 09:10:00+09:00,09:10,647.0,647.0,636.0,647.0,92100
2026-03-25 09:11:00+09:00,09:11,645.0,647.0,627.0,629.0,98400
2026-03-25 09:12:00+09:00,09:12,629.0,635.0,623.0,629.0,55700
2026-03-25 09:13:00+09:00,09:13,628.0,631.0,625.0,626.0,23000
2026-03-25 09:14:00+09:00,09:14,625.0,628.0,612.0,613.0,114600
2026-03-25 09:15:00+09:00,09:15,612.0,619.0,608.0,619.0,79700
2026-03-25 09:16:00+09:00,09:16,618.0,625.0,613.0,620.0,55400
2026-03-25 09:17:00+09:00,09:17,620.0,626.0,617.0,620.0,33600
2026-03-25 09:18:00+09:00,09:18,622.0,623.0,613.0,616.0,30800
2026-03-25 09:19:00+09:00,09:19,616.0,617.0,603.0,603.0,67900
2026-03-25 09:20:00+09:00,09:20,605.0,606.0,590.0,597.0,142100
2026-03-25 09:21:00+09:00,09:21,597.0,610.0,591.0,601.0,69400
2026-03-25 09:22:00+09:00,09:22,601.0,610.0,598.0,603.0,51800
2026-03-25 09:23:00+09:00,09:23,603.0,603.0,597.0,601.0,19700
2026-03-25 09:24:00+09:00,09:24,601.0,601.0,580.0,582.0,70600
2026-03-25 09:25:00+09:00,09:25,583.0,587.0,564.0,567.0,189100
2026-03-25 09:26:00+09:00,09:26,567.0,572.0,560.0,560.0,188500
2026-03-25 09:28:00+09:00,09:28,560.0,569.0,560.0,560.0,110200
2026-03-25 09:29:00+09:00,09:29,560.0,563.0,560.0,560.0,61300
2026-03-25 09:30:00+09:00,09:30,560.0,560.0,560.0,560.0,11700
2026-03-25 09:33:00+09:00,09:33,560.0,563.0,560.0,561.0,58500
2026-03-25 09:34:00+09:00,09:34,561.0,561.0,560.0,560.0,11200
2026-03-25 09:35:00+09:00,09:35,560.0,561.0,560.0,560.0,20200
2026-03-25 09:36:00+09:00,09:36,560.0,570.0,560.0,570.0,24800
2026-03-25 09:37:00+09:00,09:37,570.0,572.0,560.0,560.0,64600
2026-03-25 09:38:00+09:00,09:38,560.0,562.0,560.0,560.0,20000
2026-03-25 09:39:00+09:00,09:39,560.0,561.0,560.0,560.0,16500
2026-03-25 09:40:00+09:00,09:40,560.0,560.0,560.0,560.0,20500
2026-03-25 09:41:00+09:00,09:41,560.0,561.0,560.0,560.0,11400
2026-03-25 09:42:00+09:00,09:42,560.0,560.0,560.0,560.0,26900
2026-03-25 09:43:00+09:00,09:43,560.0,560.0,560.0,560.0,9300
2026-03-25 09:44:00+09:00,09:44,560.0,561.0,560.0,561.0,9500
2026-03-25 09:45:00+09:00,09:45,561.0,561.0,560.0,560.0,6600
2026-03-25 09:47:00+09:00,09:47,560.0,560.0,560.0,560.0,7600
2026-03-25 09:48:00+09:00,09:48,560.0,560.0,560.0,560.0,6500
2026-03-25 09:49:00+09:00,09:49,560.0,560.0,560.0,560.0,3900
2026-03-25 10:37:00+09:00,10:37,560.0,560.0,560.0,560.0,51500
