datetime,time,open,high,low,close,volume
2026-03-27 09:05:00+09:00,09:05,846.0,846.0,837.0,840.0,0
2026-03-27 09:06:00+09:00,09:06,839.0,845.0,834.0,840.0,5700
2026-03-27 09:07:00+09:00,09:07,841.0,841.0,837.0,839.0,1100
2026-03-27 09:08:00+09:00,09:08,836.0,838.0,834.0,838.0,3100
2026-03-27 09:09:00+09:00,09:09,836.0,843.0,836.0,840.0,8700
2026-03-27 09:10:00+09:00,09:10,844.0,859.0,844.0,856.0,8700
2026-03-27 09:11:00+09:00,09:11,856.0,860.0,852.0,853.0,3500
2026-03-27 09:12:00+09:00,09:12,854.0,855.0,847.0,849.0,2600
2026-03-27 09:13:00+09:00,09:13,848.0,853.0,847.0,852.0,1300
2026-03-27 09:14:00+09:00,09:14,852.0,852.0,846.0,846.0,500
2026-03-27 09:15:00+09:00,09:15,846.0,848.0,840.0,846.0,4700
2026-03-27 09:16:00+09:00,09:16,846.0,848.0,838.0,838.0,3300
2026-03-27 09:17:00+09:00,09:17,844.0,845.0,844.0,845.0,800
2026-03-27 09:19:00+09:00,09:19,845.0,847.0,844.0,844.0,600
2026-03-27 09:20:00+09:00,09:20,845.0,848.0,845.0,848.0,400
2026-03-27 09:21:00+09:00,09:21,848.0,852.0,848.0,851.0,2600
2026-03-27 09:22:00+09:00,09:22,853.0,859.0,853.0,856.0,2500
2026-03-27 09:23:00+09:00,09:23,857.0,858.0,853.0,853.0,1300
2026-03-27 09:25:00+09:00,09:25,852.0,853.0,848.0,853.0,2100
2026-03-27 09:26:00+09:00,09:26,853.0,853.0,853.0,853.0,100
2026-03-27 09:28:00+09:00,09:28,854.0,854.0,854.0,854.0,200
2026-03-27 09:29:00+09:00,09:29,853.0,853.0,826.0,841.0,30600
2026-03-27 09:30:00+09:00,09:30,841.0,841.0,837.0,840.0,1300
2026-03-27 09:31:00+09:00,09:31,840.0,841.0,837.0,839.0,2400
2026-03-27 09:32:00+09:00,09:32,839.0,841.0,839.0,839.0,1100
2026-03-27 09:33:00+09:00,09:33,839.0,841.0,839.0,839.0,600
2026-03-27 09:34:00+09:00,09:34,838.0,839.0,838.0,839.0,600
2026-03-27 09:35:00+09:00,09:35,838.0,841.0,838.0,840.0,1000
2026-03-27 09:36:00+09:00,09:36,839.0,839.0,838.0,838.0,700
2026-03-27 09:37:00+09:00,09:37,837.0,837.0,835.0,836.0,1900
2026-03-27 09:38:00+09:00,09:38,838.0,841.0,838.0,840.0,1400
2026-03-27 09:39:00+09:00,09:39,838.0,838.0,836.0,838.0,2000
2026-03-27 09:40:00+09:00,09:40,836.0,838.0,836.0,838.0,700
2026-03-27 09:41:00+09:00,09:41,839.0,840.0,838.0,840.0,1100
2026-03-27 09:42:00+09:00,09:42,840.0,841.0,838.0,838.0,600
2026-03-27 09:43:00+09:00,09:43,837.0,838.0,836.0,837.0,1000
2026-03-27 09:44:00+09:00,09:44,837.0,837.0,830.0,833.0,4400
2026-03-27 09:45:00+09:00,09:45,833.0,833.0,832.0,832.0,900
2026-03-27 09:46:00+09:00,09:46,834.0,836.0,834.0,836.0,700
2026-03-27 09:47:00+09:00,09:47,834.0,834.0,832.0,832.0,400
2026-03-27 09:48:00+09:00,09:48,832.0,834.0,832.0,834.0,1000
2026-03-27 09:50:00+09:00,09:50,832.0,832.0,826.0,830.0,5400
2026-03-27 09:51:00+09:00,09:51,830.0,832.0,829.0,832.0,1200
2026-03-27 09:52:00+09:00,09:52,834.0,834.0,833.0,833.0,200
2026-03-27 09:53:00+09:00,09:53,835.0,836.0,832.0,833.0,1100
2026-03-27 09:54:00+09:00,09:54,833.0,833.0,829.0,829.0,800
2026-03-27 09:55:00+09:00,09:55,828.0,828.0,820.0,821.0,13200
2026-03-27 09:56:00+09:00,09:56,823.0,827.0,823.0,826.0,1700
2026-03-27 09:57:00+09:00,09:57,825.0,825.0,825.0,825.0,200
2026-03-27 09:58:00+09:00,09:58,825.0,825.0,822.0,822.0,1000
2026-03-27 09:59:00+09:00,09:59,821.0,821.0,805.0,820.0,16900
2026-03-27 10:00:00+09:00,10:00,823.0,824.0,820.0,824.0,800
2026-03-27 10:01:00+09:00,10:01,825.0,825.0,821.0,821.0,700
2026-03-27 10:02:00+09:00,10:02,821.0,823.0,821.0,821.0,800
2026-03-27 10:03:00+09:00,10:03,822.0,825.0,822.0,825.0,1600
2026-03-27 10:04:00+09:00,10:04,823.0,826.0,822.0,824.0,1700
2026-03-27 10:05:00+09:00,10:05,826.0,826.0,826.0,826.0,400
2026-03-27 10:06:00+09:00,10:06,825.0,825.0,824.0,824.0,700
2026-03-27 10:07:00+09:00,10:07,821.0,821.0,820.0,820.0,600
2026-03-27 10:08:00+09:00,10:08,820.0,821.0,820.0,821.0,300
2026-03-27 10:09:00+09:00,10:09,824.0,824.0,822.0,822.0,500
2026-03-27 10:10:00+09:00,10:10,822.0,823.0,818.0,821.0,1300
2026-03-27 10:11:00+09:00,10:11,820.0,821.0,818.0,821.0,500
2026-03-27 10:13:00+09:00,10:13,821.0,823.0,821.0,823.0,1200
2026-03-27 10:14:00+09:00,10:14,822.0,822.0,822.0,822.0,100
2026-03-27 10:15:00+09:00,10:15,823.0,827.0,823.0,826.0,4700
2026-03-27 10:16:00+09:00,10:16,825.0,826.0,825.0,825.0,400
2026-03-27 10:17:00+09:00,10:17,823.0,825.0,823.0,824.0,1400
2026-03-27 10:18:00+09:00,10:18,825.0,825.0,822.0,823.0,500
2026-03-27 10:19:00+09:00,10:19,822.0,822.0,822.0,822.0,200
2026-03-27 10:20:00+09:00,10:20,823.0,826.0,823.0,823.0,900
2026-03-27 10:21:00+09:00,10:21,822.0,822.0,822.0,822.0,200
2026-03-27 10:22:00+09:00,10:22,823.0,825.0,820.0,821.0,1800
2026-03-27 10:23:00+09:00,10:23,821.0,821.0,821.0,821.0,100
2026-03-27 10:25:00+09:00,10:25,821.0,824.0,821.0,824.0,700
2026-03-27 10:26:00+09:00,10:26,825.0,825.0,825.0,825.0,200
2026-03-27 10:27:00+09:00,10:27,824.0,824.0,824.0,824.0,300
2026-03-27 10:28:00+09:00,10:28,825.0,825.0,825.0,825.0,200
2026-03-27 10:29:00+09:00,10:29,826.0,826.0,825.0,825.0,600
2026-03-27 10:30:00+09:00,10:30,827.0,832.0,827.0,832.0,2900
2026-03-27 10:31:00+09:00,10:31,829.0,831.0,829.0,831.0,300
2026-03-27 10:32:00+09:00,10:32,831.0,831.0,831.0,831.0,300
2026-03-27 10:33:00+09:00,10:33,831.0,836.0,831.0,836.0,2800
2026-03-27 10:34:00+09:00,10:34,836.0,837.0,808.0,820.0,38000
2026-03-27 10:35:00+09:00,10:35,818.0,822.0,818.0,822.0,2300
2026-03-27 10:36:00+09:00,10:36,822.0,829.0,822.0,827.0,2000
2026-03-27 10:37:00+09:00,10:37,827.0,829.0,824.0,829.0,1900
2026-03-27 10:38:00+09:00,10:38,826.0,826.0,825.0,825.0,200
2026-03-27 10:39:00+09:00,10:39,827.0,835.0,827.0,835.0,4700
2026-03-27 10:40:00+09:00,10:40,833.0,858.0,833.0,858.0,38400
2026-03-27 10:41:00+09:00,10:41,858.0,864.0,851.0,851.0,6300
2026-03-27 10:42:00+09:00,10:42,851.0,854.0,847.0,848.0,3100
2026-03-27 10:43:00+09:00,10:43,848.0,849.0,846.0,849.0,600
2026-03-27 10:44:00+09:00,10:44,849.0,855.0,849.0,855.0,1800
2026-03-27 10:45:00+09:00,10:45,853.0,853.0,850.0,850.0,500
2026-03-27 10:47:00+09:00,10:47,850.0,853.0,850.0,853.0,400
2026-03-27 10:48:00+09:00,10:48,853.0,865.0,853.0,865.0,4300
2026-03-27 10:49:00+09:00,10:49,866.0,872.0,864.0,872.0,10300
2026-03-27 10:50:00+09:00,10:50,870.0,872.0,864.0,864.0,2300
2026-03-27 10:52:00+09:00,10:52,866.0,866.0,859.0,860.0,3800
2026-03-27 10:54:00+09:00,10:54,858.0,858.0,851.0,853.0,1100
2026-03-27 10:55:00+09:00,10:55,853.0,854.0,850.0,853.0,700
2026-03-27 10:56:00+09:00,10:56,853.0,853.0,853.0,853.0,200
2026-03-27 10:57:00+09:00,10:57,851.0,851.0,850.0,850.0,700
2026-03-27 10:58:00+09:00,10:58,850.0,850.0,845.0,849.0,1700
2026-03-27 11:01:00+09:00,11:01,849.0,849.0,846.0,846.0,500
2026-03-27 11:02:00+09:00,11:02,843.0,846.0,839.0,846.0,1500
2026-03-27 11:03:00+09:00,11:03,845.0,846.0,845.0,846.0,200
2026-03-27 11:04:00+09:00,11:04,846.0,846.0,846.0,846.0,100
2026-03-27 11:05:00+09:00,11:05,846.0,846.0,845.0,846.0,400
2026-03-27 11:07:00+09:00,11:07,846.0,848.0,846.0,848.0,400
2026-03-27 11:09:00+09:00,11:09,846.0,846.0,844.0,844.0,1100
2026-03-27 11:10:00+09:00,11:10,844.0,847.0,844.0,847.0,500
2026-03-27 11:11:00+09:00,11:11,849.0,856.0,849.0,853.0,1600
2026-03-27 11:13:00+09:00,11:13,851.0,857.0,851.0,857.0,1500
2026-03-27 11:14:00+09:00,11:14,856.0,858.0,851.0,856.0,1200
2026-03-27 11:15:00+09:00,11:15,854.0,856.0,854.0,856.0,600
2026-03-27 11:16:00+09:00,11:16,854.0,854.0,854.0,854.0,500
2026-03-27 11:17:00+09:00,11:17,853.0,853.0,853.0,853.0,500
2026-03-27 11:18:00+09:00,11:18,853.0,854.0,853.0,854.0,200
2026-03-27 11:21:00+09:00,11:21,852.0,855.0,850.0,855.0,700
2026-03-27 11:22:00+09:00,11:22,852.0,852.0,852.0,852.0,100
2026-03-27 11:26:00+09:00,11:26,853.0,855.0,853.0,855.0,400
2026-03-27 11:27:00+09:00,11:27,855.0,855.0,855.0,855.0,200
2026-03-27 11:28:00+09:00,11:28,854.0,854.0,854.0,854.0,300
2026-03-27 11:30:00+09:00,11:30,849.0,849.0,849.0,849.0,200
2026-03-27 12:30:00+09:00,12:30,847.0,851.0,847.0,849.0,5100
2026-03-27 12:31:00+09:00,12:31,848.0,855.0,848.0,853.0,2700
2026-03-27 12:32:00+09:00,12:32,851.0,851.0,851.0,851.0,200
2026-03-27 12:33:00+09:00,12:33,850.0,852.0,850.0,852.0,600
