地合い,スコア帯,件数,高値_平均,高値_中央値,高値_75%ile,高値_95%ile,引け_平均,引け_中央値,引け_プラス率,安値_平均,高値3%超_率,高値5%超_率,高値10%超_率
WEAK,score5-7,7,1.69,0.57,3.09,4.28,1.22,0.33,71.4,-0.89,28.6,0.0,0.0
WEAK,score7-9,39,4.31,2.84,5.15,13.04,2.13,1.51,71.8,-2.01,46.2,25.6,12.8
WEAK,score9+,14,2.73,1.92,3.44,8.75,-0.31,0.03,50.0,-3.89,28.6,14.3,7.1
WEAK,score8+,27,4.18,1.97,6.04,11.97,0.7,0.76,63.0,-3.5,40.7,29.6,11.1
NORMAL,score5-7,17,4.62,2.5,6.67,13.26,0.59,-0.75,35.3,-3.03,47.1,35.3,11.8
NORMAL,score7-9,120,3.87,2.09,4.61,15.91,0.07,-0.2,44.2,-2.87,39.2,22.5,10.0
NORMAL,score9+,43,6.45,3.63,9.48,20.8,0.65,0.0,44.2,-3.98,58.1,41.9,25.6
NORMAL,score8+,82,5.39,2.84,7.08,20.87,-0.11,-0.21,42.7,-3.91,47.6,32.9,19.5
PANIC,score5-7,2,1.69,1.69,1.83,1.94,-1.56,-1.56,50.0,-3.14,0.0,0.0,0.0
PANIC,score7-9,39,2.0,1.38,2.7,5.93,-0.57,-0.16,41.0,-2.4,23.1,10.3,2.6
PANIC,score9+,19,5.47,3.01,7.25,16.9,-0.13,0.0,47.4,-4.12,52.6,36.8,21.1
PANIC,score8+,29,4.47,2.43,6.55,16.32,-0.16,0.05,51.7,-3.34,41.4,27.6,17.2
