date,condition_forecast,avg_us_change,dow_change,nasdaq_change,nikkei_change,usdjpy,condition_score,us_avg_change,sp500_change,strategy_a_thr,stop_loss_pct
2026-03-06,NORMAL,-0.45,-1.61,-0.26,0.62,157.81,,,,,
2026-03-07,WEAK,-0.81,-0.95,-1.59,0.62,157.53,,,,,
2026-03-09,PANIC,,-0.95,-1.59,-6.8,158.59,0.0,-1.29,-1.33,99.0,-3.0
2026-03-10,NORMAL,,0.5,1.38,-2.5,157.75,5.0,0.9,0.83,7.5,-5.0
2026-03-11,NORMAL,,-0.07,0.01,2.88,158.08,6.0,-0.09,-0.21,7.5,-5.0
2026-03-12,WEAK,,-0.61,0.08,-1.09,158.9,3.0,-0.2,-0.08,8.0,-4.0
2026-03-13,PANIC,,-1.56,-1.78,-1.04,159.05,1.0,-1.62,-1.52,99.0,-3.0
2026-03-14,PANIC,,-1.56,-0.46,-1.16,159.07,1.0,-1.18,-1.52,99.0,-3.0
2026-03-16,WEAK,,-0.26,-0.93,-0.13,159.25,3.0,-0.6,-0.61,8.0,-4.0
2026-03-17,STRONG,,0.83,1.22,-0.13,159.21,8.0,1.02,1.01,7.5,-5.0
2026-03-18,STRONG,,0.1,0.47,-0.09,158.88,7.0,0.27,0.25,7.5,-5.0
2026-03-19,NORMAL,,-1.63,-1.46,2.87,158.89,4.0,-1.48,-1.36,7.5,-5.0
2026-03-23,PANIC,,-0.96,-2.01,-1.06,159.44,1.0,-1.49,-1.51,99.0,-3.0
2026-03-24,STRONG,,1.38,1.38,3.39,159.23,10.0,1.3,1.15,7.5,-5.0
2026-03-25,NORMAL,,-0.18,-0.84,0.36,158.7,4.0,-0.46,-0.37,7.5,-5.0
2026-03-26,STRONG,,0.66,0.77,1.88,159.37,9.0,0.66,0.54,7.5,-5.0
