verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition,high_price,max_rise_pct,day1_pct,day2_pct,day3_pct,day4_pct,day5_pct,max_ret_5d,max_ret_day,exit_reason,exit_day,exit_pct
2026-03-11,2026-03-10,4586,メドレックス,10.0,12.24,UNKNOWN,109.0,109.0,0.0,FLAT,0,NORMAL,,,0.0,-2.75,-0.92,0.92,0.0,0.92,4,引け(day5),5,0.0
2026-03-11,2026-03-10,2435,シダー,10.0,18.74,UNKNOWN,238.0,230.0,-3.36,FAIL,0,NORMAL,,,-3.36,-2.1,-3.36,-3.78,-3.78,-2.1,2,引け(day5),5,-3.78
2026-03-11,2026-03-10,7836,アビックス,10.0,12.5,BUY,98.0,98.0,0.0,FLAT,0,NORMAL,,,0.0,-9.18,-8.16,-9.18,-10.2,0.0,1,損切り-5%,2,-9.18
2026-03-11,2026-03-10,8894,ＲＥＶＯＬＵＴＩＯＮ,9.77,11.31,UNKNOWN,54.0,54.0,0.0,FLAT,0,NORMAL,,,0.0,1.85,0.0,0.0,-5.56,1.85,2,損切り-5%,5,-5.56
2026-03-11,2026-03-10,6573,ＣＲＡＶＩＡ,9.32,9.95,UNKNOWN,59.0,63.0,6.78,A,0,NORMAL,,,6.78,3.39,8.47,15.25,10.17,15.25,4,利確+3%,1,6.78
2026-03-11,2026-03-10,8622,水戸証券,8.6,7.8,UNKNOWN,753.0,764.0,1.46,FLAT,0,NORMAL,,,1.46,-2.26,-2.79,-3.98,-4.25,1.46,1,引け(day5),5,-4.25
2026-03-11,2026-03-10,6356,日本ギア工業,8.47,7.42,UNKNOWN,2105.0,1878.0,-10.78,FAIL,0,NORMAL,,,-10.78,-20.76,-7.22,-14.2,-22.66,-7.22,3,損切り-5%,1,-10.78
2026-03-11,2026-03-10,4881,ファンペップ,8.33,6.99,UNKNOWN,110.0,102.0,-7.27,FAIL,0,NORMAL,,,-7.27,-9.09,-7.27,4.55,10.91,10.91,5,損切り-5%,1,-7.27
2026-03-11,2026-03-10,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,8.23,6.7,UNKNOWN,9380.0,9537.0,1.67,FLAT,0,NORMAL,,,1.67,0.07,2.77,1.55,0.97,2.77,3,引け(day5),5,0.97
2026-03-11,2026-03-10,4418,ＪＤＳＣ,8.18,6.54,UNKNOWN,924.0,921.0,-0.32,FAIL,0,NORMAL,,,-0.32,-5.84,-6.17,-7.79,-8.77,-0.32,1,損切り-5%,2,-5.84
2026-03-11,2026-03-10,157A,グリーンモンスター,8.14,6.42,UNKNOWN,1286.0,1491.0,15.94,S,1,NORMAL,,,15.94,5.6,5.91,2.64,-2.88,15.94,1,利確+3%,1,15.94
2026-03-11,2026-03-10,4379,Ｐｈｏｔｏｓｙｎｔｈ,7.5,4.51,UNKNOWN,499.0,516.0,3.41,B,0,NORMAL,,,3.41,0.8,0.2,1.2,-4.81,3.41,1,利確+3%,1,3.41
2026-03-11,2026-03-10,6189,グローバルキッズＣＯＭＰＡＮＹ,7.42,4.25,UNKNOWN,1115.0,1092.0,-2.06,FAIL,0,NORMAL,,,-2.06,-2.24,-3.32,-4.84,-4.57,-2.06,1,引け(day5),5,-4.57
2026-03-11,2026-03-10,2321,ソフトフロントホールディングス,7.31,6.74,CAUTION,414.0,406.0,-1.93,FAIL,0,NORMAL,,,-1.93,-7.49,-0.97,-3.14,-22.46,-0.97,3,損切り-5%,2,-7.49
2026-03-11,2026-03-10,5461,中部鋼鈑,7.28,5.42,UNKNOWN,2059.0,2087.0,1.36,FLAT,0,NORMAL,,,1.36,4.95,4.91,6.07,7.87,7.87,5,利確+3%,2,4.95
2026-03-11,2026-03-10,3186,ネクステージ,7.27,3.82,UNKNOWN,3065.0,3150.0,2.77,B,0,NORMAL,,,2.77,5.38,2.45,1.79,3.1,5.38,2,利確+3%,2,5.38
2026-03-11,2026-03-10,2438,アスカネット,7.08,3.24,UNKNOWN,378.0,377.0,-0.26,FAIL,0,NORMAL,,,-0.26,-2.91,-2.38,-2.12,-1.59,-0.26,1,引け(day5),5,-1.59
2026-03-11,2026-03-10,4594,ブライトパス・バイオ,7.04,3.11,UNKNOWN,70.0,76.0,8.57,S,1,NORMAL,,,8.57,5.71,-1.43,2.86,-1.43,8.57,1,利確+3%,1,8.57
2026-03-11,2026-03-10,479A,ＰＲＯＮＩ,6.93,2.8,UNKNOWN,1481.0,1445.0,-2.43,FAIL,0,NORMAL,,,-2.43,0.74,0.2,-0.74,-2.5,0.74,2,引け(day5),5,-2.5
2026-03-11,2026-03-10,6466,ＴＶＥ,6.9,3.18,UNKNOWN,5940.0,5590.0,-5.89,FAIL,0,NORMAL,,,-5.89,-9.6,-3.2,-10.27,-20.29,-3.2,3,損切り-5%,1,-5.89
2026-03-12,2026-03-11,4075,ブレインズテクノロジー,10.0,17.46,UNKNOWN,1404.0,1615.0,15.03,S,1,NORMAL,,,15.03,14.89,8.97,29.49,32.55,32.55,5,利確+3%,1,15.03
2026-03-12,2026-03-11,3840,パス,10.0,12.95,UNKNOWN,86.0,92.0,6.98,A,0,NORMAL,,,6.98,1.16,-3.49,-6.98,-13.95,6.98,1,利確+3%,1,6.98
