drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-6.0,-5.0,4,0.0,STRONG,TP+5%/SL-5%,57,77.2,1.487,11.82,-5.5,84.8
-5.0,-4.0,6,0.0,STRONG,引け決済,40,70.0,1.538,10.96,-4.7,61.5
-6.0,-5.0,4,0.0,STRONG,引け決済,57,77.2,1.821,10.62,-5.5,103.8
-6.0,-4.0,6,0.0,STRONG,引け決済,62,71.0,1.472,10.45,-4.7,91.3
-6.0,-5.0,4,0.0,STRONG,TP+3%/SL-3%,57,73.7,1.168,10.33,-6.6,66.6
-6.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,147,74.1,1.161,10.1,-8.9,170.6
-5.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,90,74.4,1.156,9.95,-4.5,104.1
-7.0,-5.0,4,0.0,STRONG,引け決済,89,76.4,1.68,9.93,-5.9,149.5
-6.0,-4.0,4,0.0,STRONG,TP+5%/SL-5%,147,74.8,1.297,9.83,-7.1,190.7
-6.0,-4.0,4,0.0,STRONG,引け決済,147,74.8,1.482,9.77,-5.8,217.9
-6.0,-5.0,2,0.0,STRONG,TP+5%/SL-5%,95,71.6,1.291,9.76,-6.4,122.6
-7.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,179,73.7,1.152,9.67,-7.5,206.2
-6.0,-5.0,4,0.0,STRONG,TP+2%/SL-2%,57,71.9,0.908,9.66,-3.3,51.8
-6.0,-4.0,6,0.0,STRONG,TP+5%/SL-5%,62,71.0,1.292,9.61,-4.7,80.1
-7.0,-4.0,4,0.0,STRONG,引け決済,179,74.9,1.473,9.56,-5.8,263.6
-5.0,-4.0,5,0.0,STRONG,TP+3%/SL-3%,65,69.2,1.148,9.55,-4.5,74.6
-5.0,-4.0,6,0.0,STRONG,TP+3%/SL-3%,40,67.5,1.152,9.53,-4.4,46.1
-6.0,-5.0,3,0.0,STRONG,TP+5%/SL-5%,79,73.4,1.28,9.46,-6.4,101.1
-7.0,-4.0,6,0.0,STRONG,引け決済,80,71.2,1.425,9.42,-4.9,114.0
-7.0,-5.0,4,0.0,STRONG,TP+5%/SL-5%,89,75.3,1.435,9.42,-10.9,127.7
-7.0,-5.0,4,0.0,STRONG,TP+3%/SL-3%,89,73.0,1.148,9.4,-8.9,102.1
-6.0,-5.0,4,0.0,STRONG,TP+5%/SL-3%,57,73.7,1.228,9.32,-6.9,70.0
-5.0,-4.0,4,0.0,STRONG,引け決済,90,73.3,1.268,9.31,-5.8,114.1
