drop_lo,drop_hi,rb_min,gap_max,condition,exit,in_n,in_wr,in_avg,in_sharpe,out_n,out_wr,out_avg,out_sharpe,stable
-6.0,-5.0,4,0.0,STRONG,引け決済,26,84.6,1.726,0.0,31,71.0,1.901,9.82,★
-7.0,-5.0,4,0.0,STRONG,引け決済,38,84.2,1.755,12.15,51,70.6,1.624,8.76,★
-6.0,-5.0,4,0.0,STRONG,TP+5%/SL-5%,26,84.6,1.474,0.0,31,71.0,1.498,10.29,★
-6.0,-4.0,4,0.0,STRONG,引け決済,73,80.8,1.645,11.54,74,68.9,1.322,8.28,★
-7.0,-5.0,4,0.0,STRONG,TP+5%/SL-5%,38,84.2,1.605,12.53,51,68.6,1.308,7.8,★
-7.0,-4.0,4,0.0,STRONG,引け決済,85,81.2,1.67,11.58,94,69.1,1.295,8.01,★
-7.0,-6.0,4,0.0,STRONG,TP+5%/SL-3%,12,83.3,2.056,0.0,20,65.0,1.222,0.0,★
-7.0,-5.0,4,0.0,STRONG,TP+5%/SL-3%,38,81.6,1.497,12.85,51,66.7,1.22,7.44,★
-6.0,-5.0,4,0.0,STRONG,TP+5%/SL-3%,26,80.8,1.24,0.0,31,67.7,1.219,7.72,★
-6.0,-5.0,2,0.0,STRONG,TP+5%/SL-5%,45,77.8,1.42,13.42,50,66.0,1.175,7.74,★
-6.0,-4.0,4,0.0,STRONG,TP+5%/SL-5%,73,80.8,1.474,12.54,74,68.9,1.123,7.8,★
-6.0,-5.0,5,0.0,STRONG,TP+5%/SL-5%,14,78.6,1.307,0.0,24,66.7,1.103,0.0,★
-7.0,-4.0,4,0.0,STRONG,TP+5%/SL-5%,85,81.2,1.533,11.99,94,68.1,1.099,7.02,★
-5.0,-4.0,6,0.0,STRONG,引け決済,17,76.5,2.16,0.0,23,65.2,1.078,0.0,★
-6.0,-5.0,3,0.0,STRONG,TP+5%/SL-5%,37,83.8,1.555,14.98,42,64.3,1.038,6.64,★
-6.0,-4.0,6,0.0,STRONG,引け決済,26,76.9,2.124,0.0,36,66.7,1.001,9.03,★
-6.0,-5.0,4,0.0,STRONG,TP+3%/SL-3%,26,80.8,1.397,0.0,31,67.7,0.976,7.78,★
-7.0,-4.0,6,0.0,STRONG,引け決済,33,78.8,2.069,12.28,47,66.0,0.972,7.45,★
-5.0,-4.0,5,0.0,STRONG,引け決済,33,72.7,1.699,10.72,32,65.6,0.962,7.91,★
-5.0,-4.0,6,0.0,STRONG,TP+5%/SL-5%,17,76.5,1.949,0.0,23,65.2,0.925,0.0,★
-5.0,-4.0,4,0.0,STRONG,引け決済,47,78.7,1.6,11.14,43,67.4,0.904,7.33,★
-6.0,-4.0,6,0.0,STRONG,TP+5%/SL-5%,26,76.9,1.83,0.0,36,66.7,0.903,6.88,★
-7.0,-5.0,4,0.0,STRONG,TP+3%/SL-3%,38,81.6,1.487,14.18,51,66.7,0.895,6.82,★
-6.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,73,80.8,1.529,14.64,74,67.6,0.798,6.64,★
-7.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,85,81.2,1.551,14.42,94,67.0,0.792,6.36,★
-6.0,-5.0,4,0.0,STRONG,TP+2%/SL-2%,26,76.9,1.064,0.0,31,67.7,0.778,7.61,★
-5.0,-4.0,6,0.0,STRONG,TP+3%/SL-3%,17,76.5,1.715,0.0,23,60.9,0.735,0.0,★
-7.0,-5.0,4,0.0,STRONG,TP+2%/SL-2%,38,78.9,1.122,13.23,51,68.6,0.727,6.94,★
-5.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,47,80.9,1.602,14.63,43,67.4,0.669,5.8,★
-5.0,-4.0,5,0.0,STRONG,TP+3%/SL-3%,33,75.8,1.613,14.07,32,62.5,0.669,5.66,★
