code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,gap_pct,ret_oc,ret_max,ret_low,lower_shadow_ratio,vol_decay_3d,consec_drop
1301,2025-08-04,2025-08-05,NORMAL,STRONG,-6.67,4,0.45,-0.79,0.56,-1.02,0.079,0,1
1301,2025-11-04,2025-11-05,NORMAL,WEAK,-4.93,6,0.11,-0.44,0.77,-1.98,0.254,0,2
1306,2025-04-11,2025-04-14,NORMAL,STRONG,-3.13,3,1.09,-0.21,1.04,-0.21,0.089,1,1
130A,2025-04-16,2025-04-17,NORMAL,STRONG,-7.07,6,2.73,-4.61,10.34,-8.24,0.014,0,1
130A,2025-06-17,2025-06-18,NORMAL,NORMAL,-4.65,4,0.74,-3.38,0.44,-3.52,0.155,0,2
130A,2025-06-19,2025-06-20,WEAK,WEAK,-5.17,6,1.12,-2.54,0.0,-4.75,0.043,0,4
130A,2025-07-04,2025-07-07,NORMAL,NORMAL,-4.38,8,1.23,5.75,7.49,-0.87,0.016,0,1
130A,2025-07-31,2025-08-01,STRONG,NORMAL,-7.68,3,-1.81,-4.29,13.87,-6.13,0.236,0,1
130A,2025-08-01,2025-08-04,NORMAL,NORMAL,-6.02,3,-1.92,7.84,10.46,-0.26,0.092,0,2
130A,2025-08-20,2025-08-21,NORMAL,WEAK,-3.38,3,0.0,0.56,2.1,0.0,0.167,0,1
130A,2025-10-15,2025-10-16,STRONG,NORMAL,-13.49,9,0.69,2.07,2.93,-1.55,0.0,0,3
130A,2025-12-26,2025-12-29,NORMAL,NORMAL,-10.15,3,3.7,-8.57,4.29,-8.57,0.155,0,2
130A,2025-12-29,2025-12-30,NORMAL,WEAK,-5.19,2,-0.59,-5.7,0.79,-6.09,0.0,1,3
130A,2026-01-20,2026-01-21,WEAK,WEAK,-5.91,4,-5.71,-0.2,3.43,-0.4,0.176,0,1
1325,2025-07-10,2025-07-11,NORMAL,NORMAL,-4.72,5,2.89,-2.05,0.0,-2.33,0.571,0,1
1325,2026-01-30,2026-02-02,NORMAL,NORMAL,-3.3,2,-2.64,-1.17,1.99,-1.17,0.209,0,1
1325,2026-03-13,2026-03-16,WEAK,NORMAL,-3.24,3,-0.99,-0.23,0.13,-0.64,0.14,0,2
1326,2025-10-22,2025-10-23,STRONG,NORMAL,-4.11,2,-1.3,1.1,1.44,-0.33,0.275,0,1
1326,2026-01-30,2026-02-02,NORMAL,NORMAL,-6.94,3,-6.47,-6.42,1.89,-6.42,0.171,0,1
1326,2026-02-02,2026-02-03,NORMAL,STRONG,-12.47,5,7.09,1.59,1.59,-0.79,0.0,0,2
1328,2025-04-23,2025-04-24,STRONG,NORMAL,-3.57,2,0.49,0.18,1.32,-0.04,0.176,0,1
1328,2025-05-15,2025-05-16,WEAK,NORMAL,-3.55,3,2.91,-0.71,0.09,-1.06,0.155,0,2
1328,2025-10-22,2025-10-23,STRONG,NORMAL,-3.94,2,-1.23,0.98,1.25,-0.47,0.384,0,1
1328,2026-01-30,2026-02-02,NORMAL,NORMAL,-6.85,2,-6.64,-6.49,1.96,-7.4,0.17,0,1
1328,2026-02-02,2026-02-03,NORMAL,STRONG,-12.7,5,7.09,1.78,1.78,-0.48,0.097,0,2
1332,2025-12-17,2025-12-18,NORMAL,NORMAL,-5.73,4,2.16,1.35,1.65,-0.72,0.261,0,1
1333,2025-05-13,2025-05-14,NORMAL,WEAK,-8.65,6,-0.47,0.03,0.47,-0.73,0.0,0,1
1333,2025-12-29,2025-12-30,NORMAL,WEAK,-66.72,10,-0.42,-1.83,0.38,-1.91,0.511,0,1
1356,2025-04-25,2025-04-28,NORMAL,NORMAL,-3.16,4,-1.63,0.07,0.5,-1.19,0.279,0,4
1356,2025-07-23,2025-07-24,STRONG,STRONG,-6.38,7,-2.29,-1.38,0.33,-2.01,0.217,0,2
1356,2025-07-24,2025-07-25,STRONG,NORMAL,-3.63,8,0.68,1.09,1.43,-0.17,0.268,0,3
1356,2025-08-15,2025-08-18,NORMAL,STRONG,-3.36,6,-0.19,-0.6,0.09,-1.25,0.038,0,1
1357,2025-04-25,2025-04-28,NORMAL,NORMAL,-3.78,4,-1.49,0.84,1.16,-0.52,0.288,0,3
1357,2025-05-29,2025-05-30,NORMAL,NORMAL,-3.7,4,3.16,-1.02,0.44,-1.37,0.024,0,1
1357,2025-06-26,2025-06-27,NORMAL,NORMAL,-3.25,5,-2.04,-1.02,0.25,-1.79,0.067,0,3
1357,2025-06-27,2025-06-30,NORMAL,STRONG,-3.04,6,-2.39,0.63,1.39,-1.28,0.376,0,4
1357,2025-07-23,2025-07-24,STRONG,STRONG,-7.5,7,-2.24,-0.75,0.41,-1.85,0.107,0,1
1357,2025-08-08,2025-08-12,NORMAL,STRONG,-3.79,5,-2.6,-1.87,0.34,-3.22,0.272,0,4
1357,2025-08-12,2025-08-13,STRONG,NORMAL,-4.42,7,-2.52,-0.26,1.17,-0.93,0.378,0,5
1357,2025-08-15,2025-08-18,NORMAL,STRONG,-3.41,4,-0.39,-1.06,0.38,-1.68,0.026,0,1
1357,2025-10-03,2025-10-06,STRONG,STRONG,-3.64,4,-7.45,-2.34,0.41,-3.15,0.004,0,2
1357,2025-10-06,2025-10-07,STRONG,NORMAL,-9.61,8,-1.59,1.66,1.81,-0.73,0.226,0,3
1357,2025-10-15,2025-10-16,STRONG,NORMAL,-3.84,4,-1.89,-0.56,0.94,-0.7,0.089,0,1
1357,2025-10-20,2025-10-21,STRONG,NORMAL,-6.76,5,-2.16,1.54,2.26,-1.14,0.0,0,1
1357,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.3,6,0.05,2.98,3.03,-0.93,0.0,0,1
1357,2026-01-05,2026-01-06,NORMAL,STRONG,-6.04,4,-1.09,-1.36,0.53,-1.44,0.211,0,1
1357,2026-01-09,2026-01-13,NORMAL,NORMAL,-3.07,3,-7.2,1.0,1.32,-0.41,0.106,0,1
1357,2026-01-13,2026-01-14,NORMAL,NORMAL,-6.27,5,-1.6,-1.55,0.61,-2.02,0.239,0,2
1357,2026-01-14,2026-01-15,NORMAL,STRONG,-3.12,6,1.41,-0.5,0.99,-0.64,0.18,0,3
1357,2026-01-22,2026-01-23,STRONG,NORMAL,-3.53,3,-0.98,0.3,1.25,-0.36,0.363,0,1
1357,2026-02-03,2026-02-04,STRONG,NORMAL,-7.82,3,2.35,-0.85,0.54,-1.27,0.03,0,1
1357,2026-02-09,2026-02-10,STRONG,STRONG,-7.91,6,-2.33,-2.16,0.0,-3.33,0.535,0,2
1357,2026-02-10,2026-02-12,STRONG,NORMAL,-4.44,7,-0.76,0.56,1.07,-0.56,0.351,0,3
1357,2026-02-25,2026-02-26,NORMAL,NORMAL,-4.59,5,-1.67,1.16,1.77,-0.82,0.217,0,2
135A,2025-05-19,2025-05-20,NORMAL,NORMAL,-3.74,5,1.69,4.56,5.44,-0.74,0.123,0,1
135A,2025-07-18,2025-07-22,WEAK,WEAK,-4.39,6,1.66,-6.7,0.42,-7.68,0.116,1,1
135A,2025-07-22,2025-07-23,WEAK,STRONG,-5.16,7,2.5,2.34,4.67,-0.63,0.121,0,2
135A,2025-07-29,2025-07-30,NORMAL,NORMAL,-3.12,3,0.18,2.86,3.7,-0.18,0.068,1,2
135A,2025-08-01,2025-08-04,NORMAL,NORMAL,-3.75,3,-2.29,4.22,5.96,-0.99,0.071,0,2
135A,2025-12-12,2025-12-15,STRONG,NORMAL,-4.29,2,-1.7,6.92,8.18,-0.31,0.314,0,4
135A,2025-12-16,2025-12-17,WEAK,NORMAL,-3.82,2,-0.61,-1.38,0.62,-2.31,0.359,0,1
135A,2025-12-18,2025-12-19,NORMAL,NORMAL,-3.9,5,1.46,4.48,5.6,-1.12,0.0,0,3
135A,2025-12-24,2025-12-25,NORMAL,NORMAL,-3.63,3,1.25,0.62,1.24,-0.62,0.083,0,1
135A,2025-12-30,2026-01-05,WEAK,NORMAL,-3.21,3,2.21,-2.31,4.01,-3.24,0.158,0,1
135A,2026-01-15,2026-01-16,STRONG,NORMAL,-9.25,6,-1.15,0.33,0.83,-3.39,0.124,0,1
135A,2026-01-20,2026-01-21,WEAK,WEAK,-7.08,7,-1.8,-0.51,0.99,-2.31,0.004,0,4
135A,2026-02-04,2026-02-05,NORMAL,NORMAL,-4.98,7,-1.5,-0.87,1.07,-1.73,0.16,0,1
135A,2026-02-13,2026-02-16,WEAK,NORMAL,-4.54,4,-0.33,0.99,0.99,-1.6,0.19,0,2
135A,2026-03-26,2026-03-27,WEAK,NORMAL,-7.67,2,0.04,4.49,4.57,0.0,0.023,0,1
1360,2025-04-25,2025-04-28,NORMAL,NORMAL,-4.21,4,-1.44,0.94,1.3,-0.42,0.222,0,3
1360,2025-05-29,2025-05-30,NORMAL,NORMAL,-3.7,3,2.98,-0.8,0.65,-1.19,0.02,0,1
1360,2025-06-26,2025-06-27,NORMAL,NORMAL,-3.29,5,-2.02,-1.01,0.2,-1.78,0.08,0,3
1360,2025-06-27,2025-06-30,NORMAL,STRONG,-3.01,4,-2.41,0.84,1.42,-1.3,0.388,0,4
1360,2025-07-23,2025-07-24,STRONG,STRONG,-7.42,6,-2.64,-0.36,0.71,-1.56,0.124,0,1
1360,2025-08-08,2025-08-12,NORMAL,STRONG,-3.84,5,-1.84,-2.56,0.0,-3.84,0.245,0,4
1360,2025-08-12,2025-08-13,STRONG,NORMAL,-4.35,7,-2.2,-0.58,0.91,-1.2,0.333,0,5
1360,2025-08-15,2025-08-18,NORMAL,STRONG,-3.46,4,-0.44,-0.97,0.44,-1.66,0.029,0,1
1360,2025-09-08,2025-09-09,NORMAL,NORMAL,-3.06,2,-0.94,1.99,2.04,-1.4,0.34,0,3
1365,2025-04-11,2025-04-14,NORMAL,STRONG,-5.21,6,1.99,0.29,2.04,-0.45,0.225,0,1
1365,2025-11-05,2025-11-06,WEAK,NORMAL,-5.42,2,4.0,-1.77,0.09,-2.49,0.753,0,2
1366,2025-04-10,2025-04-11,STRONG,NORMAL,-17.9,3,9.3,-3.72,1.86,-3.72,0.133,0,1
1366,2025-04-25,2025-04-28,NORMAL,NORMAL,-3.89,4,-1.87,0.95,1.27,-0.32,0.444,0,3
1366,2025-05-29,2025-05-30,NORMAL,NORMAL,-3.85,4,2.91,-0.71,0.71,-1.41,0.0,0,1
1366,2025-06-26,2025-06-27,NORMAL,NORMAL,-3.36,4,-1.93,-0.79,0.0,-2.36,0.125,0,3
1366,2025-07-23,2025-07-24,STRONG,STRONG,-7.45,7,-2.54,-0.43,0.87,-1.74,0.133,0,1
