scan_date,trade_date,code,score,ratio,scan_rise,prev_close,o,h,l,c
2025-04-03,2025-04-04,1663,2.26,1.98,1.33,2815.0,2731.0,2736.0,2591.0,2654.0
2025-04-07,2025-04-08,1663,1.9,1.86,0.21,2405.0,2505.0,2614.0,2500.0,2580.0
2026-07-01,2026-07-02,1663,2.65,1.81,-1.79,1866.0,1885.0,1905.0,1861.0,1871.0
2026-07-17,2026-07-21,1663,2.28,1.68,-1.38,1785.0,1820.0,1844.0,1805.0,1822.0
2026-04-07,2026-04-08,167A,1.67,1.48,-0.34,2675.0,2725.0,2754.0,2712.0,2753.0
2026-05-27,2026-05-28,1719,2.29,1.93,-2.01,1731.5,1741.5,1771.0,1735.0,1767.0
2026-05-18,2026-05-19,1786,2.6,1.49,-1.52,325.0,329.0,335.0,327.0,333.0
2025-04-07,2025-04-08,1802,2.74,1.65,2.35,1805.0,1852.0,1905.0,1852.0,1883.5
2025-04-09,2025-04-10,1811,2.35,1.58,-2.41,3235.0,3515.0,3515.0,3380.0,3485.0
2025-04-07,2025-04-08,1822,2.28,2.1,0.62,654.0,673.0,701.0,669.0,697.0
2026-03-31,2026-04-01,1826,1.5,1.46,-1.01,1080.0,1110.0,1111.0,1091.0,1094.0
2026-05-19,2026-05-20,1835,2.33,2.1,-2.07,4505.0,4460.0,4505.0,4305.0,4395.0
2026-06-02,2026-06-03,1835,1.75,1.4,-0.62,4025.0,4030.0,4030.0,3980.0,4030.0
2026-04-02,2026-04-03,1847,2.11,2.35,-0.04,2611.0,2711.0,2724.0,2675.0,2682.0
2026-01-30,2026-02-02,1850,1.81,2.18,-2.18,538.0,533.0,546.0,528.0,538.0
2026-06-01,2026-06-02,1852,1.54,1.42,-1.74,791.0,785.0,785.0,769.0,777.0
2025-10-03,2025-10-06,1861,2.19,2.18,-1.34,1255.0,1285.0,1315.0,1276.0,1304.0
2025-12-17,2025-12-18,186A,2.29,1.69,-2.31,592.0,582.0,587.0,575.0,584.0
2025-10-14,2025-10-15,1878,2.72,1.78,0.5,3045.0,3051.0,3058.0,3006.0,3018.0
2025-10-15,2025-10-16,1878,2.19,1.4,-1.08,3018.0,3010.0,3027.0,3000.0,3012.0
2025-10-17,2025-10-20,1878,1.5,1.55,-0.25,2989.0,3012.0,3037.0,2997.0,3037.0
2025-04-04,2025-04-07,1898,2.1,1.47,-1.59,1427.0,1322.0,1366.0,1298.0,1334.0
2026-04-02,2026-04-03,1909,1.66,1.9,-0.95,2605.0,2605.0,2689.0,2600.0,2617.0
2026-04-22,2026-04-23,1909,2.95,1.89,0.15,2595.0,2580.0,2623.0,2562.0,2614.0
2025-07-01,2025-07-02,1911,1.98,1.56,-1.07,1437.5,1465.0,1521.0,1448.0,1511.5
2026-03-12,2026-03-13,1911,2.76,1.4,-0.2,1460.5,1436.0,1477.5,1436.0,1462.5
2026-05-18,2026-05-19,1914,2.15,2.02,-1.62,669.0,666.0,683.0,666.0,671.0
2025-04-07,2025-04-08,1928,2.23,1.68,2.42,3003.0,3061.0,3140.0,3040.0,3122.0
2025-04-04,2025-04-07,1946,2.6,1.66,-1.67,885.0,825.0,846.0,796.0,833.0
2025-04-07,2025-04-08,1951,2.52,1.57,1.95,1540.5,1580.5,1599.0,1564.0,1577.5
2025-01-07,2025-01-08,1952,2.17,1.93,-0.69,2007.0,1995.0,2037.0,1994.0,2008.0
2025-01-15,2025-01-16,1952,2.94,1.52,-0.16,1853.0,1872.0,1879.0,1839.0,1840.0
2026-04-30,2026-05-01,195A,2.63,2.27,-1.85,689.0,700.0,700.0,673.0,700.0
2026-05-08,2026-05-11,1961,1.53,1.9,0.16,2517.0,2580.0,2625.0,2531.0,2608.0
2026-07-14,2026-07-15,1961,1.72,1.49,1.63,2550.0,2600.0,2651.0,2566.0,2628.0
2025-04-09,2025-04-10,1963,2.01,1.91,-0.94,996.0,1100.0,1100.0,1048.5,1061.5
2025-04-07,2025-04-08,1965,2.5,1.66,1.42,2078.0,2252.0,2379.0,2252.0,2376.0
2025-10-02,2025-10-03,1968,2.47,2.21,-1.74,2029.0,2013.0,2048.0,2007.0,2024.0
2025-10-08,2025-10-09,1968,2.15,2.51,0.48,2110.0,2126.0,2139.0,2110.0,2134.0
2025-10-02,2025-10-03,1972,1.99,1.85,1.25,1453.0,1462.0,1488.0,1459.0,1468.0
2025-04-07,2025-04-08,197A,2.89,1.92,4.78,438.0,465.0,477.0,465.0,475.0
