code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
1301,2025-08-04,2025-08-05,NORMAL,NORMAL,-6.67,4,-0.79,0.56,-1.02
1301,2025-11-04,2025-11-05,NORMAL,WEAK,-4.93,6,-0.44,0.77,-1.98
130A,2025-04-16,2025-04-17,NORMAL,NORMAL,-7.07,6,-4.61,10.34,-8.24
130A,2025-05-12,2025-05-13,NORMAL,NORMAL,-4.8,3,1.09,2.97,0.0
130A,2025-06-17,2025-06-18,NORMAL,NORMAL,-4.65,4,-3.38,0.44,-3.52
130A,2025-06-19,2025-06-20,WEAK,WEAK,-5.17,6,-2.54,0.0,-4.75
130A,2025-07-04,2025-07-07,NORMAL,NORMAL,-4.38,8,5.75,7.49,-0.87
130A,2025-07-31,2025-08-01,NORMAL,NORMAL,-7.68,3,-4.29,13.87,-6.13
130A,2025-08-01,2025-08-04,NORMAL,NORMAL,-6.02,3,7.84,10.46,-0.26
130A,2025-10-15,2025-10-16,NORMAL,NORMAL,-13.49,9,2.07,2.93,-1.55
130A,2025-11-14,2025-11-17,NORMAL,NORMAL,-4.27,5,-3.16,0.0,-5.02
130A,2025-12-22,2025-12-23,NORMAL,NORMAL,-6.32,7,0.0,0.0,0.0
130A,2025-12-26,2025-12-29,NORMAL,NORMAL,-10.15,3,-8.57,4.29,-8.57
130A,2026-01-20,2026-01-21,WEAK,WEAK,-5.91,4,-0.2,3.43,-0.4
1325,2025-07-10,2025-07-11,NORMAL,NORMAL,-4.72,5,-2.05,0.0,-2.33
1326,2026-01-30,2026-02-02,NORMAL,NORMAL,-6.94,3,-6.42,1.89,-6.42
1326,2026-02-02,2026-02-03,NORMAL,NORMAL,-12.47,5,1.59,1.59,-0.79
1328,2026-02-02,2026-02-03,NORMAL,NORMAL,-12.7,5,1.78,1.78,-0.48
1332,2025-12-17,2025-12-18,NORMAL,NORMAL,-5.73,4,1.35,1.65,-0.72
1333,2025-05-13,2025-05-14,NORMAL,WEAK,-8.65,6,0.03,0.47,-0.73
1333,2025-12-29,2025-12-30,NORMAL,WEAK,-66.72,10,-1.83,0.38,-1.91
1356,2025-07-23,2025-07-24,NORMAL,NORMAL,-6.38,7,-1.38,0.33,-2.01
1356,2025-10-06,2025-10-07,NORMAL,NORMAL,-6.34,5,0.98,1.14,-0.41
1356,2025-10-20,2025-10-21,NORMAL,NORMAL,-4.78,3,0.9,1.21,-0.74
1356,2025-12-12,2025-12-15,NORMAL,NORMAL,-4.07,5,-1.22,0.12,-1.52
1356,2026-01-05,2026-01-06,NORMAL,NORMAL,-4.32,5,-1.8,0.0,-1.86
1356,2026-01-13,2026-01-14,NORMAL,NORMAL,-4.92,6,-1.39,0.53,-1.39
1356,2026-02-09,2026-02-10,NORMAL,NORMAL,-4.45,6,-2.08,0.0,-2.53
1356,2026-02-10,2026-02-12,NORMAL,NORMAL,-4.01,6,-1.14,0.53,-1.67
1357,2025-07-23,2025-07-24,NORMAL,NORMAL,-7.5,7,-0.75,0.41,-1.85
1357,2025-08-12,2025-08-13,NORMAL,NORMAL,-4.42,7,-0.26,1.17,-0.93
1357,2025-10-06,2025-10-07,NORMAL,NORMAL,-9.61,8,1.66,1.81,-0.73
1357,2025-10-20,2025-10-21,NORMAL,NORMAL,-6.76,5,1.54,2.26,-1.14
1357,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.3,6,2.98,3.03,-0.93
1357,2026-01-05,2026-01-06,NORMAL,NORMAL,-6.04,4,-1.36,0.53,-1.44
1357,2026-01-13,2026-01-14,NORMAL,NORMAL,-6.27,5,-1.55,0.61,-2.02
1357,2026-02-03,2026-02-04,NORMAL,NORMAL,-7.82,3,-0.85,0.54,-1.27
1357,2026-02-09,2026-02-10,NORMAL,NORMAL,-7.91,6,-2.16,0.0,-3.33
1357,2026-02-10,2026-02-12,NORMAL,NORMAL,-4.44,7,0.56,1.07,-0.56
1357,2026-02-25,2026-02-26,NORMAL,NORMAL,-4.59,5,1.16,1.77,-0.82
135A,2025-07-18,2025-07-22,WEAK,WEAK,-4.39,6,-6.7,0.42,-7.68
135A,2025-07-22,2025-07-23,WEAK,NORMAL,-5.16,7,2.34,4.67,-0.63
135A,2026-01-15,2026-01-16,NORMAL,NORMAL,-9.25,6,0.33,0.83,-3.39
135A,2026-01-20,2026-01-21,WEAK,WEAK,-7.08,7,-0.51,0.99,-2.31
135A,2026-02-04,2026-02-05,NORMAL,NORMAL,-4.98,7,-0.87,1.07,-1.73
135A,2026-02-13,2026-02-16,WEAK,NORMAL,-4.54,4,0.99,0.99,-1.6
1360,2025-04-25,2025-04-28,NORMAL,NORMAL,-4.21,4,0.94,1.3,-0.42
1360,2025-07-23,2025-07-24,NORMAL,NORMAL,-7.42,6,-0.36,0.71,-1.56
1360,2025-08-12,2025-08-13,NORMAL,NORMAL,-4.35,7,-0.58,0.91,-1.2
1360,2025-10-06,2025-10-07,NORMAL,NORMAL,-9.6,8,1.8,1.99,-0.62
1360,2025-10-20,2025-10-21,NORMAL,NORMAL,-6.94,5,2.06,2.66,-0.73
1360,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.32,6,3.11,3.11,-0.81
1360,2026-01-05,2026-01-06,NORMAL,NORMAL,-5.86,5,-1.05,0.75,-1.2
1360,2026-01-13,2026-01-14,NORMAL,NORMAL,-6.25,7,-1.69,0.56,-2.02
1360,2026-02-09,2026-02-10,NORMAL,NORMAL,-7.9,6,-2.19,0.0,-3.38
1360,2026-02-10,2026-02-12,NORMAL,NORMAL,-4.29,5,0.56,1.13,-0.56
1360,2026-02-25,2026-02-26,NORMAL,NORMAL,-4.7,6,1.78,2.48,-0.2
1365,2025-04-11,2025-04-14,NORMAL,NORMAL,-5.21,6,0.29,2.04,-0.45
1366,2025-04-10,2025-04-11,NORMAL,NORMAL,-17.9,3,-3.72,1.86,-3.72
1366,2025-07-23,2025-07-24,NORMAL,NORMAL,-7.45,7,-0.43,0.87,-1.74
1366,2025-08-12,2025-08-13,NORMAL,NORMAL,-4.37,8,-0.93,0.93,-1.4
1366,2025-10-06,2025-10-07,NORMAL,NORMAL,-9.68,8,1.82,2.42,-0.61
1366,2025-10-15,2025-10-16,NORMAL,NORMAL,-4.55,4,-0.6,1.2,-1.2
1366,2025-10-20,2025-10-21,NORMAL,NORMAL,-6.47,5,1.3,3.25,-0.65
1366,2025-10-31,2025-11-04,NORMAL,NORMAL,-4.14,5,2.88,2.88,-1.44
1366,2026-01-05,2026-01-06,NORMAL,NORMAL,-6.12,5,-0.74,0.74,-1.47
1366,2026-01-13,2026-01-14,NORMAL,NORMAL,-6.52,7,-1.57,0.79,-2.36
1366,2026-02-03,2026-02-04,NORMAL,NORMAL,-8.27,5,-0.81,1.61,-0.81
1366,2026-02-09,2026-02-10,NORMAL,NORMAL,-8.8,7,-1.8,0.9,-3.6
1366,2026-02-10,2026-02-12,NORMAL,NORMAL,-4.39,7,1.85,1.85,-0.93
1366,2026-02-25,2026-02-26,NORMAL,NORMAL,-4.5,5,2.94,3.92,0.0
1368,2025-07-23,2025-07-24,NORMAL,NORMAL,-6.82,7,-1.43,0.0,-2.29
1368,2025-10-06,2025-10-07,NORMAL,NORMAL,-6.29,6,1.79,1.79,-0.36
1368,2025-10-20,2025-10-21,NORMAL,NORMAL,-4.45,3,0.0,0.72,-1.45
1368,2026-01-05,2026-01-06,NORMAL,NORMAL,-4.44,4,-1.69,0.0,-2.97
1368,2026-02-09,2026-02-10,NORMAL,NORMAL,-4.31,3,-1.54,0.0,-2.56
1368,2026-02-10,2026-02-12,NORMAL,NORMAL,-4.0,5,-0.52,0.52,-2.09
1377,2026-01-14,2026-01-15,NORMAL,NORMAL,-7.0,6,1.61,2.35,-0.25
1379,2025-05-14,2025-05-15,WEAK,WEAK,-4.61,7,1.15,2.13,-0.17
137A,2025-07-14,2025-07-15,NORMAL,NORMAL,-9.94,4,-7.57,0.0,-7.57
137A,2025-07-15,2025-07-16,NORMAL,NORMAL,-7.31,5,0.63,2.77,-2.69
137A,2026-01-13,2026-01-14,NORMAL,NORMAL,-21.51,8,-6.52,0.11,-6.52
137A,2026-01-14,2026-01-15,NORMAL,NORMAL,-6.31,9,1.83,2.44,-2.32
1382,2025-09-04,2025-09-05,NORMAL,NORMAL,-14.79,3,-4.17,2.55,-4.17
1382,2025-09-05,2025-09-08,NORMAL,NORMAL,-8.23,3,-2.15,0.54,-2.9
1382,2025-09-24,2025-09-25,NORMAL,NORMAL,-16.27,3,11.46,16.86,-0.42
1382,2025-10-07,2025-10-08,NORMAL,NORMAL,-14.08,3,4.06,7.72,-2.18
1383,2025-04-25,2025-04-28,NORMAL,NORMAL,-4.05,3,0.98,20.2,-0.65
1383,2025-04-28,2025-04-30,NORMAL,NORMAL,-6.49,5,-2.53,0.16,-3.95
1401,2025-06-18,2025-06-19,NORMAL,WEAK,-5.21,3,-1.73,3.24,-5.5
1401,2025-10-16,2025-10-17,NORMAL,WEAK,-6.95,4,-5.93,4.12,-7.75
1407,2025-04-16,2025-04-17,NORMAL,NORMAL,-4.57,4,-0.49,0.91,-2.81
1407,2025-07-15,2025-07-16,NORMAL,NORMAL,-9.95,4,-1.07,2.4,-1.13
1407,2025-07-16,2025-07-17,NORMAL,NORMAL,-5.11,5,-1.53,2.07,-2.93
