code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,open_price,close_price,ret_oc,ret_max,ret_low,gap_pct
1366,2025-04-10,2025-04-11,STRONG,NORMAL,-17.9,3,376.0,362.0,-3.72,1.86,-3.72,9.3
1365,2025-04-11,2025-04-14,NORMAL,STRONG,-5.21,6,30820.0,30910.0,0.29,2.04,-0.45,1.99
4490,2025-04-11,2025-04-14,NORMAL,STRONG,-7.03,7,895.0,827.0,-7.6,0.56,-7.82,4.07
4506,2025-04-11,2025-04-14,NORMAL,STRONG,-5.49,6,518.0,518.0,0.0,2.51,-1.16,0.39
4507,2025-04-11,2025-04-14,NORMAL,STRONG,-6.05,3,2202.0,2230.5,1.29,2.91,0.0,2.02
4519,2025-04-11,2025-04-14,NORMAL,STRONG,-6.43,4,6380.0,6602.0,3.48,4.97,-0.31,1.5
4521,2025-04-11,2025-04-14,NORMAL,STRONG,-8.21,5,4086.0,3978.0,-2.64,0.27,-2.81,1.74
4536,2025-04-11,2025-04-14,NORMAL,STRONG,-6.44,4,1333.0,1324.0,-0.68,0.98,-1.16,1.45
4568,2025-04-11,2025-04-14,NORMAL,STRONG,-5.59,5,3128.0,3174.0,1.47,3.01,-0.06,0.74
4578,2025-04-11,2025-04-14,NORMAL,STRONG,-6.6,6,6800.0,6803.0,0.04,2.63,-0.47,1.13
130A,2025-04-16,2025-04-17,NORMAL,STRONG,-7.07,6,716.0,683.0,-4.61,10.34,-8.24,2.73
1418,2025-04-16,2025-04-17,NORMAL,STRONG,-6.11,3,365.0,380.0,4.11,4.11,-0.55,-1.08
4506,2025-04-21,2025-04-22,NORMAL,NORMAL,-11.44,4,635.0,619.0,-2.52,2.99,-3.15,1.28
1418,2025-04-25,2025-04-28,NORMAL,NORMAL,-8.64,4,371.0,376.0,1.35,2.16,-0.54,0.27
1383,2025-04-28,2025-04-30,NORMAL,NORMAL,-6.49,5,3165.0,3085.0,-2.53,0.16,-3.95,2.1
4516,2025-05-07,2025-05-08,NORMAL,NORMAL,-6.72,4,3554.0,3414.0,-3.94,0.28,-4.28,2.01
4528,2025-05-07,2025-05-08,NORMAL,NORMAL,-5.82,4,1585.0,1569.0,-1.01,0.41,-1.32,0.96
4563,2025-05-08,2025-05-09,NORMAL,STRONG,-13.16,3,68.0,67.0,-1.47,2.94,-2.94,3.03
4559,2025-05-09,2025-05-12,STRONG,NORMAL,-6.57,5,2175.0,2172.0,-0.14,0.87,-1.61,-0.05
1414,2025-05-12,2025-05-13,NORMAL,NORMAL,-5.69,3,5048.0,4996.0,-1.03,0.0,-2.1,1.2
4502,2025-05-12,2025-05-13,NORMAL,NORMAL,-5.53,4,4162.0,4113.0,-1.18,0.6,-1.63,4.05
4540,2025-05-12,2025-05-13,NORMAL,NORMAL,-15.16,8,3703.0,3583.0,-3.24,0.57,-3.83,0.41
1333,2025-05-13,2025-05-14,NORMAL,WEAK,-8.65,6,2996.0,2997.0,0.03,0.47,-0.73,-0.47
4506,2025-05-13,2025-05-14,NORMAL,WEAK,-5.03,3,879.0,867.0,-1.37,9.44,-2.62,1.27
4527,2025-05-14,2025-05-15,WEAK,WEAK,-10.77,6,2164.0,2123.0,-1.89,0.28,-2.84,-0.67
4548,2025-05-14,2025-05-15,WEAK,WEAK,-8.67,4,650.0,651.0,0.15,0.92,-0.62,-0.46
4549,2025-05-14,2025-05-15,WEAK,WEAK,-6.34,4,2050.0,1997.0,-2.59,0.98,-2.68,-1.58
4587,2025-05-14,2025-05-15,WEAK,WEAK,-7.48,6,1713.0,1775.5,3.65,4.26,-2.51,0.06
4523,2025-05-15,2025-05-16,WEAK,NORMAL,-5.51,5,3670.0,3731.0,1.66,2.13,-0.3,0.08
4553,2025-05-15,2025-05-16,WEAK,NORMAL,-5.58,5,2655.0,2825.0,6.4,6.85,0.0,8.15
4492,2025-05-16,2025-05-19,NORMAL,NORMAL,-15.41,8,455.0,447.0,-1.76,0.0,-3.52,1.11
4512,2025-05-16,2025-05-19,NORMAL,NORMAL,-5.45,3,296.0,309.0,4.39,7.77,-0.68,0.34
4493,2025-05-21,2025-05-22,NORMAL,NORMAL,-9.76,3,1859.0,1952.0,5.0,6.83,-1.29,0.49
