code,scan_date,trade_date,scan_cond,trade_cond,score,ratio,open_price,close_price,high_price,low_price,ret_oc,ret_max,ret_low,gap_pct,today_rise
1345,2025-04-10,2025-04-11,STRONG,NORMAL,4.55,2.02,1726.0,1729.0,1732.0,1702.0,0.17,0.35,-1.39,-0.14,2.34
4527,2025-04-10,2025-04-11,STRONG,NORMAL,3.22,1.81,2341.5,2342.0,2357.0,2288.5,0.02,0.66,-2.26,-1.29,4.65
1384,2025-04-11,2025-04-14,NORMAL,STRONG,4.38,2.35,1560.0,1550.0,1570.0,1530.0,-0.64,0.64,-1.92,3.86,9.32
1419,2025-04-11,2025-04-14,NORMAL,STRONG,6.34,3.1,3775.0,3730.0,3815.0,3705.0,-1.19,1.06,-1.85,1.34,2.9
4490,2025-04-11,2025-04-14,NORMAL,STRONG,7.47,4.58,895.0,827.0,900.0,825.0,-7.6,0.56,-7.82,4.07,-7.03
4530,2025-04-11,2025-04-14,NORMAL,STRONG,3.93,2.79,4313.0,4400.0,4515.0,4283.0,2.02,4.68,-0.7,0.58,7.63
4582,2025-04-11,2025-04-14,NORMAL,STRONG,3.19,3.52,152.0,156.0,169.0,152.0,2.63,11.18,0.0,1.33,4.17
1325,2025-04-14,2025-04-15,STRONG,STRONG,6.8,2.4,205.0,192.3,207.8,188.9,-6.2,1.37,-7.85,0.24,-0.2
133A,2025-04-14,2025-04-15,STRONG,STRONG,4.71,0.71,972.0,969.0,973.0,969.0,-0.31,0.1,-0.31,0.93,-1.23
135A,2025-04-14,2025-04-15,STRONG,STRONG,3.44,1.97,2270.0,2386.0,2386.0,2260.0,5.11,5.11,-0.44,14.3,0.86
137A,2025-04-14,2025-04-15,STRONG,STRONG,9.31,9.92,1357.0,1300.0,1549.0,1219.0,-4.2,14.15,-10.17,2.8,20.0
1384,2025-04-14,2025-04-15,STRONG,STRONG,3.9,1.28,1551.0,1563.0,1564.0,1535.0,0.77,0.84,-1.03,0.06,3.2
1407,2025-04-14,2025-04-15,STRONG,STRONG,3.6,1.65,1504.0,1466.0,1517.0,1466.0,-2.53,0.86,-2.53,1.28,-2.11
4490,2025-04-14,2025-04-15,STRONG,STRONG,5.32,2.24,825.0,806.0,830.0,781.0,-2.3,0.61,-5.33,-0.24,-3.84
4530,2025-04-14,2025-04-15,STRONG,STRONG,3.27,2.26,4400.0,4423.0,4507.0,4381.0,0.52,2.43,-0.43,0.0,2.61
4571,2025-04-14,2025-04-15,STRONG,STRONG,5.5,5.55,134.0,132.0,142.0,130.0,-1.49,5.97,-2.99,0.75,3.91
4572,2025-04-14,2025-04-15,STRONG,STRONG,5.91,3.54,257.0,246.0,268.0,241.0,-4.28,4.28,-6.23,0.78,0.79
4574,2025-04-14,2025-04-15,STRONG,STRONG,3.91,2.09,266.0,260.0,272.0,256.0,-2.26,2.26,-3.76,-0.37,1.14
4582,2025-04-14,2025-04-15,STRONG,STRONG,7.36,4.07,157.0,154.0,159.0,154.0,-1.91,1.27,-1.91,0.64,4.0
