strategy,code,scan_date,trade_date,score,ratio,open_price,close_price,high_price,low_price,ret_oc,ret_max,ret_low,today_rise
A,1305,2025-04-03,2025-04-04,3.75,4.15,2690.5,2664.0,2708.0,2614.0,-0.98,0.65,-2.84,1.54
A,1306,2025-04-03,2025-04-04,3.05,2.2,2661.5,2633.0,2679.0,2586.0,-1.07,0.66,-2.84,1.34
A,1308,2025-04-03,2025-04-04,3.75,2.2,2630.0,2604.0,2647.0,2557.0,-0.99,0.65,-2.78,1.43
A,1320,2025-04-03,2025-04-04,5.51,3.46,35550.0,35280.0,35820.0,34730.0,-0.76,0.76,-2.31,1.97
A,1321,2025-04-03,2025-04-04,5.04,2.99,35700.0,35440.0,35950.0,34860.0,-0.73,0.7,-2.35,2.02
A,1329,2025-04-03,2025-04-04,8.02,6.06,3550.0,3530.0,3575.0,3465.0,-0.56,0.7,-2.39,2.4
A,1343,2025-04-03,2025-04-04,3.44,1.4,1819.5,1821.0,1828.0,1810.0,0.08,0.47,-0.52,1.0
A,1346,2025-04-03,2025-04-04,4.74,3.8,35430.0,35230.0,35730.0,34620.0,-0.56,0.85,-2.29,1.92
A,1348,2025-04-03,2025-04-04,8.22,6.67,2640.5,2602.0,2643.0,2551.0,-1.46,0.09,-3.39,1.34
A,1365,2025-04-03,2025-04-04,4.85,3.09,31700.0,31170.0,32180.0,30170.0,-1.67,1.51,-4.83,3.32
A,1366,2025-04-03,2025-04-04,5.99,4.26,378.0,381.0,395.0,372.0,0.79,4.5,-1.59,-3.19
A,1368,2025-04-03,2025-04-04,3.01,3.38,526.0,535.0,553.0,519.0,1.71,5.13,-1.33,-1.76
A,1369,2025-04-03,2025-04-04,6.15,5.52,34630.0,34690.0,34690.0,33660.0,0.17,0.17,-2.8,2.24
A,1398,2025-04-03,2025-04-04,4.22,0.85,1724.5,1727.0,1730.5,1718.0,0.14,0.35,-0.38,0.32
A,1414,2025-04-03,2025-04-04,3.53,1.72,4630.0,4727.0,4750.0,4626.0,2.1,2.59,-0.09,1.56
A,4499,2025-04-03,2025-04-04,6.0,1.65,1912.0,1905.0,1922.0,1790.0,-0.37,0.52,-6.38,-0.51
A,4506,2025-04-03,2025-04-04,6.1,2.99,615.0,621.0,646.0,613.0,0.98,5.04,-0.33,-6.0
A,4564,2025-04-03,2025-04-04,5.47,2.46,25.0,24.0,25.0,23.0,-4.0,0.0,-8.0,4.0
A,4574,2025-04-03,2025-04-04,4.06,1.52,262.0,256.0,262.0,252.0,-2.29,0.0,-3.82,0.0
A,4576,2025-04-03,2025-04-04,5.79,1.44,102.0,102.0,110.0,96.0,0.0,7.84,-5.88,-1.87
A,4583,2025-04-03,2025-04-04,5.78,1.78,135.0,135.0,137.0,128.0,0.0,1.48,-5.19,2.22
A,4584,2025-04-03,2025-04-04,3.36,2.47,116.0,109.0,116.0,104.0,-6.03,0.0,-10.34,-5.69
A,4586,2025-04-03,2025-04-04,7.52,7.5,67.0,64.0,67.0,61.0,-4.48,0.0,-8.96,-4.23
A,1301,2025-04-04,2025-04-07,4.37,1.65,3665.0,3650.0,3765.0,3615.0,-0.41,2.73,-1.36,-1.75
A,1305,2025-04-04,2025-04-07,8.02,6.05,2414.0,2479.0,2516.0,2390.0,2.69,4.23,-0.99,-0.98
A,1306,2025-04-04,2025-04-07,3.33,2.14,2410.0,2432.5,2490.0,2358.5,0.93,3.32,-2.14,-1.07
A,1308,2025-04-04,2025-04-07,4.84,2.46,2380.0,2408.0,2462.0,2331.0,1.18,3.45,-2.06,-0.99
A,1311,2025-04-04,2025-04-07,7.67,5.0,1200.0,1195.0,1221.5,1130.0,-0.42,1.79,-5.83,-1.25
A,1320,2025-04-04,2025-04-07,4.36,3.1,32290.0,32580.0,33350.0,31980.0,0.9,3.28,-0.96,-0.76
A,1321,2025-04-04,2025-04-07,6.62,3.23,32450.0,32650.0,33490.0,32110.0,0.62,3.2,-1.05,-0.73
A,1329,2025-04-04,2025-04-07,8.15,6.46,3250.0,3260.0,3325.0,3190.0,0.31,2.31,-1.85,-0.56
A,1330,2025-04-04,2025-04-07,4.48,2.98,32460.0,32760.0,33500.0,32120.0,0.92,3.2,-1.05,-0.81
A,1333,2025-04-04,2025-04-07,3.06,1.7,2943.0,2983.5,3050.0,2913.0,1.38,3.64,-1.02,-0.97
A,133A,2025-04-04,2025-04-07,6.2,6.09,989.0,994.0,994.0,985.0,0.51,0.51,-0.4,0.2
A,1343,2025-04-04,2025-04-07,6.07,2.0,1781.0,1766.5,1804.5,1751.5,-0.81,1.32,-1.66,0.08
A,1346,2025-04-04,2025-04-07,3.64,2.41,32190.0,32990.0,33250.0,31900.0,2.49,3.29,-0.9,-0.56
A,1348,2025-04-04,2025-04-07,7.14,3.41,2402.0,2405.0,2455.0,2330.0,0.12,2.21,-3.0,-1.46
A,1356,2025-04-04,2025-04-07,3.75,2.71,443.7,428.7,443.7,411.8,-3.38,0.0,-7.19,4.65
A,1357,2025-04-04,2025-04-07,3.02,2.21,17945.0,17620.0,18030.0,16885.0,-1.81,0.47,-5.91,1.33
A,135A,2025-04-04,2025-04-07,4.31,2.75,1499.0,1570.0,1671.0,1481.0,4.74,11.47,-1.2,-4.25
A,1365,2025-04-04,2025-04-07,5.46,3.22,25770.0,26340.0,27800.0,25725.0,2.21,7.88,-0.17,-1.67
A,1366,2025-04-04,2025-04-07,6.39,3.7,453.0,443.0,454.0,425.0,-2.21,0.22,-6.18,0.79
A,1368,2025-04-04,2025-04-07,7.68,5.04,635.0,616.0,635.0,594.0,-2.99,0.0,-6.46,1.71
A,1380,2025-04-04,2025-04-07,8.73,10.89,969.0,960.0,969.0,960.0,-0.93,0.0,-0.93,-1.42
A,1381,2025-04-04,2025-04-07,10.0,13.05,2625.0,2581.0,2625.0,2550.0,-1.68,0.0,-2.86,-0.89
A,1398,2025-04-04,2025-04-07,6.46,1.37,1687.0,1675.5,1709.5,1609.5,-0.68,1.33,-4.59,0.14
A,1418,2025-04-04,2025-04-07,6.32,2.53,410.0,384.0,413.0,384.0,-6.34,0.73,-6.34,3.08
A,1420,2025-04-04,2025-04-07,8.76,8.29,642.0,605.0,642.0,600.0,-5.76,0.0,-6.54,-6.28
A,4490,2025-04-04,2025-04-07,6.62,3.06,765.0,762.0,830.0,761.0,-0.39,8.5,-0.52,-4.36
A,4506,2025-04-04,2025-04-07,3.23,1.88,560.0,536.0,564.0,532.0,-4.29,0.71,-5.0,0.98
A,4507,2025-04-04,2025-04-07,3.41,1.81,2199.5,2253.5,2294.0,2184.0,2.46,4.3,-0.7,-3.41
A,4528,2025-04-04,2025-04-07,3.95,1.74,1548.5,1623.0,1644.0,1537.0,4.81,6.17,-0.74,-1.0
A,4531,2025-04-04,2025-04-07,7.76,5.27,215.0,218.0,228.0,214.0,1.4,6.05,-0.47,-5.16
A,4547,2025-04-04,2025-04-07,3.58,1.99,3505.0,3620.0,3715.0,3505.0,3.28,5.99,0.0,-3.13
A,4554,2025-04-04,2025-04-07,3.89,2.33,1193.0,1181.0,1225.0,1180.0,-1.01,2.68,-1.09,-2.34
A,4564,2025-04-04,2025-04-07,4.44,1.56,23.0,21.0,23.0,21.0,-8.7,0.0,-8.7,-4.0
A,4565,2025-04-04,2025-04-07,4.03,2.19,712.0,696.0,729.0,680.0,-2.25,2.39,-4.49,-4.1
A,4570,2025-04-04,2025-04-07,5.66,3.05,356.0,378.0,396.0,356.0,6.18,11.24,0.0,-3.82
A,4571,2025-04-04,2025-04-07,6.25,2.99,115.0,113.0,123.0,113.0,-1.74,6.96,-1.74,-3.73
A,4572,2025-04-04,2025-04-07,7.44,4.33,221.0,230.0,247.0,220.0,4.07,11.76,-0.45,-1.52
A,4575,2025-04-04,2025-04-07,3.09,1.32,743.0,743.0,807.0,743.0,0.0,8.61,0.0,-2.62
A,4576,2025-04-04,2025-04-07,4.0,2.6,92.0,87.0,100.0,87.0,-5.43,8.7,-5.43,0.0
A,4579,2025-04-04,2025-04-07,7.42,4.61,311.0,301.0,324.0,301.0,-3.22,4.18,-3.22,-1.72
A,4582,2025-04-04,2025-04-07,7.25,3.76,130.0,126.0,139.0,126.0,-3.08,6.92,-3.08,-3.8
A,4583,2025-04-04,2025-04-07,4.91,1.78,115.0,114.0,122.0,111.0,-0.87,6.09,-3.48,0.0
A,4586,2025-04-04,2025-04-07,3.71,2.43,58.0,57.0,61.0,55.0,-1.72,5.17,-5.17,-4.48
A,4591,2025-04-04,2025-04-07,3.46,0.69,78.0,75.0,81.0,74.0,-3.85,3.85,-5.13,-2.25
A,1301,2025-04-07,2025-04-08,4.36,1.53,3790.0,3920.0,3920.0,3780.0,3.43,3.43,-0.26,-0.41
A,1306,2025-04-07,2025-04-08,3.85,2.36,2545.5,2579.0,2604.0,2545.5,1.32,2.3,0.0,0.93
A,1308,2025-04-07,2025-04-08,5.74,4.25,2505.0,2551.0,2575.0,2505.0,1.84,2.79,0.0,1.18
A,130A,2025-04-07,2025-04-08,6.44,3.69,611.0,636.0,650.0,597.0,4.09,6.38,-2.29,0.0
A,1311,2025-04-07,2025-04-08,5.38,3.76,1275.5,1276.0,1290.0,1261.0,0.04,1.14,-1.14,-0.42
A,1320,2025-04-07,2025-04-08,3.81,2.83,33900.0,34400.0,34710.0,33900.0,1.47,2.39,0.0,0.9
A,1321,2025-04-07,2025-04-08,4.12,2.8,34020.0,34550.0,34840.0,34020.0,1.56,2.41,0.0,0.62
A,1329,2025-04-07,2025-04-08,7.2,7.38,3380.0,3435.0,3465.0,3375.0,1.63,2.51,-0.15,0.31
A,1330,2025-04-07,2025-04-08,4.58,3.17,34050.0,34630.0,34870.0,34040.0,1.7,2.41,-0.03,0.92
A,1332,2025-04-07,2025-04-08,4.02,1.89,825.5,839.8,845.3,821.0,1.73,2.4,-0.55,-2.39
A,1333,2025-04-07,2025-04-08,4.53,2.31,3034.0,3049.0,3051.0,2990.0,0.49,0.56,-1.45,1.38
A,133A,2025-04-07,2025-04-08,6.38,1.14,1009.0,1000.0,1009.0,998.0,-0.89,0.0,-1.09,0.51
A,1343,2025-04-07,2025-04-08,4.67,2.29,1793.5,1814.0,1826.0,1785.5,1.14,1.81,-0.45,-0.81
A,1345,2025-04-07,2025-04-08,7.56,4.69,1670.5,1692.5,1708.0,1670.5,1.32,2.24,0.0,-0.93
A,1346,2025-04-07,2025-04-08,3.38,2.9,33800.0,34340.0,34600.0,33780.0,1.6,2.37,-0.06,2.49
A,1348,2025-04-07,2025-04-08,4.05,3.79,2499.5,2551.0,2568.0,2499.5,2.06,2.74,0.0,0.12
A,1356,2025-04-07,2025-04-08,3.74,2.69,375.9,370.5,383.0,364.7,-1.44,1.89,-2.98,-3.38
A,1357,2025-04-07,2025-04-08,3.85,2.52,15620.0,15480.0,15915.0,15160.0,-0.9,1.89,-2.94,-1.81
A,135A,2025-04-07,2025-04-08,3.04,1.86,1750.0,1745.0,1784.0,1713.0,-0.29,1.94,-2.11,4.74
A,1360,2025-04-07,2025-04-08,3.61,2.13,383.8,382.7,392.0,373.8,-0.29,2.14,-2.61,-2.21
A,1365,2025-04-07,2025-04-08,3.44,2.5,29340.0,29400.0,29825.0,28735.0,0.2,1.65,-2.06,2.21
