code,surge_date,surge_close,surge_rate_%,avg_volume_10d,volume_ratio_surge,avg_price_range_%,price_slope_%/d,price_change_10d_%,volume_trend,name
9980,2026-02-25,93.0,0.0,268300,0.74,1.8,-0.123,-1.06,10199.0,MRKホールディングス
2962,2026-02-25,1017.0,15.57,1499780,0.42,16.28,5.292,35.89,166176.0,テクニスコ
195A,2026-02-25,1108.0,14.23,186950,1.95,10.49,1.954,7.76,27477.0,MUSCAT GROUP
5817,2026-02-25,1161.0,0.96,286060,1.08,7.62,-0.741,-7.7,-6772.0,JMACS
4596,2026-02-25,196.0,-6.22,20914310,0.34,24.24,-1.725,22.29,-1439386.0,窪田製薬HD
7063,2026-02-25,129.0,29.0,160820,38.98,4.96,-1.932,-19.51,34108.0,Birdman
7794,2026-02-25,1260.0,-10.0,4558770,0.93,12.3,0.774,7.72,22981.0,イーディーピー
3133,2026-02-25,413.0,23.65,730930,2.74,8.07,-2.011,-18.98,120289.0,海帆
5753,2026-02-25,2499.0,-1.07,5850,0.67,2.5,-0.485,-1.18,-570.0,日本伸銅
6613,2026-02-25,647.0,-4.99,6292810,0.54,11.82,2.067,5.58,-396561.0,QDレーザ
