Date,Code,Open,High,Low,Close,UL,LL,Volume,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo,code,name
2025-08-26,99800,106.0,106.0,103.0,103.0,0,0,272500.0,28488800.0,1.0,106.0,106.0,103.0,103.0,272500.0,9980,MRKホールディングス
2025-08-27,99800,103.0,105.0,102.0,103.0,0,0,159800.0,16479700.0,1.0,103.0,105.0,102.0,103.0,159800.0,9980,MRKホールディングス
2025-08-28,99800,104.0,104.0,100.0,101.0,0,0,169500.0,17228500.0,1.0,104.0,104.0,100.0,101.0,169500.0,9980,MRKホールディングス
2025-08-29,99800,101.0,107.0,98.0,103.0,0,0,758100.0,77686600.0,1.0,101.0,107.0,98.0,103.0,758100.0,9980,MRKホールディングス
2025-09-01,99800,104.0,105.0,102.0,103.0,0,0,223700.0,23043500.0,1.0,104.0,105.0,102.0,103.0,223700.0,9980,MRKホールディングス
2025-09-02,99800,103.0,104.0,102.0,102.0,0,0,190100.0,19559400.0,1.0,103.0,104.0,102.0,102.0,190100.0,9980,MRKホールディングス
2025-09-03,99800,102.0,103.0,99.0,100.0,0,0,287000.0,28950000.0,1.0,102.0,103.0,99.0,100.0,287000.0,9980,MRKホールディングス
2025-09-04,99800,100.0,101.0,99.0,99.0,0,0,96000.0,9593500.0,1.0,100.0,101.0,99.0,99.0,96000.0,9980,MRKホールディングス
2025-09-05,99800,101.0,102.0,100.0,100.0,0,0,204900.0,20694200.0,1.0,101.0,102.0,100.0,100.0,204900.0,9980,MRKホールディングス
2025-09-08,99800,102.0,106.0,101.0,103.0,0,0,512800.0,53127300.0,1.0,102.0,106.0,101.0,103.0,512800.0,9980,MRKホールディングス
2025-09-09,99800,104.0,111.0,104.0,106.0,0,0,1876900.0,200768500.0,1.0,104.0,111.0,104.0,106.0,1876900.0,9980,MRKホールディングス
2025-09-10,99800,107.0,127.0,103.0,105.0,0,0,5793200.0,648500600.0,1.0,107.0,127.0,103.0,105.0,5793200.0,9980,MRKホールディングス
2025-09-11,99800,105.0,107.0,104.0,104.0,0,0,567100.0,59664100.0,1.0,105.0,107.0,104.0,104.0,567100.0,9980,MRKホールディングス
2025-09-12,99800,103.0,105.0,99.0,100.0,0,0,814300.0,82537400.0,1.0,103.0,105.0,99.0,100.0,814300.0,9980,MRKホールディングス
2025-09-16,99800,102.0,103.0,100.0,102.0,0,0,301800.0,30557000.0,1.0,102.0,103.0,100.0,102.0,301800.0,9980,MRKホールディングス
2025-09-17,99800,100.0,102.0,100.0,101.0,0,0,246400.0,24781100.0,1.0,100.0,102.0,100.0,101.0,246400.0,9980,MRKホールディングス
2025-09-18,99800,101.0,101.0,99.0,99.0,0,0,231400.0,23095300.0,1.0,101.0,101.0,99.0,99.0,231400.0,9980,MRKホールディングス
2025-09-19,99800,101.0,102.0,99.0,100.0,0,0,285400.0,28647400.0,1.0,101.0,102.0,99.0,100.0,285400.0,9980,MRKホールディングス
2025-09-22,99800,101.0,101.0,99.0,99.0,0,0,205600.0,20532100.0,1.0,101.0,101.0,99.0,99.0,205600.0,9980,MRKホールディングス
2025-09-24,99800,100.0,101.0,99.0,99.0,0,0,211400.0,21052000.0,1.0,100.0,101.0,99.0,99.0,211400.0,9980,MRKホールディングス
2025-09-25,99800,100.0,101.0,99.0,99.0,0,0,176800.0,17572600.0,1.0,100.0,101.0,99.0,99.0,176800.0,9980,MRKホールディングス
2025-09-26,99800,99.0,100.0,98.0,98.0,0,0,311400.0,30614400.0,1.0,99.0,100.0,98.0,98.0,311400.0,9980,MRKホールディングス
2025-09-29,99800,98.0,99.0,97.0,98.0,0,0,190500.0,18658400.0,1.0,98.0,99.0,97.0,98.0,190500.0,9980,MRKホールディングス
2025-09-30,99800,97.0,97.0,94.0,95.0,0,0,485100.0,46380700.0,1.0,97.0,97.0,94.0,95.0,485100.0,9980,MRKホールディングス
2025-10-01,99800,95.0,96.0,93.0,94.0,0,0,253000.0,23878000.0,1.0,95.0,96.0,93.0,94.0,253000.0,9980,MRKホールディングス
2025-10-02,99800,96.0,96.0,93.0,93.0,0,0,148700.0,14120000.0,1.0,96.0,96.0,93.0,93.0,148700.0,9980,MRKホールディングス
2025-10-03,99800,93.0,95.0,93.0,94.0,0,0,113600.0,10647700.0,1.0,93.0,95.0,93.0,94.0,113600.0,9980,MRKホールディングス
2025-10-06,99800,96.0,97.0,94.0,96.0,0,0,170700.0,16378000.0,1.0,96.0,97.0,94.0,96.0,170700.0,9980,MRKホールディングス
2025-10-07,99800,96.0,96.0,93.0,94.0,0,0,178300.0,16930800.0,1.0,96.0,96.0,93.0,94.0,178300.0,9980,MRKホールディングス
2025-10-08,99800,94.0,95.0,93.0,94.0,0,0,222800.0,20953100.0,1.0,94.0,95.0,93.0,94.0,222800.0,9980,MRKホールディングス
2025-10-09,99800,94.0,95.0,93.0,93.0,0,0,1011300.0,94191900.0,1.0,94.0,95.0,93.0,93.0,1011300.0,9980,MRKホールディングス
2025-10-10,99800,93.0,95.0,92.0,95.0,0,0,185200.0,17260200.0,1.0,93.0,95.0,92.0,95.0,185200.0,9980,MRKホールディングス
2025-10-14,99800,93.0,93.0,88.0,89.0,0,0,505200.0,45727000.0,1.0,93.0,93.0,88.0,89.0,505200.0,9980,MRKホールディングス
2025-10-15,99800,90.0,91.0,89.0,90.0,0,0,287100.0,25783900.0,1.0,90.0,91.0,89.0,90.0,287100.0,9980,MRKホールディングス
2025-10-16,99800,90.0,91.0,89.0,90.0,0,0,173700.0,15574000.0,1.0,90.0,91.0,89.0,90.0,173700.0,9980,MRKホールディングス
2025-10-17,99800,91.0,91.0,88.0,89.0,0,0,207700.0,18647400.0,1.0,91.0,91.0,88.0,89.0,207700.0,9980,MRKホールディングス
2025-10-20,99800,90.0,91.0,89.0,91.0,0,0,192000.0,17309200.0,1.0,90.0,91.0,89.0,91.0,192000.0,9980,MRKホールディングス
2025-10-21,99800,91.0,91.0,90.0,91.0,0,0,232700.0,21092100.0,1.0,91.0,91.0,90.0,91.0,232700.0,9980,MRKホールディングス
2025-10-22,99800,91.0,92.0,90.0,92.0,0,0,216700.0,19795900.0,1.0,91.0,92.0,90.0,92.0,216700.0,9980,MRKホールディングス
2025-10-23,99800,92.0,93.0,91.0,92.0,0,0,199200.0,18370900.0,1.0,92.0,93.0,91.0,92.0,199200.0,9980,MRKホールディングス
2025-10-24,99800,93.0,93.0,90.0,91.0,0,0,191900.0,17669900.0,1.0,93.0,93.0,90.0,91.0,191900.0,9980,MRKホールディングス
2025-10-27,99800,92.0,93.0,91.0,92.0,0,0,173200.0,15916000.0,1.0,92.0,93.0,91.0,92.0,173200.0,9980,MRKホールディングス
2025-10-28,99800,92.0,92.0,90.0,91.0,0,0,205200.0,18790300.0,1.0,92.0,92.0,90.0,91.0,205200.0,9980,MRKホールディングス
2025-10-29,99800,90.0,90.0,89.0,89.0,0,0,201200.0,18012000.0,1.0,90.0,90.0,89.0,89.0,201200.0,9980,MRKホールディングス
2025-10-30,99800,88.0,89.0,88.0,88.0,0,0,183200.0,16149500.0,1.0,88.0,89.0,88.0,88.0,183200.0,9980,MRKホールディングス
2025-10-31,99800,89.0,90.0,89.0,90.0,0,0,191900.0,17083200.0,1.0,89.0,90.0,89.0,90.0,191900.0,9980,MRKホールディングス
2025-11-04,99800,89.0,90.0,88.0,90.0,0,0,154000.0,13784200.0,1.0,89.0,90.0,88.0,90.0,154000.0,9980,MRKホールディングス
