cond,score,ratio_max,rise_max,gap_max,tp,sl,top_n,train_annual,train_max_dd,train_sharpe,train_wr,train_n_days,train_final,val_annual,val_max_dd,val_sharpe,val_wr,val_n_days,val_final
STRONG,5〜7,3.0,0.0,5.0,4.0,-1.0,3,10.2,-1.0,5.54,71.4,14,1052177.0,6.0,-1.6,2.74,50.0,14.0,1021632.0
STRONG,5〜8,3.0,0.0,5.0,4.0,-1.0,3,10.2,-1.0,5.54,71.4,14,1052177.0,6.0,-1.6,2.74,50.0,14.0,1021632.0
STRONG,5〜7,3.0,0.0,5.0,5.0,-1.0,3,9.9,-1.0,5.42,71.4,14,1050379.0,8.1,-1.5,3.47,50.0,14.0,1029143.0
STRONG,5〜8,3.0,0.0,5.0,5.0,-1.0,3,9.9,-1.0,5.42,71.4,14,1050379.0,8.1,-1.5,3.47,50.0,14.0,1029143.0
STRONG,5〜8,3.0,0.0,5.0,3.0,-1.0,10,9.5,-1.0,5.3,71.4,14,1048411.0,2.3,-1.7,1.54,57.1,14.0,1008306.0
STRONG,5〜7,3.0,0.0,5.0,3.0,-1.0,10,9.5,-1.0,5.3,71.4,14,1048411.0,2.3,-1.7,1.54,57.1,14.0,1008306.0
STRONG,5〜7,3.0,0.0,5.0,3.0,-1.0,3,9.9,-1.0,5.24,71.4,14,1050371.0,10.8,-1.6,4.21,50.0,14.0,1038443.0
STRONG,5〜8,3.0,0.0,5.0,3.0,-1.0,3,9.9,-1.0,5.24,71.4,14,1050371.0,10.8,-1.6,4.21,50.0,14.0,1038443.0
STRONG,5〜8,3.0,0.0,2.0,3.0,-1.0,10,9.2,-1.0,5.17,71.4,14,1047112.0,1.8,-1.7,1.26,57.1,14.0,1006739.0
STRONG,5〜7,3.0,0.0,2.0,3.0,-1.0,10,9.2,-1.0,5.17,71.4,14,1047112.0,1.8,-1.7,1.26,57.1,14.0,1006739.0
STRONG,5〜7,3.0,2.0,5.0,4.0,-1.0,5,13.5,-1.0,5.07,47.1,17,1068579.0,5.5,-1.1,2.89,57.1,14.0,1019973.0
STRONG,5〜8,3.0,2.0,5.0,4.0,-1.0,5,13.5,-1.0,5.07,47.1,17,1068579.0,5.5,-1.1,2.89,57.1,14.0,1019973.0
STRONG,5〜7,3.0,2.0,5.0,5.0,-1.0,5,15.4,-1.0,5.02,47.1,17,1077739.0,7.2,-1.1,3.52,57.1,14.0,1025787.0
STRONG,5〜8,3.0,2.0,5.0,5.0,-1.0,5,15.4,-1.0,5.02,47.1,17,1077739.0,7.2,-1.1,3.52,57.1,14.0,1025787.0
STRONG,5〜7,3.0,2.0,2.0,4.0,-1.0,5,13.5,-1.0,5.01,47.1,17,1068571.0,3.1,-1.1,1.87,57.1,14.0,1011275.0
STRONG,5〜8,3.0,0.0,5.0,4.0,-1.0,10,8.5,-1.0,5.01,64.3,14,1043587.0,1.3,-1.7,0.91,57.1,14.0,1004642.0
STRONG,5〜8,3.0,2.0,2.0,4.0,-1.0,5,13.5,-1.0,5.01,47.1,17,1068571.0,3.1,-1.1,1.87,57.1,14.0,1011275.0
STRONG,5〜7,3.0,0.0,5.0,4.0,-1.0,10,8.5,-1.0,5.01,64.3,14,1043587.0,1.3,-1.7,0.91,57.1,14.0,1004642.0
STRONG,5〜8,3.0,2.0,2.0,5.0,-1.0,5,15.4,-1.0,4.98,47.1,17,1077731.0,4.7,-1.1,2.63,57.1,14.0,1016829.0
