code4,name,last_close_yen
8918,ランド,10.0
4564,オンコセラピー・サイエンス,20.0
6740,ジャパンディスプレイ,25.0
5856,エルアイイーエイチ,27.0
9973,ＫＯＺＯホールディングス,29.0
7691,Ｃ　Ｃｈａｎｎｅｌ,30.0
2370,メディネット,30.0
4597,ソレイジア・ファーマ,32.0
8107,キムラタン,32.0
8836,ＲＩＳＥ,32.0
3664,モブキャストホールディングス,34.0
9399,ビート・ホールディングス・リミテッド,35.0
6731,ピクセラ,41.0
2134,北浜キャピタルパートナーズ,43.0
5103,昭和ホールディングス,45.0
3672,オルトプラス,47.0
6659,メディアリンクス,48.0
9222,ｍａｎａｂｙ,50.0
9978,文教堂グループホールディングス,51.0
9704,アゴーラ　ホスピタリティー　グループ,54.0
3840,パス,54.0
8894,ＲＥＶＯＬＵＴＩＯＮ,55.0
4883,モダリス,58.0
6786,ＲＶＨ,61.0
2388,ウェッジホールディングス,62.0
4563,アンジェス,63.0
3667,ｅｎｉｓｈ,63.0
1783,ｆａｎｔａｓｉｓｔａ,64.0
7527,システムソフト,66.0
3237,イントランス,66.0
4594,ブライトパス・バイオ,69.0
3777,環境フレンドリーホールディングス,70.0
6573,ＣＲＡＶＩＡ,72.0
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,72.0
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,73.0
2694,焼肉坂井ホールディングス,73.0
1773,ワイ・ティー・エル・コーポレーション・バーハッド,80.0
4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,80.0
3624,アクセルマーク,81.0
8946,ＡＳＩＡＮ　ＳＴＡＲ,84.0
4591,リボミック,86.0
8166,タカキュー,88.0
4582,シンバイオ製薬,88.0
7836,アビックス,89.0
3266,ファンドクリエーショングループ,90.0
7831,ウイルコホールディングス,92.0
2926,篠崎屋,94.0
9980,ＭＲＫホールディングス,95.0
3070,ジェリービーンズグループ,95.0
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,97.0
4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,98.0
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,98.0
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,98.0
2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,100.0
4881,ファンペップ,101.0
7692,アースインフィニティ,102.0
4576,デ・ウエスタン・セラピテクス研究所,102.0
7693,北海道歯科産業,105.0
1360,日経平均ベア２倍上場投信,107.0999984741211
3071,ストリーム,108.0
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,109.0
7918,ヴィア・ホールディングス,109.0
7992,セーラー万年筆,112.0
9423,フォーバル・リアルストレート,112.0
7897,ホクシン,113.0
4586,メドレックス,115.0
6634,ネクスグループ,118.0
4583,カイオム・バイオサイエンス,118.0
3323,レカム,120.0
7571,ヤマノホールディングス,120.0
6775,ＴＢグループ,121.0
6181,タメニー,121.0
4829,日本エンタープライズ,122.0
3807,フィスコ,122.0
6721,ウインテスト,123.0
3686,ディー・エル・イー,123.0
7578,ニチリョク,124.0
6803,ティアック,125.0
3315,日本コークス工業,125.0
6054,リブセンス,125.0
4615,神東塗料,126.0
7063,Ｂｉｒｄｍａｎ,126.0
6574,コンヴァノ,127.0
1356,ＴＯＰＩＸベア２倍上場投信,131.8000030517578
3202,ダイトウボウ,132.0
6177,ＡｐｐＢａｎｋ,132.0
6494,ＮＦＫホールディングス,132.0
2764,ひらまつ,132.0
2656,ベクターホールディングス,133.0
7238,曙ブレーキ工業,133.0
3940,ノムラシステムコーポレーション,133.0
2776,新都ホールディングス,133.0
3536,アクサスホールディングス,134.0
2484,出前館,136.0
5955,ワイズホールディングス,137.0
3409,北紡,138.0
3647,ジー・スリーホールディングス,142.0
4891,ティムス,143.0
4571,ＮＡＮＯホールディングス,143.0
2930,北の達人コーポレーション,143.0
6444,サンデン,144.0
3936,グローバルウェイ,144.0
7624,ＮａＩＴＯ,144.0
2193,クックパッド,145.0
5721,エス・サイエンス,147.0
2586,フルッタフルッタ,147.0
7610,テイツー,147.0
8202,ラオックスホールディングス,148.0
6695,キャストリコ,150.0
9424,日本通信,150.0
4344,ソースネクスト,150.0
6993,大黒屋ホールディングス,151.0
2778,パレモ・ホールディングス,151.0
7356,Ｒｅｔｔｙ,152.0
9432,ＮＴＴ,153.8000030517578
3011,バナーズ,154.0
5131,リンカーズ,155.0
4893,ノイルイミューン・バイオテック,156.0
8729,ソニーフィナンシャルグループ,156.39999389648438
8912,エリアクエスト,159.0
4376,くふうカンパニーホールディングス,160.0
2440,ぐるなび,161.0
3753,フライトソリューションズ,162.0
9760,進学会ホールディングス,162.0
8789,フィンテック　グローバル,162.0
3681,ブイキューブ,163.0
2196,エスクリ,163.0
7256,河西工業,163.0
4426,パスロジ,163.0
4978,リプロセル,164.0
2330,フォーサイド,166.0
7615,京都きもの友禅ホールディングス,167.0
6552,ＧａｍｅＷｉｔｈ,168.0
1435,ｒｏｂｏｔ　ｈｏｍｅ,169.0
6029,アトラグループ,169.0
5255,モンスターラボ,170.0
7183,あんしん保証,170.0
3598,山喜,170.0
2721,ジェイホールディングス,170.0
2338,クオンタムソリューションズ,171.0
6548,旅工房,171.0
1432,動力,174.0
3053,ペッパーフードサービス,175.0
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,175.0
6619,ダブル・スコープ,176.0
7603,ジーイエット,178.0
3069,ＪＦＬＡホールディングス,179.0
7709,クボテック,179.0
6173,アクアライン,180.0
3521,テルマー湯ホールディングス,180.0
3779,ジェイ・エスコムホールディングス,180.0
2120,ＬＩＦＵＬＬ,180.0
7601,ポプラ,181.0
2666,オートウェーブ,182.0
7048,ベルトラ,183.0
3010,ポラリス・ホールディングス,188.0
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,189.8000030517578
2341,アルバイトタイムス,190.0
2321,ソフトフロントホールディングス,192.0
5950,日本パワーファスニング,192.0
