buy_date,code,name,today_rise,buy_price,score,ratio,market_condition,next_rise,next_open,next_close,rebound_score,rebound_reason
2026-03-03,5817,ＪＭＡＣＳ,-21.78,1878.0,5.45,4.89,PANIC,-2.72,1912.0,1860.0,,
2026-03-03,6787,メイコー,-12.9,22420.0,3.91,1.97,PANIC,6.53,23570.0,25110.0,,
2026-03-03,6235,オプトラン,-10.58,3170.0,3.55,2.74,PANIC,0.99,2933.0,2962.0,,
2026-03-06,6613,ＱＤレーザ,-12.26,859.0,5.23,2.43,NORMAL,1.04,866.0,875.0,,
2026-03-12,7031,インバウンドテック,-15.45,750.0,1.07,0.71,WEAK,-3.97,705.0,677.0,3.0,出来高急増(140.0倍)売り枯れ示唆
2026-03-12,7064,ハウテレビジョン,-15.17,1040.0,9.89,11.67,WEAK,-9.31,1020.0,925.0,8.0,RSIやや低め(32) / 出来高急増(11.8倍)売り枯れ示唆 / MA25大幅下離れ(-17.0%)
2026-03-12,2776,新都ホールディングス,-10.81,132.0,3.9,3.19,WEAK,-3.6,139.0,134.0,3.0,出来高急増(8.8倍)売り枯れ示唆
2026-03-12,3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,-10.08,116.0,-7.13,0.31,WEAK,0.88,114.0,115.0,3.0,出来高急増(4.5倍)売り枯れ示唆
2026-03-12,4229,群栄化学工業,-8.73,5120.0,2.58,1.84,WEAK,0.4,5020.0,5040.0,3.0,出来高急増(3.4倍)売り枯れ示唆
2026-03-12,7435,ナ・デックス,-8.41,1100.0,3.17,1.63,WEAK,2.28,1095.0,1120.0,3.0,出来高急増(38.9倍)売り枯れ示唆
2026-03-12,6907,ジオマテック,-8.15,1025.0,9.05,9.16,WEAK,2.94,1019.0,1049.0,7.0,RSIやや低め(37) / 出来高増加(3.0倍) / MA25大幅下離れ(-17.4%)
2026-03-12,2673,夢みつけ隊,-7.43,187.0,-3.67,0.17,WEAK,2.14,187.0,191.0,4.0,RSIやや低め(39) / MA25下離れ(-11.8%)
2026-03-12,5013,ユシロ,-6.99,2995.0,-2.16,0.63,WEAK,1.12,2950.0,2983.0,4.0,RSI中立(46) / 出来高急増(5.2倍)売り枯れ示唆
2026-03-12,4596,窪田製薬ホールディングス,-6.98,120.0,-1.16,0.56,WEAK,-0.85,117.0,116.0,4.0,RSI中立(42) / MA25大幅下離れ(-31.7%)
2026-03-12,153A,カウリス,-6.18,1032.0,-0.52,0.58,WEAK,-0.2,1017.0,1015.0,3.0,RSIやや低め(40) / MA25やや下離れ(-9.0%)
2026-03-12,2531,宝ホールディングス,-5.97,1442.0,1.03,1.18,WEAK,-1.51,1421.5,1400.0,4.0,RSIやや低め(38) / 出来高やや増(1.7倍) / MA25やや下離れ(-9.4%)
2026-03-12,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,-5.48,69.0,2.05,0.56,WEAK,4.35,69.0,72.0,3.0,RSI中立(40) / MA25下離れ(-14.2%)
2026-03-12,4885,室町ケミカル,-5.36,1095.0,-1.32,0.59,WEAK,0.18,1095.0,1097.0,3.0,RSIやや低め(39) / MA25やや下離れ(-5.6%)
2026-03-13,9556,ＩＮＴＬＯＯＰ,-16.79,2146.0,3.15,2.05,NORMAL,-1.18,2035.0,2011.0,10.0,RSI極度売られ過ぎ(14) / 出来高急増(13.2倍)売り枯れ示唆 / MA25大幅下離れ(-30.4%)
2026-03-13,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,-11.52,215.0,-1.76,0.36,NORMAL,-8.76,217.0,198.0,3.0,出来高急増(15.3倍)売り枯れ示唆
2026-03-13,7777,スリー・ディー・マトリックス,-10.99,567.0,-0.38,1.15,NORMAL,6.11,491.0,521.0,3.0,RSI中立(49) / 出来高増加(2.8倍)
2026-03-13,9565,ＧＬＯＥ,-10.88,819.0,2.87,0.75,NORMAL,-3.65,794.0,765.0,3.0,出来高急増(17.4倍)売り枯れ示唆
2026-03-13,4031,片倉コープアグリ,-10.35,1230.0,9.13,9.39,NORMAL,2.94,1260.0,1297.0,3.0,出来高急増(7.2倍)売り枯れ示唆
2026-03-13,7064,ハウテレビジョン,-9.31,925.0,8.48,7.44,NORMAL,-0.95,952.0,943.0,9.0,RSI売られ過ぎ(29) / 出来高急増(6.8倍)売り枯れ示唆 / MA25大幅下離れ(-25.4%)
2026-03-13,7640,トップカルチャー,-8.73,209.0,10.0,12.74,NORMAL,-3.88,206.0,198.0,3.0,出来高急増(4.6倍)売り枯れ示唆
2026-03-13,4664,アール・エス・シー,-7.05,1041.0,10.0,13.48,NORMAL,14.34,1011.0,1156.0,3.0,出来高急増(10.4倍)売り枯れ示唆
2026-03-13,7692,アースインフィニティ,-5.66,100.0,1.18,1.26,NORMAL,-1.98,101.0,99.0,4.0,RSI中立(45) / 出来高急増(13.1倍)売り枯れ示唆
2026-03-16,7375,リファインバースグループ,-16.8,1005.0,7.46,4.39,NORMAL,4.34,1013.0,1057.0,3.0,出来高急増(6.3倍)売り枯れ示唆
2026-03-16,3070,ジェリービーンズグループ,-14.29,84.0,0.74,0.87,NORMAL,-1.12,89.0,88.0,8.0,RSIやや低め(39) / 出来高急増(3.8倍)売り枯れ示唆 / MA25大幅下離れ(-16.8%)
