スコア帯,TP,SL,上位N,n,days,total,annual,sharpe,dd,win_rate,avg
score5-7,+5.0%,なし,3,80,30,-13.99,-71.8,-3.45,-16.81,32.5,-0.475
score8-9,+5.0%,なし,3,58,22,-10.39,-71.5,-3.49,-14.59,32.8,-0.427
score8-9,+5.0%,なし,5,94,22,-10.8,-73.0,-3.57,-15.87,38.3,-0.439
score5-7,+5.0%,-2.0%,3,80,30,-8.3,-51.7,-3.67,-8.92,28.7,-0.286
score5-7,+5.0%,-3.0%,3,80,30,-10.79,-61.7,-3.94,-12.86,30.0,-0.376
score8-9,+5.0%,-5.0%,3,58,22,-11.23,-74.5,-3.99,-16.03,32.8,-0.458
score7-9,+5.0%,-2.0%,3,74,28,-8.98,-57.1,-4.1,-9.98,29.7,-0.292
score8-9,+5.0%,-2.0%,3,58,22,-6.41,-53.2,-4.15,-6.46,29.3,-0.195
score5-7,+5.0%,なし,5,125,30,-14.49,-73.1,-4.26,-15.91,32.8,-0.452
score5-7,+5.0%,-5.0%,3,80,30,-15.49,-75.7,-4.35,-18.26,30.0,-0.553
score5-7,+5.0%,なし,全件,1395,30,-13.79,-71.2,-4.36,-16.52,33.5,-0.676
score7-9,+5.0%,なし,5,112,28,-15.46,-77.9,-4.52,-20.54,36.6,-0.526
score7-9,+5.0%,なし,3,74,28,-15.39,-77.8,-4.54,-19.65,32.4,-0.518
score5-7,+5.0%,-5.0%,全件,1395,30,-14.39,-72.9,-4.82,-16.73,32.4,-0.665
score5-7,+3.0%,なし,3,80,30,-17.19,-79.5,-4.89,-20.12,36.2,-0.601
score5-7,+3.0%,なし,全件,1395,30,-13.69,-71.0,-5.0,-16.91,35.8,-0.642
score7-9,+5.0%,-5.0%,3,74,28,-16.46,-80.2,-5.13,-21.25,32.4,-0.558
score5-7,+5.0%,-5.0%,5,125,30,-16.26,-77.5,-5.23,-17.65,31.2,-0.535
score5-7,+3.0%,-3.0%,3,80,30,-12.78,-68.3,-5.25,-14.25,31.2,-0.462
score8-9,+5.0%,なし,全件,189,22,-15.17,-84.8,-5.46,-20.64,37.0,-0.959
score9+,+3.0%,なし,5,99,22,-18.96,-91.0,-5.46,-20.24,50.5,-0.847
score8-9,+5.0%,-5.0%,5,94,22,-15.36,-85.2,-5.48,-18.91,34.0,-0.694
score7-9,+5.0%,-2.0%,5,112,28,-11.6,-67.0,-5.56,-12.53,28.6,-0.403
score8-9,+3.0%,なし,3,58,22,-14.38,-83.1,-5.58,-15.74,34.5,-0.596
score5-7,+3.0%,-2.0%,3,80,30,-11.15,-62.9,-5.69,-11.73,28.7,-0.402
score5-7,+5.0%,-3.0%,5,125,30,-12.75,-68.2,-5.69,-13.46,30.4,-0.422
score5-7,+3.0%,なし,5,125,30,-16.89,-78.9,-5.78,-18.95,35.2,-0.562
score9+,+3.0%,なし,3,63,22,-25.62,-96.6,-5.87,-26.6,52.4,-1.227
score9+,+5.0%,なし,5,99,22,-22.82,-94.9,-5.98,-22.82,43.4,-0.997
score5-7,+3.0%,-5.0%,3,80,30,-18.11,-81.3,-6.1,-20.21,31.2,-0.645
score8-9,+3.0%,-5.0%,3,58,22,-15.2,-84.9,-6.18,-16.57,34.5,-0.628
score7-9,+5.0%,-5.0%,5,112,28,-20.06,-86.7,-6.3,-23.69,33.0,-0.75
score8-9,+5.0%,-2.0%,5,94,22,-9.1,-66.5,-6.31,-9.1,28.7,-0.328
score7-9,+5.0%,-3.0%,3,74,28,-15.08,-77.0,-6.41,-17.05,29.7,-0.532
score7-9,+5.0%,なし,全件,806,28,-18.02,-83.3,-6.42,-22.81,37.2,-0.664
score5-7,+3.0%,-5.0%,全件,1395,30,-15.64,-76.0,-6.53,-17.41,34.2,-0.673
score7-9,+3.0%,なし,3,74,28,-19.53,-85.9,-6.61,-21.1,33.8,-0.691
score5-7,+5.0%,-3.0%,全件,1395,30,-13.35,-70.0,-6.61,-14.79,31.0,-0.621
