      date code            name strategy  shares  buy_price  sell_price  pnl_pct exit_reason
2026-07-09 2792    ハニーズホールディングス        A     300     1395.0      1397.0     0.14 force_close
2026-07-09 5563            5563        B     700      414.0       435.0     5.07          TP
2026-07-09 6228            6228        B     600      485.0       505.0     4.12 force_close
2026-07-09 7150            島根銀行        A     600      475.0       475.0     0.00 force_close
2026-07-09 8416            高知銀行        B     300     1171.0      1124.0    -4.01          SL
2026-07-09 8558            東和銀行        B     300     1328.0      1268.0    -4.52          SL
2026-07-10 1967             ヤマト        D     300     2049.0      2015.0    -1.66 force_close
2026-07-10 2698           キャンドゥ        A     300     3560.0      3540.0    -0.56 force_close
2026-07-10 3840              パス        A    4400       67.0        63.0    -5.97          SL
2026-07-10 5885     ジーデップ・アドバンス        D     300     2998.0      3145.0     4.90          TP
2026-07-13 5301            5301        B     300     1613.0      1637.5     1.52 force_close
2026-07-13 6191            エアトリ        A     300      882.0       895.0     1.47 force_close
2026-07-13 7128    ユニソルホールディングス        A     300     2552.0      2549.0    -0.12 force_close
2026-07-13 9896      ＪＫホールディングス        A     300     1488.0      1465.0    -1.55 force_close
2026-07-15 1377          サカタのタネ        D     300     4455.0      4370.0    -1.91 force_close
2026-07-15 3907        シリコンスタジオ        B     400      725.0       694.0    -4.28          SL
2026-07-15 4432      ウイングアーク１ｓｔ        A     300     2704.0      2813.0     4.03          TP
2026-07-15 463A インテリックスホールディングス        A     600      932.0       956.0     2.58 force_close
2026-07-15 6246         テクノスマート        A     300     1890.0      1884.0    -0.32 force_close
2026-07-15 7085    カーブスホールディングス        A     300      983.0       962.0    -2.14 force_close
2026-07-15 7713           シグマ光機        D     300     2078.0      2012.0    -3.18 force_close
2026-07-15 9837             モリト        A     300     1828.0      1806.0    -1.20 force_close
2026-07-21 5202           日本板硝子        D     600      483.0       483.0     0.00 force_close
2026-07-21 5304         ＳＥＣカーボン        D     300     2454.0      2536.0     3.34          TP
2026-07-21 5423            東京製鐵        A     300     1707.0      1704.0    -0.18 force_close
2026-07-21 6166            中村超硬        A     400      657.0       650.0    -1.07          SL
2026-07-21 9991            ジェコス        D     300     1628.0      1627.0    -0.06 force_close
